PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM06,Ceres,Han'a,2,5,7,0.29,0.71
CE_AM07,Ceres,Dira,12,18,30,0.4,0.6
CE_AM08,Ceres,Natra,19,12,31,0.61,0.39
CE_AM09,Ceres,Tarf(a),16,17,33,0.48,0.52
CE_AM10,Ceres,Gabha,52,54,106,0.49,0.51
CE_AM11,Ceres,Zubra,78,82,160,0.49,0.51
CE_AM12,Ceres,Sarfa,14,19,33,0.42,0.58
CE_AM13,Ceres,Auwa,13,18,31,0.42,0.58
CE_AM14,Ceres,Simak,13,16,29,0.45,0.55
CE_AM15,Ceres,Gafr,14,14,28,0.5,0.5
CE_AM16,Ceres,Zubana,21,8,29,0.72,0.28
CE_AM17,Ceres,Iklik,11,18,29,0.38,0.62
CE_AM18,Ceres,Qualb,13,19,32,0.41,0.59
CE_AM19,Ceres,Saula,43,66,109,0.39,0.61
CE_AM20,Ceres,Na'a'im,96,76,172,0.56,0.44
CE_AM21,Ceres,Balda,24,13,37,0.65,0.35
CE_AM22,Ceres,Dabih,10,23,33,0.3,0.7
CE_AM23,Ceres,Bula,20,12,32,0.62,0.38
CE_AM24,Ceres,Su'ud,19,14,33,0.58,0.42
CE_AM25,Ceres,Ahbija,14,21,35,0.4,0.6
CE_AM26,Ceres,Muqaddam,66,63,129,0.51,0.49
CE_AM27,Ceres,Mu'ahhar,86,75,161,0.53,0.47
CE_AM28,Ceres,Risa,16,10,26,0.62,0.38
CH_AM01,Chiron,Saratan,437,444,881,0.5,0.5
CH_AM28,Chiron,Risa,235,229,464,0.51,0.49
JN_AM01,Juno,Saratan,8,19,27,0.3,0.7
JN_AM02,Juno,Butain,12,15,27,0.44,0.56
JN_AM03,Juno,Turaija,13,16,29,0.45,0.55
JN_AM04,Juno,Dabaran,27,38,65,0.42,0.58
JN_AM05,Juno,Haq'a,78,74,152,0.51,0.49
JN_AM06,Juno,Han'a,19,11,30,0.63,0.37
JN_AM07,Juno,Dira,17,10,27,0.63,0.37
JN_AM08,Juno,Natra,11,15,26,0.42,0.58
JN_AM09,Juno,Tarf(a),11,16,27,0.41,0.59
JN_AM10,Juno,Gabha,10,16,26,0.38,0.62
JN_AM11,Juno,Zubra,10,18,28,0.36,0.64
JN_AM12,Juno,Sarfa,11,17,28,0.39,0.61
JN_AM13,Juno,Auwa,17,13,30,0.57,0.43
JN_AM14,Juno,Simak,23,10,33,0.7,0.3
JN_AM15,Juno,Gafr,71,74,145,0.49,0.51
JN_AM16,Juno,Zubana,83,78,161,0.52,0.48
JN_AM17,Juno,Iklik,16,21,37,0.43,0.57
JN_AM18,Juno,Qualb,19,18,37,0.51,0.49
JN_AM19,Juno,Saula,22,18,40,0.55,0.45
JN_AM20,Juno,Na'a'im,27,14,41,0.66,0.34
JN_AM22,Juno,Dabih,61,66,127,0.48,0.52
JN_AM23,Juno,Bula,29,29,58,0.5,0.5
JN_AM24,Juno,Su'ud,22,10,32,0.69,0.31
JN_AM25,Juno,Ahbija,11,18,29,0.38,0.62
JN_AM26,Juno,Muqaddam,15,14,29,0.52,0.48
JN_AM27,Juno,Mu'ahhar,9,18,27,0.33,0.67
JN_AM28,Juno,Risa,20,7,27,0.74,0.26
JU_AM16,Jupiter,Zubana,52,57,109,0.48,0.52
JU_AM17,Jupiter,Iklik,28,32,60,0.47,0.53
JU_AM18,Jupiter,Qualb,117,126,243,0.48,0.52
JU_AM19,Jupiter,Saula,65,65,130,0.5,0.5
JU_AM20,Jupiter,Na'a'im,68,79,147,0.46,0.54
JU_AM21,Jupiter,Balda,115,108,223,0.52,0.48
JU_AM22,Jupiter,Dabih,30,27,57,0.53,0.47
JU_AM23,Jupiter,Bula,121,117,238,0.51,0.49
JU_AM24,Jupiter,Su'ud,64,57,121,0.53,0.47
JU_AM25,Jupiter,Ahbija,12,5,17,0.71,0.29
MA_AM01,Mars,Saratan,22,19,41,0.54,0.46
MA_AM02,Mars,Butain,71,69,140,0.51,0.49
MA_AM03,Mars,Turaija,43,40,83,0.52,0.48
