PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",118,141,259,0.46,0.54
"CE_(5,7]",Ceres,"(5,7]",248,228,476,0.52,0.48
"CE_(7,13]",Ceres,"(7,13]",154,127,281,0.55,0.45
"CE_[0,4]",Ceres,"[0,4]",201,214,415,0.48,0.52
"CH_(4,5]",Chiron,"(4,5]",158,152,310,0.51,0.49
"CH_(5,7]",Chiron,"(5,7]",299,261,560,0.53,0.47
"CH_(7,13]",Chiron,"(7,13]",152,159,311,0.49,0.51
"CH_[0,4]",Chiron,"[0,4]",112,138,250,0.45,0.55
"JN_(4,5]",Juno,"(4,5]",148,146,294,0.5,0.5
"JN_(5,7]",Juno,"(5,7]",217,204,421,0.52,0.48
"JN_(7,14]",Juno,"(7,14]",82,91,173,0.47,0.53
"JN_[0,4]",Juno,"[0,4]",274,269,543,0.5,0.5
"JU_(4,5]",Jupiter,"(4,5]",147,142,289,0.51,0.49
"JU_(5,7]",Jupiter,"(5,7]",210,195,405,0.52,0.48
"JU_(7,12]",Jupiter,"(7,12]",98,100,198,0.49,0.51
"JU_[0,4]",Jupiter,"[0,4]",266,273,539,0.49,0.51
"MA_(4,5]",Mars,"(4,5]",149,111,260,0.57,0.43
"MA_(5,7]",Mars,"(5,7]",207,218,425,0.49,0.51
"MA_(7,13]",Mars,"(7,13]",117,116,233,0.5,0.5
"MA_[0,4]",Mars,"[0,4]",248,265,513,0.48,0.52
"ME_(4,5]",Mercury,"(4,5]",126,132,258,0.49,0.51
"ME_(5,7]",Mercury,"(5,7]",233,197,430,0.54,0.46
"ME_(7,14]",Mercury,"(7,14]",80,81,161,0.5,0.5
"ME_[0,4]",Mercury,"[0,4]",282,300,582,0.48,0.52
"MO_(13,15]",Moon,"(13,15]",238,210,448,0.53,0.47
"MO_(15,17]",Moon,"(15,17]",161,182,343,0.47,0.53
"MO_(17,27]",Moon,"(17,27]",116,111,227,0.51,0.49
"MO_[5,13]",Moon,"[5,13]",206,207,413,0.5,0.5
"NE_(4,5]",Neptune,"(4,5]",137,136,273,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",117,105,222,0.53,0.47
"NE_(6,13]",Neptune,"(6,13]",176,176,352,0.5,0.5
"NE_[0,4]",Neptune,"[0,4]",291,293,584,0.5,0.5
"NN_(5,6]",NNode,"(5,6]",149,136,285,0.52,0.48
"NN_(6,7]",NNode,"(6,7]",111,120,231,0.48,0.52
"NN_(7,13]",NNode,"(7,13]",179,196,375,0.48,0.52
"NN_[1,5]",NNode,"[1,5]",282,258,540,0.52,0.48
"PA_(4,5]",Pallas,"(4,5]",113,136,249,0.45,0.55
"PA_(5,7]",Pallas,"(5,7]",226,218,444,0.51,0.49
"PA_(7,13]",Pallas,"(7,13]",112,99,211,0.53,0.47
"PA_[0,4]",Pallas,"[0,4]",270,257,527,0.51,0.49
"PH_(4,5]",Pholus,"(4,5]",140,121,261,0.54,0.46
"PH_(5,6]",Pholus,"(5,6]",123,130,253,0.49,0.51
"PH_(6,13]",Pholus,"(6,13]",154,159,313,0.49,0.51
"PH_[0,4]",Pholus,"[0,4]",304,300,604,0.5,0.5
"PL_(4,5]",Pluto,"(4,5]",143,146,289,0.49,0.51
"PL_(5,6]",Pluto,"(5,6]",133,94,227,0.59,0.41
"PL_(6,14]",Pluto,"(6,14]",130,127,257,0.51,0.49
"PL_[0,4]",Pluto,"[0,4]",315,343,658,0.48,0.52
"SA_(4,5]",Saturn,"(4,5]",144,114,258,0.56,0.44
"SA_(5,7]",Saturn,"(5,7]",231,255,486,0.48,0.52
"SA_(7,14]",Saturn,"(7,14]",105,103,208,0.5,0.5
"SA_[0,4]",Saturn,"[0,4]",241,238,479,0.5,0.5
"SN_(5,6]",SNode,"(5,6]",149,149,298,0.5,0.5
"SN_(6,7]",SNode,"(6,7]",133,132,265,0.5,0.5
"SN_(7,13]",SNode,"(7,13]",172,194,366,0.47,0.53
"SN_[1,5]",SNode,"[1,5]",267,235,502,0.53,0.47
"SU_(4,5]",Sun,"(4,5]",160,164,324,0.49,0.51
"SU_(5,7]",Sun,"(5,7]",199,216,415,0.48,0.52
"SU_(7,14]",Sun,"(7,14]",91,106,197,0.46,0.54
"SU_[0,4]",Sun,"[0,4]",271,224,495,0.55,0.45
"UR_(4,5]",Uranus,"(4,5]",115,133,248,0.46,0.54
"UR_(5,7]",Uranus,"(5,7]",301,269,570,0.53,0.47
"UR_(7,15]",Uranus,"(7,15]",190,194,384,0.49,0.51
"UR_[0,4]",Uranus,"[0,4]",115,114,229,0.5,0.5
"VE_(4,5]",Venus,"(4,5]",121,151,272,0.44,0.56
"VE_(5,7]",Venus,"(5,7]",231,209,440,0.52,0.48
"VE_(7,14]",Venus,"(7,14]",120,132,252,0.48,0.52
"VE_[0,4]",Venus,"[0,4]",249,218,467,0.53,0.47
"VS_(4,5]",Vesta,"(4,5]",124,127,251,0.49,0.51
"VS_(5,7]",Vesta,"(5,7]",244,217,461,0.53,0.47
"VS_(7,13]",Vesta,"(7,13]",100,120,220,0.45,0.55
"VS_[0,4]",Vesta,"[0,4]",253,246,499,0.51,0.49
