PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,a0,"(0,2]",52,36,88,0.59,0.41
CE_a0_0,Ceres,a0,0,620,637,1257,0.49,0.51
"CE_a103_(0,3]",Ceres,a103,"(0,3]",65,61,126,0.52,0.48
CE_a103_0,Ceres,a103,0,607,612,1219,0.5,0.5
"CE_a120_(0,2]",Ceres,a120,"(0,2]",29,56,85,0.34,0.66
CE_a120_0,Ceres,a120,0,643,617,1260,0.51,0.49
"CE_a135_(0,2]",Ceres,a135,"(0,2]",62,83,145,0.43,0.57
CE_a135_0,Ceres,a135,0,610,590,1200,0.51,0.49
"CE_a144_(0,3]",Ceres,a144,"(0,3]",90,66,156,0.58,0.42
CE_a144_0,Ceres,a144,0,582,607,1189,0.49,0.51
"CE_a150_(0,3]",Ceres,a150,"(0,3]",79,77,156,0.51,0.49
CE_a150_0,Ceres,a150,0,593,596,1189,0.5,0.5
"CE_a180_(0,2]",Ceres,a180,"(0,2]",41,45,86,0.48,0.52
CE_a180_0,Ceres,a180,0,631,628,1259,0.5,0.5
"CE_a30_(0,3]",Ceres,a30,"(0,3]",108,107,215,0.5,0.5
CE_a30_0,Ceres,a30,0,564,566,1130,0.5,0.5
"CE_a36_(0,3]",Ceres,a36,"(0,3]",124,112,236,0.53,0.47
CE_a36_0,Ceres,a36,0,548,561,1109,0.49,0.51
"CE_a45_(0,3]",Ceres,a45,"(0,3]",113,110,223,0.51,0.49
CE_a45_0,Ceres,a45,0,559,563,1122,0.5,0.5
"CE_a60_(0,2]",Ceres,a60,"(0,2]",83,75,158,0.53,0.47
CE_a60_0,Ceres,a60,0,589,598,1187,0.5,0.5
"CE_a72_(0,3]",Ceres,a72,"(0,3]",62,44,106,0.58,0.42
CE_a72_0,Ceres,a72,0,610,629,1239,0.49,0.51
"CE_a90_(0,3]",Ceres,a90,"(0,3]",40,45,85,0.47,0.53
CE_a90_0,Ceres,a90,0,632,628,1260,0.5,0.5
CH_a0_0,Chiron,a0,0,672,673,1345,0.5,0.5
CH_a103_0,Chiron,a103,0,672,673,1345,0.5,0.5
CH_a120_0,Chiron,a120,0,672,673,1345,0.5,0.5
CH_a135_0,Chiron,a135,0,672,673,1345,0.5,0.5
CH_a144_0,Chiron,a144,0,672,673,1345,0.5,0.5
CH_a150_0,Chiron,a150,0,672,673,1345,0.5,0.5
CH_a180_0,Chiron,a180,0,672,673,1345,0.5,0.5
"CH_a30_(0,1]",Chiron,a30,"(0,1]",327,319,646,0.51,0.49
CH_a30_0,Chiron,a30,0,345,354,699,0.49,0.51
CH_a36_0,Chiron,a36,0,672,673,1345,0.5,0.5
CH_a45_0,Chiron,a45,0,672,673,1345,0.5,0.5
CH_a60_0,Chiron,a60,0,672,673,1345,0.5,0.5
"CH_a72_(0,1]",Chiron,a72,"(0,1]",155,142,297,0.52,0.48
CH_a72_0,Chiron,a72,0,517,531,1048,0.49,0.51
"CH_a90_(0,1]",Chiron,a90,"(0,1]",156,159,315,0.5,0.5
CH_a90_0,Chiron,a90,0,516,514,1030,0.5,0.5
"JN_a0_(0,2]",Juno,a0,"(0,2]",17,14,31,0.55,0.45
JN_a0_0,Juno,a0,0,655,659,1314,0.5,0.5
"JN_a103_(0,3]",Juno,a103,"(0,3]",89,91,180,0.49,0.51
JN_a103_0,Juno,a103,0,583,582,1165,0.5,0.5
"JN_a120_(0,3]",Juno,a120,"(0,3]",77,91,168,0.46,0.54
JN_a120_0,Juno,a120,0,595,582,1177,0.51,0.49
"JN_a135_(0,3]",Juno,a135,"(0,3]",64,72,136,0.47,0.53
JN_a135_0,Juno,a135,0,608,601,1209,0.5,0.5
"JN_a144_(0,2]",Juno,a144,"(0,2]",64,87,151,0.42,0.58
JN_a144_0,Juno,a144,0,608,586,1194,0.51,0.49
"JN_a150_(0,3]",Juno,a150,"(0,3]",103,90,193,0.53,0.47
JN_a150_0,Juno,a150,0,569,583,1152,0.49,0.51
"JN_a180_(0,2]",Juno,a180,"(0,2]",43,50,93,0.46,0.54
JN_a180_0,Juno,a180,0,629,623,1252,0.5,0.5
"JN_a30_(0,3]",Juno,a30,"(0,3]",64,38,102,0.63,0.37
JN_a30_0,Juno,a30,0,608,635,1243,0.49,0.51
"JN_a36_(0,3]",Juno,a36,"(0,3]",42,30,72,0.58,0.42
JN_a36_0,Juno,a36,0,630,643,1273,0.49,0.51
"JN_a45_(0,2]",Juno,a45,"(0,2]",48,51,99,0.48,0.52
JN_a45_0,Juno,a45,0,624,622,1246,0.5,0.5
"JN_a60_(0,3]",Juno,a60,"(0,3]",82,93,175,0.47,0.53
JN_a60_0,Juno,a60,0,590,580,1170,0.5,0.5
"JN_a72_(0,3]",Juno,a72,"(0,3]",91,120,211,0.43,0.57
JN_a72_0,Juno,a72,0,581,553,1134,0.51,0.49
"JN_a90_(0,3]",Juno,a90,"(0,3]",78,66,144,0.54,0.46
JN_a90_0,Juno,a90,0,594,607,1201,0.49,0.51
"JU_a0_(0,2]",Jupiter,a0,"(0,2]",52,39,91,0.57,0.43
JU_a0_0,Jupiter,a0,0,620,634,1254,0.49,0.51
"JU_a103_(0,2]",Jupiter,a103,"(0,2]",53,55,108,0.49,0.51
JU_a103_0,Jupiter,a103,0,619,618,1237,0.5,0.5
"JU_a120_(0,2]",Jupiter,a120,"(0,2]",31,44,75,0.41,0.59
JU_a120_0,Jupiter,a120,0,641,629,1270,0.5,0.5
"JU_a135_(0,2]",Jupiter,a135,"(0,2]",56,48,104,0.54,0.46
JU_a135_0,Jupiter,a135,0,616,625,1241,0.5,0.5
"JU_a144_(0,3]",Jupiter,a144,"(0,3]",24,22,46,0.52,0.48
JU_a144_0,Jupiter,a144,0,648,651,1299,0.5,0.5
"JU_a150_(0,3]",Jupiter,a150,"(0,3]",60,66,126,0.48,0.52
JU_a150_0,Jupiter,a150,0,612,607,1219,0.5,0.5
"JU_a180_(0,2]",Jupiter,a180,"(0,2]",11,4,15,0.73,0.27
JU_a180_0,Jupiter,a180,0,661,669,1330,0.5,0.5
"JU_a30_(0,2]",Jupiter,a30,"(0,2]",105,94,199,0.53,0.47
JU_a30_0,Jupiter,a30,0,567,579,1146,0.49,0.51
"JU_a36_(0,2]",Jupiter,a36,"(0,2]",74,68,142,0.52,0.48
JU_a36_0,Jupiter,a36,0,598,605,1203,0.5,0.5
"JU_a45_(0,2]",Jupiter,a45,"(0,2]",95,101,196,0.48,0.52
JU_a45_0,Jupiter,a45,0,577,572,1149,0.5,0.5
"JU_a60_(0,3]",Jupiter,a60,"(0,3]",73,78,151,0.48,0.52
JU_a60_0,Jupiter,a60,0,599,595,1194,0.5,0.5
"JU_a72_(0,2]",Jupiter,a72,"(0,2]",64,64,128,0.5,0.5
JU_a72_0,Jupiter,a72,0,608,609,1217,0.5,0.5
"JU_a90_(0,3]",Jupiter,a90,"(0,3]",45,38,83,0.54,0.46
JU_a90_0,Jupiter,a90,0,627,635,1262,0.5,0.5
"MA_a0_(0,3]",Mars,a0,"(0,3]",58,60,118,0.49,0.51
MA_a0_0,Mars,a0,0,614,613,1227,0.5,0.5
"MA_a103_(0,3]",Mars,a103,"(0,3]",109,88,197,0.55,0.45
MA_a103_0,Mars,a103,0,563,585,1148,0.49,0.51
"MA_a120_(0,3]",Mars,a120,"(0,3]",93,72,165,0.56,0.44
MA_a120_0,Mars,a120,0,579,601,1180,0.49,0.51
"MA_a135_(0,2]",Mars,a135,"(0,2]",67,76,143,0.47,0.53
MA_a135_0,Mars,a135,0,605,597,1202,0.5,0.5
"MA_a144_(0,4]",Mars,a144,"(0,4]",135,116,251,0.54,0.46
MA_a144_0,Mars,a144,0,537,557,1094,0.49,0.51
"MA_a150_(0,3]",Mars,a150,"(0,3]",80,90,170,0.47,0.53
MA_a150_0,Mars,a150,0,592,583,1175,0.5,0.5
"MA_a180_(0,2]",Mars,a180,"(0,2]",51,45,96,0.53,0.47
MA_a180_0,Mars,a180,0,621,628,1249,0.5,0.5
"MA_a30_(0,3]",Mars,a30,"(0,3]",118,128,246,0.48,0.52
MA_a30_0,Mars,a30,0,554,545,1099,0.5,0.5
"MA_a36_(0,3]",Mars,a36,"(0,3]",105,113,218,0.48,0.52
MA_a36_0,Mars,a36,0,567,560,1127,0.5,0.5
"MA_a45_(0,3]",Mars,a45,"(0,3]",110,108,218,0.5,0.5
MA_a45_0,Mars,a45,0,562,565,1127,0.5,0.5
"MA_a60_(0,4]",Mars,a60,"(0,4]",82,94,176,0.47,0.53
MA_a60_0,Mars,a60,0,590,579,1169,0.5,0.5
