PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",125,125,250,0.5,0.5,CAR
"CAR_(6,8]",Cardinal,"(6,8]",216,226,442,0.49,0.51,CAR
"CAR_(8,14]",Cardinal,"(8,14]",258,264,522,0.49,0.51,CAR
"CAR_[0,5]",Cardinal,"[0,5]",223,199,422,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",104,125,229,0.45,0.55,FIX
"FIX_(6,7]",Fixed,"(6,7]",96,83,179,0.54,0.46,FIX
"FIX_(7,14]",Fixed,"(7,14]",84,84,168,0.5,0.5,FIX
"FIX_[0,5]",Fixed,"[0,5]",538,522,1060,0.51,0.49,FIX
"MUT_(4,6]",Mutable,"(4,6]",315,305,620,0.51,0.49,MUT
"MUT_(6,7]",Mutable,"(6,7]",151,129,280,0.54,0.46,MUT
"MUT_(7,13]",Mutable,"(7,13]",150,143,293,0.51,0.49,MUT
"MUT_[0,4]",Mutable,"[0,4]",206,237,443,0.47,0.53,MUT
