PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,157,137,294,0.53,0.47
CE_FIX,Ceres,Fixed,261,297,558,0.47,0.53
CE_MUT,Ceres,Mutable,355,330,685,0.52,0.48
CH_CAR,Chiron,Cardinal,538,535,1073,0.5,0.5
CH_MUT,Chiron,Mutable,235,229,464,0.51,0.49
JN_CAR,Juno,Cardinal,305,337,642,0.48,0.52
JN_FIX,Juno,Fixed,191,227,418,0.46,0.54
JN_MUT,Juno,Mutable,277,200,477,0.58,0.42
JU_CAR,Jupiter,Cardinal,259,249,508,0.51,0.49
JU_FIX,Jupiter,Fixed,294,270,564,0.52,0.48
JU_MUT,Jupiter,Mutable,220,245,465,0.47,0.53
MA_CAR,Mars,Cardinal,293,307,600,0.49,0.51
MA_FIX,Mars,Fixed,275,260,535,0.51,0.49
MA_MUT,Mars,Mutable,205,197,402,0.51,0.49
ME_CAR,Mercury,Cardinal,218,226,444,0.49,0.51
ME_FIX,Mercury,Fixed,266,265,531,0.5,0.5
ME_MUT,Mercury,Mutable,289,273,562,0.51,0.49
MO_CAR,Moon,Cardinal,255,259,514,0.5,0.5
MO_FIX,Moon,Fixed,257,258,515,0.5,0.5
MO_MUT,Moon,Mutable,261,247,508,0.51,0.49
NE_MUT,Neptune,Mutable,773,764,1537,0.5,0.5
NN_CAR,NNode,Cardinal,283,283,566,0.5,0.5
NN_FIX,NNode,Fixed,259,271,530,0.49,0.51
NN_MUT,NNode,Mutable,231,210,441,0.52,0.48
PA_CAR,Pallas,Cardinal,347,374,721,0.48,0.52
PA_FIX,Pallas,Fixed,240,223,463,0.52,0.48
PA_MUT,Pallas,Mutable,186,167,353,0.53,0.47
PH_CAR,Pholus,Cardinal,523,519,1042,0.5,0.5
PH_MUT,Pholus,Mutable,250,245,495,0.51,0.49
PL_CAR,Pluto,Cardinal,773,764,1537,0.5,0.5
SA_CAR,Saturn,Cardinal,487,502,989,0.49,0.51
SA_FIX,Saturn,Fixed,187,161,348,0.54,0.46
SA_MUT,Saturn,Mutable,99,101,200,0.5,0.5
SN_CAR,SNode,Cardinal,283,283,566,0.5,0.5
SN_FIX,SNode,Fixed,259,271,530,0.49,0.51
SN_MUT,SNode,Mutable,231,210,441,0.52,0.48
SU_CAR,Sun,Cardinal,279,235,514,0.54,0.46
SU_FIX,Sun,Fixed,253,265,518,0.49,0.51
SU_MUT,Sun,Mutable,241,264,505,0.48,0.52
UR_CAR,Uranus,Cardinal,229,237,466,0.49,0.51
UR_FIX,Uranus,Fixed,544,527,1071,0.51,0.49
VE_CAR,Venus,Cardinal,226,252,478,0.47,0.53
VE_FIX,Venus,Fixed,268,245,513,0.52,0.48
VE_MUT,Venus,Mutable,279,267,546,0.51,0.49
VS_CAR,Vesta,Cardinal,193,182,375,0.51,0.49
VS_FIX,Vesta,Fixed,254,267,521,0.49,0.51
VS_MUT,Vesta,Mutable,326,315,641,0.51,0.49
