PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",69,55,124,0.56,0.44
CE_a0_0,Ceres,Conjunction,0,704,709,1413,0.5,0.5
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",184,165,349,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,589,599,1188,0.5,0.5
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",184,195,379,0.49,0.51
CE_a120_0,Ceres,Trine,0,589,569,1158,0.51,0.49
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",135,141,276,0.49,0.51
CE_a135_0,Ceres,SesquiSquare,0,638,623,1261,0.51,0.49
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",156,140,296,0.53,0.47
CE_a144_0,Ceres,BiQuintile,0,617,624,1241,0.5,0.5
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",132,145,277,0.48,0.52
CE_a150_0,Ceres,Quincunx,0,641,619,1260,0.51,0.49
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",75,71,146,0.51,0.49
CE_a180_0,Ceres,Opposition,0,698,693,1391,0.5,0.5
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",175,155,330,0.53,0.47
CE_a30_0,Ceres,SemiSextile,0,598,609,1207,0.5,0.5
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",154,143,297,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,619,621,1240,0.5,0.5
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",184,157,341,0.54,0.46
CE_a45_0,Ceres,SemiSquare,0,589,607,1196,0.49,0.51
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",146,142,288,0.51,0.49
CE_a60_0,Ceres,Sextile,0,627,622,1249,0.5,0.5
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",105,119,224,0.47,0.53
CE_a72_0,Ceres,Quintile,0,668,645,1313,0.51,0.49
"CE_a90_(0,4]",Ceres,Square,"(0,4]",163,141,304,0.54,0.46
CE_a90_0,Ceres,Square,0,610,623,1233,0.49,0.51
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",74,68,142,0.52,0.48
CH_a0_0,Chiron,Conjunction,0,699,696,1395,0.5,0.5
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",191,206,397,0.48,0.52
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",62,43,105,0.59,0.41
CH_a103_0,Chiron,BiSeptile,0,520,515,1035,0.5,0.5
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",176,203,379,0.46,0.54
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",33,37,70,0.47,0.53
CH_a120_0,Chiron,Trine,0,564,524,1088,0.52,0.48
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",178,161,339,0.53,0.47
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",26,44,70,0.37,0.63
CH_a135_0,Chiron,SesquiSquare,0,569,559,1128,0.5,0.5
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",145,157,302,0.48,0.52
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",59,45,104,0.57,0.43
CH_a144_0,Chiron,BiQuintile,0,569,562,1131,0.5,0.5
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",166,178,344,0.48,0.52
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",29,31,60,0.48,0.52
CH_a150_0,Chiron,Quincunx,0,578,555,1133,0.51,0.49
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",104,85,189,0.55,0.45
CH_a180_0,Chiron,Opposition,0,669,679,1348,0.5,0.5
"CH_a30_(0,1]",Chiron,SemiSextile,"(0,1]",183,158,341,0.54,0.46
"CH_a30_(1,4]",Chiron,SemiSextile,"(1,4]",30,20,50,0.6,0.4
CH_a30_0,Chiron,SemiSextile,0,560,586,1146,0.49,0.51
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",218,217,435,0.5,0.5
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",37,31,68,0.54,0.46
CH_a36_0,Chiron,SemiQuintile,0,518,516,1034,0.5,0.5
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",204,204,408,0.5,0.5
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",29,27,56,0.52,0.48
CH_a45_0,Chiron,SemiSquare,0,540,533,1073,0.5,0.5
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",229,220,449,0.51,0.49
"CH_a60_(1,4]",Chiron,Sextile,"(1,4]",56,57,113,0.5,0.5
CH_a60_0,Chiron,Sextile,0,488,487,975,0.5,0.5
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",235,195,430,0.55,0.45
"CH_a72_(1,4]",Chiron,Quintile,"(1,4]",100,95,195,0.51,0.49
CH_a72_0,Chiron,Quintile,0,438,474,912,0.48,0.52
"CH_a90_(0,1]",Chiron,Square,"(0,1]",160,228,388,0.41,0.59
"CH_a90_(1,5]",Chiron,Square,"(1,5]",33,46,79,0.42,0.58
CH_a90_0,Chiron,Square,0,580,490,1070,0.54,0.46
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",64,63,127,0.5,0.5
JN_a0_0,Juno,Conjunction,0,709,701,1410,0.5,0.5
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",158,152,310,0.51,0.49
JN_a103_0,Juno,BiSeptile,0,615,612,1227,0.5,0.5
"JN_a120_(0,4]",Juno,Trine,"(0,4]",127,120,247,0.51,0.49
JN_a120_0,Juno,Trine,0,646,644,1290,0.5,0.5
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",118,129,247,0.48,0.52
JN_a135_0,Juno,SesquiSquare,0,655,635,1290,0.51,0.49
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",166,127,293,0.57,0.43
JN_a144_0,Juno,BiQuintile,0,607,637,1244,0.49,0.51
"JN_a150_(0,4]",Juno,Quincunx,"(0,4]",130,157,287,0.45,0.55
JN_a150_0,Juno,Quincunx,0,643,607,1250,0.51,0.49
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",58,75,133,0.44,0.56
JN_a180_0,Juno,Opposition,0,715,689,1404,0.51,0.49
"JN_a30_(0,4]",Juno,SemiSextile,"(0,4]",113,123,236,0.48,0.52
JN_a30_0,Juno,SemiSextile,0,660,641,1301,0.51,0.49
"JN_a36_(0,4]",Juno,SemiQuintile,"(0,4]",113,124,237,0.48,0.52
JN_a36_0,Juno,SemiQuintile,0,660,640,1300,0.51,0.49
"JN_a45_(0,4]",Juno,SemiSquare,"(0,4]",117,108,225,0.52,0.48
JN_a45_0,Juno,SemiSquare,0,656,656,1312,0.5,0.5
"JN_a60_(0,4]",Juno,Sextile,"(0,4]",132,96,228,0.58,0.42
JN_a60_0,Juno,Sextile,0,641,668,1309,0.49,0.51
"JN_a72_(0,4]",Juno,Quintile,"(0,4]",210,226,436,0.48,0.52
JN_a72_0,Juno,Quintile,0,563,538,1101,0.51,0.49
"JN_a90_(0,3]",Juno,Square,"(0,3]",165,163,328,0.5,0.5
JN_a90_0,Juno,Square,0,608,601,1209,0.5,0.5
"JU_a0_(0,3]",Jupiter,Conjunction,"(0,3]",147,116,263,0.56,0.44
JU_a0_0,Jupiter,Conjunction,0,626,648,1274,0.49,0.51
"JU_a103_(0,4]",Jupiter,BiSeptile,"(0,4]",171,141,312,0.55,0.45
JU_a103_0,Jupiter,BiSeptile,0,602,623,1225,0.49,0.51
"JU_a120_(0,4]",Jupiter,Trine,"(0,4]",114,118,232,0.49,0.51
JU_a120_0,Jupiter,Trine,0,659,646,1305,0.5,0.5
"JU_a135_(0,4]",Jupiter,SesquiSquare,"(0,4]",161,173,334,0.48,0.52
JU_a135_0,Jupiter,SesquiSquare,0,612,591,1203,0.51,0.49
"JU_a144_(0,4]",Jupiter,BiQuintile,"(0,4]",142,152,294,0.48,0.52
JU_a144_0,Jupiter,BiQuintile,0,631,612,1243,0.51,0.49
"JU_a150_(0,4]",Jupiter,Quincunx,"(0,4]",134,121,255,0.53,0.47
JU_a150_0,Jupiter,Quincunx,0,639,643,1282,0.5,0.5
"JU_a180_(0,3]",Jupiter,Opposition,"(0,3]",75,81,156,0.48,0.52
JU_a180_0,Jupiter,Opposition,0,698,683,1381,0.51,0.49
"JU_a30_(0,4]",Jupiter,SemiSextile,"(0,4]",172,152,324,0.53,0.47
JU_a30_0,Jupiter,SemiSextile,0,601,612,1213,0.5,0.5
"JU_a36_(0,4]",Jupiter,SemiQuintile,"(0,4]",195,199,394,0.49,0.51
