PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",169,149,318,0.53,0.47
CE_3,Ceres,3,194,209,403,0.48,0.52
"CE_[0,2]",Ceres,"[0,2]",316,321,637,0.5,0.5
"CH_(3,4]",Chiron,"(3,4]",169,146,315,0.54,0.46
"CH_(4,5]",Chiron,"(4,5]",152,132,284,0.54,0.46
"CH_(5,11]",Chiron,"(5,11]",148,171,319,0.46,0.54
"CH_[0,3]",Chiron,"[0,3]",210,230,440,0.48,0.52
"JN_(1,2]",Juno,"(1,2]",229,217,446,0.51,0.49
"JN_(2,3]",Juno,"(2,3]",186,181,367,0.51,0.49
"JN_(3,7]",Juno,"(3,7]",103,121,224,0.46,0.54
"JN_[0,1]",Juno,"[0,1]",161,160,321,0.5,0.5
"JU_(2,3]",Jupiter,"(2,3]",205,194,399,0.51,0.49
"JU_(3,4]",Jupiter,"(3,4]",145,142,287,0.51,0.49
"JU_(4,8]",Jupiter,"(4,8]",90,85,175,0.51,0.49
"JU_[0,2]",Jupiter,"[0,2]",239,258,497,0.48,0.52
"MA_(2,5]",Mars,"(2,5]",135,139,274,0.49,0.51
MA_2,Mars,2,231,241,472,0.49,0.51
"MA_[0,1]",Mars,"[0,1]",313,299,612,0.51,0.49
"ME_(1,3]",Mercury,"(1,3]",78,79,157,0.5,0.5
ME_0,Mercury,0,181,193,374,0.48,0.52
ME_1,Mercury,1,420,407,827,0.51,0.49
"NE_(4,5]",Neptune,"(4,5]",131,132,263,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",116,102,218,0.53,0.47
"NE_(6,13]",Neptune,"(6,13]",176,176,352,0.5,0.5
"NE_[0,4]",Neptune,"[0,4]",256,269,525,0.49,0.51
"NN_(2,3]",NNode,"(2,3]",187,199,386,0.48,0.52
"NN_(3,4]",NNode,"(3,4]",156,146,302,0.52,0.48
"NN_(4,9]",NNode,"(4,9]",148,152,300,0.49,0.51
"NN_[0,2]",NNode,"[0,2]",188,182,370,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",191,199,390,0.49,0.51
"PA_(3,4]",Pallas,"(3,4]",145,156,301,0.48,0.52
"PA_(4,8]",Pallas,"(4,8]",91,86,177,0.51,0.49
"PA_[0,2]",Pallas,"[0,2]",252,238,490,0.51,0.49
"PH_(3,5]",Pholus,"(3,5]",257,231,488,0.53,0.47
"PH_(5,6]",Pholus,"(5,6]",89,116,205,0.43,0.57
"PH_(6,13]",Pholus,"(6,13]",130,136,266,0.49,0.51
"PH_[0,3]",Pholus,"[0,3]",203,196,399,0.51,0.49
"PL_(4,5]",Pluto,"(4,5]",137,143,280,0.49,0.51
"PL_(5,6]",Pluto,"(5,6]",127,90,217,0.59,0.41
"PL_(6,14]",Pluto,"(6,14]",109,108,217,0.5,0.5
"PL_[0,4]",Pluto,"[0,4]",306,338,644,0.48,0.52
"SA_(3,4]",Saturn,"(3,4]",133,132,265,0.5,0.5
"SA_(4,5]",Saturn,"(4,5]",143,127,270,0.53,0.47
"SA_(5,11]",Saturn,"(5,11]",176,200,376,0.47,0.53
"SA_[0,3]",Saturn,"[0,3]",227,220,447,0.51,0.49
"SN_(3,4]",SNode,"(3,4]",175,206,381,0.46,0.54
"SN_(4,5]",SNode,"(4,5]",156,137,293,0.53,0.47
"SN_(5,10]",SNode,"(5,10]",153,152,305,0.5,0.5
"SN_[1,3]",SNode,"[1,3]",195,184,379,0.51,0.49
"SU_(1,2]",Sun,"(1,2]",220,219,439,0.5,0.5
"SU_(2,4]",Sun,"(2,4]",27,65,92,0.29,0.71
SU_1,Sun,1,321,295,616,0.52,0.48
"SU_[0,1)",Sun,"[0,1)",111,100,211,0.53,0.47
"UR_(3,5]",Uranus,"(3,5]",287,289,576,0.5,0.5
"UR_(5,6]",Uranus,"(5,6]",133,115,248,0.54,0.46
"UR_(6,13]",Uranus,"(6,13]",129,140,269,0.48,0.52
"UR_[0,3]",Uranus,"[0,3]",130,135,265,0.49,0.51
"VE_(1,2]",Venus,"(1,2]",167,172,339,0.49,0.51
"VE_(2,3]",Venus,"(2,3]",23,28,51,0.45,0.55
VE_1,Venus,1,362,323,685,0.53,0.47
"VE_[0,1)",Venus,"[0,1)",127,156,283,0.45,0.55
"VS_(1,2]",Vesta,"(1,2]",245,257,502,0.49,0.51
"VS_(2,3]",Vesta,"(2,3]",155,144,299,0.52,0.48
"VS_(3,6]",Vesta,"(3,6]",60,63,123,0.49,0.51
"VS_[0,1]",Vesta,"[0,1]",219,215,434,0.5,0.5
