PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_PA_a103,1,12,0.015,0.082,0.008,0.009,0.078,-0.116,0.202,0.317,0.565,-0.061,0.024
CH_UR_a30,1,1365,0.002,0.05,0,0.001,0.037,-0.239,0.24,0.479,0.318,2.816,0.001
JN_JU_a72,1,71,-0.002,0.062,0,0.001,0.038,-0.186,0.128,0.314,-0.549,0.609,0.007
JN_PA_a103,1,76,0.002,0.037,0.006,0.003,0.032,-0.114,0.079,0.194,-0.251,0.329,0.004
JN_PL_a0,1,18,0.002,0.057,0.001,0.004,0.064,-0.116,0.079,0.196,-0.449,-0.911,0.013
JU_PL_a72,1,66,-0.002,0.031,0.001,-0.002,0.027,-0.068,0.066,0.135,-0.042,-0.295,0.004
JU_SN_a103,1,20,-0.002,0.044,-0.009,-0.003,0.055,-0.065,0.079,0.145,0.285,-1.15,0.01
MA_CE_a60,1,44,0.009,0.063,-0.001,0.001,0.058,-0.065,0.24,0.306,1.704,3.724,0.009
MA_NE_a150,1,26,-0.012,0.025,-0.014,-0.012,0.023,-0.065,0.04,0.105,-0.041,-0.536,0.005
MA_SA_a72,1,42,0.002,0.04,0.001,0.003,0.037,-0.088,0.079,0.167,-0.119,-0.578,0.006
ME_SN_a72,1,54,0,0.038,-0.002,-0.003,0.034,-0.065,0.101,0.166,0.528,0.099,0.005
ME_UR_a135,1,46,-0.012,0.046,-0.008,-0.009,0.027,-0.141,0.066,0.207,-0.794,0.485,0.007
MO_VE_a60,1,134,0.005,0.047,0.003,0.004,0.035,-0.138,0.173,0.311,0.201,1.127,0.004
NN_CH_a144,1,53,0.031,0.081,0.029,0.029,0.067,-0.162,0.209,0.371,0.168,-0.211,0.011
NN_SN_a180,1,1901,0.001,0.048,0,0.001,0.035,-0.239,0.376,0.615,0.553,4.812,0.001
PA_CH_a36,1,51,0.016,0.078,0.004,0.01,0.069,-0.116,0.24,0.356,0.788,0.596,0.011
PA_PL_a103,1,82,-0.004,0.051,-0.002,-0.003,0.041,-0.141,0.123,0.264,-0.181,0.511,0.006
PA_SN_a72,1,41,0.011,0.08,0.001,0.007,0.084,-0.17,0.202,0.372,0.275,0.022,0.012
SA_CH_a90,1,63,-0.011,0.049,-0.01,-0.01,0.048,-0.136,0.096,0.232,-0.141,-0.138,0.006
SA_PH_a0,1,48,0.024,0.077,0.026,0.022,0.058,-0.162,0.209,0.371,0.159,0.092,0.011
SA_UR_a120,1,95,-0.005,0.045,-0.003,-0.004,0.037,-0.136,0.096,0.232,-0.217,0.306,0.005
SN_CH_a36,1,53,0.031,0.081,0.029,0.029,0.067,-0.162,0.209,0.371,0.168,-0.211,0.011
SU_MA_a36,1,53,0.001,0.05,-0.006,0,0.053,-0.114,0.123,0.237,0.11,-0.484,0.007
SU_NN_a90,1,44,0.009,0.037,0.012,0.009,0.039,-0.066,0.119,0.184,0.312,0.415,0.006
SU_PH_a36,1,49,0,0.04,-0.006,-0.001,0.028,-0.103,0.12,0.223,0.263,0.851,0.006
SU_SA_a36,1,49,0.003,0.051,0.012,0.002,0.042,-0.109,0.182,0.291,0.421,1.508,0.007
SU_SN_a90,1,44,0.009,0.037,0.012,0.009,0.039,-0.066,0.119,0.184,0.312,0.415,0.006
UR_NE_a45,1,586,0.003,0.048,0,0.002,0.036,-0.239,0.209,0.448,0.123,2.819,0.002
UR_PH_a120,1,362,0.001,0.051,-0.001,0.001,0.039,-0.239,0.229,0.467,0.004,3.109,0.003
VE_JN_a72,1,40,0,0.041,-0.002,0,0.049,-0.072,0.096,0.167,0.024,-0.829,0.007
VE_JU_a0,1,21,0.011,0.07,-0.002,-0.002,0.04,-0.065,0.229,0.294,1.712,2.602,0.015
VE_PL_a72,1,56,0.004,0.057,0.016,0.007,0.063,-0.145,0.092,0.237,-0.586,-0.495,0.008
VE_SN_a103,1,43,0.009,0.053,0.008,0.004,0.037,-0.072,0.2,0.273,1.266,2.755,0.008
VS_CE_a72,1,2,-0.007,0.083,-0.007,-0.007,0.087,-0.065,0.052,0.118,0,-2.75,0.059
VS_NE_a135,1,18,0.008,0.05,0.011,0.007,0.039,-0.083,0.121,0.204,0.165,-0.364,0.012
VS_PH_a60,1,94,0.002,0.039,-0.001,0,0.03,-0.094,0.141,0.235,0.587,1.177,0.004
MO_JU_a60,1,141,-0.003,0.048,-0.002,0,0.038,-0.239,0.138,0.377,-1.098,4.471,0.004
MO_MA_a36,1,137,-0.01,0.044,-0.005,-0.009,0.03,-0.186,0.203,0.389,0.192,5.051,0.004
MO_SU_a72,1,136,0.004,0.053,0,0.001,0.037,-0.108,0.376,0.484,2.553,15.812,0.005
MO_ME_a90,1,134,0.007,0.043,0.006,0.004,0.035,-0.108,0.159,0.267,0.697,1.109,0.004
MO_UR_a135,1,139,-0.002,0.049,0.004,0,0.04,-0.145,0.141,0.286,-0.295,0.77,0.004
ME_PL_a36,1,68,0.008,0.077,0.01,0.01,0.041,-0.239,0.24,0.479,-0.31,2.279,0.009
MO_NE_a180,1,71,-0.006,0.05,-0.001,-0.002,0.042,-0.139,0.097,0.236,-0.63,0.128,0.006
ME_JN_a36,1,55,-0.005,0.059,-0.004,-0.006,0.05,-0.17,0.173,0.343,0.22,1.07,0.008
ME_NE_a90,1,71,-0.005,0.062,0,-0.003,0.051,-0.162,0.157,0.319,-0.22,0.381,0.007
ME_CH_a103,1,42,0.006,0.055,0.01,0.008,0.038,-0.162,0.157,0.319,-0.36,1.661,0.008
MO_MA_a30,1,138,-0.001,0.048,-0.002,-0.003,0.029,-0.142,0.24,0.382,0.901,4.483,0.004
MO_SA_a103,1,140,0.002,0.044,-0.001,0.004,0.04,-0.142,0.101,0.243,-0.38,0.564,0.004
MO_VS_a45,1,139,0.001,0.051,0.001,0.002,0.034,-0.183,0.209,0.392,-0.091,3.404,0.004
JN_NN_a150,1,39,0.012,0.046,0.004,0.013,0.043,-0.097,0.098,0.195,-0.183,-0.565,0.007
JN_SN_a30,1,39,0.012,0.046,0.004,0.013,0.043,-0.097,0.098,0.195,-0.183,-0.565,0.007
MO_PH_a103,1,140,-0.008,0.041,-0.004,-0.007,0.035,-0.122,0.097,0.219,-0.329,0.223,0.003
MO_CE_a30,1,143,0.001,0.051,-0.002,-0.002,0.035,-0.139,0.24,0.379,1.318,4.854,0.004
MO_PA_a135,1,139,0.005,0.04,0.006,0.006,0.035,-0.13,0.141,0.271,-0.114,1.169,0.003
MA_PH_a72,1,38,-0.01,0.05,-0.009,-0.007,0.037,-0.145,0.079,0.224,-0.566,0.197,0.008
MO_JN_a120,1,140,0.008,0.054,0.006,0.007,0.031,-0.186,0.376,0.562,1.71,16.171,0.005
MO_PL_a120,1,142,-0.001,0.044,0,0.001,0.031,-0.145,0.101,0.246,-0.641,1.121,0.004
MO_NN_a30,1,142,0.001,0.051,0.001,0,0.035,-0.139,0.24,0.379,0.903,4.598,0.004
MO_SN_a150,1,142,0.001,0.051,0.001,0,0.035,-0.139,0.24,0.379,0.903,4.598,0.004
MO_UR_a144,1,140,-0.003,0.048,-0.003,-0.002,0.039,-0.148,0.149,0.297,-0.215,1.073,0.004
MO_CE_a36,1,143,0.005,0.055,0,0,0.037,-0.117,0.24,0.357,1.444,4.307,0.005
MO_SU_a60,1,137,0.004,0.047,0.002,0.004,0.037,-0.138,0.173,0.311,0.226,1.284,0.004
MO_JU_a45,1,140,0,0.046,-0.002,-0.002,0.031,-0.112,0.209,0.321,1.08,3.701,0.004
MO_VE_a45,1,130,0,0.048,0.001,-0.001,0.033,-0.162,0.24,0.402,0.85,5.707,0.004
MO_VS_a36,1,139,0.005,0.045,0.001,0.002,0.027,-0.161,0.183,0.344,0.47,3.013,0.004
VS_CH_a144,1,25,0.009,0.028,0,0.006,0.021,-0.026,0.079,0.105,1.057,0.033,0.006
