PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,68,58,126,0.54,0.46
CE_CAN,33,26,59,0.56,0.44
CE_CAP,41,35,76,0.54,0.46
CE_LEO,151,126,277,0.55,0.45
CE_LIB,33,33,66,0.5,0.5
CE_PIS,141,88,229,0.62,0.38
CE_SAG,155,140,295,0.53,0.47
CE_SCO,37,38,75,0.49,0.51
CE_VIR,26,44,70,0.37,0.63
CH_ARI,459,404,863,0.53,0.47
CH_PIS,226,184,410,0.55,0.45
EM_AQU,184,171,355,0.52,0.48
EM_CAN,92,55,147,0.63,0.37
EM_CAP,168,158,326,0.52,0.48
EM_GEM,33,18,51,0.65,0.35
EM_LEO,193,171,364,0.53,0.47
EM_SAG,15,15,30,0.5,0.5
ES_AQU,72,76,148,0.49,0.51
ES_CAN,190,192,382,0.5,0.5
ES_CAP,212,144,356,0.6,0.4
ES_LEO,165,160,325,0.51,0.49
ES_PIS,20,5,25,0.8,0.2
ES_SAG,26,11,37,0.7,0.3
JN_AQU,39,30,69,0.57,0.43
JN_ARI,30,34,64,0.47,0.53
JN_CAN,32,30,62,0.52,0.48
JN_CAP,80,62,142,0.56,0.44
JN_GEM,58,35,93,0.62,0.38
JN_LEO,28,35,63,0.44,0.56
JN_LIB,186,135,321,0.58,0.42
JN_PIS,37,27,64,0.58,0.42
JN_SAG,22,11,33,0.67,0.33
JN_SCO,48,41,89,0.54,0.46
JN_TAU,93,107,200,0.46,0.54
JN_VIR,32,41,73,0.44,0.56
JU_AQU,21,11,32,0.66,0.34
JU_CAP,225,158,383,0.59,0.41
JU_LIB,43,32,75,0.57,0.43
JU_SAG,196,193,389,0.5,0.5
JU_SCO,200,194,394,0.51,0.49
MA_AQU,97,101,198,0.49,0.51
MA_ARI,143,93,236,0.61,0.39
MA_CAN,23,23,46,0.5,0.5
MA_CAP,67,65,132,0.51,0.49
MA_GEM,25,21,46,0.54,0.46
MA_LEO,48,40,88,0.55,0.45
MA_LIB,53,41,94,0.56,0.44
MA_PIS,48,45,93,0.52,0.48
MA_SAG,55,39,94,0.59,0.41
MA_SCO,51,42,93,0.55,0.45
MA_TAU,38,21,59,0.64,0.36
MA_VIR,37,57,94,0.39,0.61
ME_AQU,49,28,77,0.64,0.36
ME_ARI,58,45,103,0.56,0.44
ME_CAN,75,56,131,0.57,0.43
ME_CAP,45,31,76,0.59,0.41
ME_GEM,27,18,45,0.6,0.4
ME_LEO,52,83,135,0.39,0.61
ME_LIB,37,52,89,0.42,0.58
ME_PIS,81,57,138,0.59,0.41
ME_SAG,92,69,161,0.57,0.43
ME_SCO,87,84,171,0.51,0.49
ME_TAU,22,23,45,0.49,0.51
ME_VIR,60,42,102,0.59,0.41
MO_AQU,78,38,116,0.67,0.33
MO_ARI,59,54,113,0.52,0.48
MO_CAN,61,39,100,0.61,0.39
MO_CAP,66,48,114,0.58,0.42
MO_GEM,49,52,101,0.49,0.51
MO_LEO,56,41,97,0.58,0.42
MO_LIB,52,49,101,0.51,0.49
MO_PIS,65,50,115,0.57,0.43
MO_SAG,50,57,107,0.47,0.53
MO_SCO,53,52,105,0.5,0.5
MO_TAU,52,55,107,0.49,0.51
MO_VIR,44,53,97,0.45,0.55
NE_PIS,685,588,1273,0.54,0.46
NN_CAN,308,259,567,0.54,0.46
NN_GEM,134,96,230,0.58,0.42
NN_LEO,243,233,476,0.51,0.49
PA_AQU,50,27,77,0.65,0.35
PA_ARI,43,22,65,0.66,0.34
PA_CAN,22,29,51,0.43,0.57
PA_CAP,167,124,291,0.57,0.43
PA_GEM,29,23,52,0.56,0.44
PA_LEO,22,33,55,0.4,0.6
PA_LIB,157,137,294,0.53,0.47
PA_SAG,38,33,71,0.54,0.46
PA_SCO,32,42,74,0.43,0.57
PA_TAU,94,87,181,0.52,0.48
PA_VIR,31,31,62,0.5,0.5
PH_CAP,472,360,832,0.57,0.43
PH_SAG,213,228,441,0.48,0.52
PL_CAP,685,588,1273,0.54,0.46
SA_AQU,85,50,135,0.63,0.37
SA_CAP,517,475,992,0.52,0.48
SA_SAG,83,63,146,0.57,0.43
SN_AQU,243,233,476,0.51,0.49
SN_CAP,308,259,567,0.54,0.46
SN_SAG,134,96,230,0.58,0.42
SU_AQU,53,36,89,0.6,0.4
SU_ARI,60,32,92,0.65,0.35
SU_CAN,40,55,95,0.42,0.58
SU_CAP,77,41,118,0.65,0.35
SU_GEM,51,42,93,0.55,0.45
SU_LEO,67,53,120,0.56,0.44
SU_LIB,64,57,121,0.53,0.47
SU_PIS,47,43,90,0.52,0.48
SU_SAG,70,48,118,0.59,0.41
SU_SCO,51,69,120,0.42,0.57
SU_TAU,50,43,93,0.54,0.46
SU_VIR,55,69,124,0.44,0.56
UR_ARI,228,184,412,0.55,0.45
UR_TAU,457,404,861,0.53,0.47
VE_AQU,42,30,72,0.58,0.42
VE_ARI,38,39,77,0.49,0.51
VE_CAN,60,46,106,0.57,0.43
VE_CAP,53,34,87,0.61,0.39
VE_GEM,103,76,179,0.58,0.42
VE_LEO,48,54,102,0.47,0.53
VE_LIB,50,88,138,0.36,0.64
VE_PIS,48,26,74,0.65,0.35
VE_SAG,59,40,99,0.6,0.4
VE_SCO,90,70,160,0.56,0.44
VE_TAU,46,32,78,0.59,0.41
VE_VIR,48,53,101,0.48,0.52
VS_AQU,36,26,62,0.58,0.42
VS_ARI,35,32,67,0.52,0.48
VS_CAN,42,27,69,0.61,0.39
VS_CAP,71,75,146,0.49,0.51
VS_GEM,48,26,74,0.65,0.35
VS_LEO,41,31,72,0.57,0.43
VS_LIB,29,30,59,0.49,0.51
VS_PIS,42,19,61,0.69,0.31
VS_SAG,77,97,174,0.44,0.56
