PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",165,121,286,0.58,0.42
CE_a0_0,Ceres,Conjunction,0,660,575,1235,0.53,0.47
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",255,197,452,0.56,0.44
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",64,63,127,0.5,0.5
CE_a103_0,Ceres,BiSeptile,0,506,436,942,0.54,0.46
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",211,207,418,0.5,0.5
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",49,53,102,0.48,0.52
CE_a120_0,Ceres,Trine,0,565,436,1001,0.56,0.44
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",230,197,427,0.54,0.46
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",50,66,116,0.43,0.57
CE_a135_0,Ceres,SesquiSquare,0,545,433,978,0.56,0.44
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",207,189,396,0.52,0.48
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",81,52,133,0.61,0.39
CE_a144_0,Ceres,BiQuintile,0,537,455,992,0.54,0.46
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",244,211,455,0.54,0.46
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",33,34,67,0.49,0.51
CE_a150_0,Ceres,Quincunx,0,548,451,999,0.55,0.45
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",143,118,261,0.55,0.45
CE_a180_0,Ceres,Opposition,0,682,578,1260,0.54,0.46
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",276,226,502,0.55,0.45
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",75,73,148,0.51,0.49
CE_a30_0,Ceres,SemiSextile,0,474,397,871,0.54,0.46
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",268,200,468,0.57,0.43
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",135,124,259,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,422,372,794,0.53,0.47
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",280,207,487,0.57,0.43
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",121,102,223,0.54,0.46
CE_a45_0,Ceres,SemiSquare,0,424,387,811,0.52,0.48
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",275,218,493,0.56,0.44
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",60,34,94,0.64,0.36
CE_a60_0,Ceres,Sextile,0,490,444,934,0.52,0.48
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",252,202,454,0.56,0.44
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",33,29,62,0.53,0.47
CE_a72_0,Ceres,Quintile,0,540,465,1005,0.54,0.46
"CE_a90_(0,1]",Ceres,Square,"(0,1]",206,179,385,0.54,0.46
"CE_a90_(1,5]",Ceres,Square,"(1,5]",33,45,78,0.42,0.58
CE_a90_0,Ceres,Square,0,586,472,1058,0.55,0.45
