PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",131,116,247,0.53,0.47
"CE_(5,7]",Ceres,"(5,7]",249,196,445,0.56,0.44
"CE_(7,13]",Ceres,"(7,13]",145,128,273,0.53,0.47
"CE_[0,4]",Ceres,"[0,4]",192,165,357,0.54,0.46
"CH_(4,5]",Chiron,"(4,5]",152,139,291,0.52,0.48
"CH_(5,7]",Chiron,"(5,7]",303,212,515,0.59,0.41
"CH_(7,13]",Chiron,"(7,13]",147,132,279,0.53,0.47
"CH_[0,4]",Chiron,"[0,4]",115,122,237,0.49,0.51
"JN_(4,5]",Juno,"(4,5]",144,127,271,0.53,0.47
"JN_(5,7]",Juno,"(5,7]",218,174,392,0.56,0.44
"JN_(7,14]",Juno,"(7,14]",85,79,164,0.52,0.48
"JN_[0,4]",Juno,"[0,4]",270,225,495,0.55,0.45
"JU_(4,5]",Jupiter,"(4,5]",149,115,264,0.56,0.44
"JU_(5,7]",Jupiter,"(5,7]",198,167,365,0.54,0.46
"JU_(7,12]",Jupiter,"(7,12]",91,90,181,0.5,0.5
"JU_[0,4]",Jupiter,"[0,4]",279,233,512,0.54,0.46
"MA_(4,5]",Mars,"(4,5]",143,96,239,0.6,0.4
"MA_(5,7]",Mars,"(5,7]",208,192,400,0.52,0.48
"MA_(7,13]",Mars,"(7,13]",107,110,217,0.49,0.51
"MA_[0,4]",Mars,"[0,4]",259,207,466,0.56,0.44
"ME_(4,5]",Mercury,"(4,5]",136,107,243,0.56,0.44
"ME_(5,7]",Mercury,"(5,7]",214,181,395,0.54,0.46
"ME_(7,14]",Mercury,"(7,14]",86,58,144,0.6,0.4
"ME_[0,4]",Mercury,"[0,4]",281,259,540,0.52,0.48
"MO_(13,15]",Moon,"(13,15]",226,180,406,0.56,0.44
"MO_(15,17]",Moon,"(15,17]",173,151,324,0.53,0.47
"MO_(17,27]",Moon,"(17,27]",103,106,209,0.49,0.51
"MO_[5,13]",Moon,"[5,13]",215,168,383,0.56,0.44
"NE_(4,5]",Neptune,"(4,5]",136,108,244,0.56,0.44
"NE_(5,6]",Neptune,"(5,6]",111,94,205,0.54,0.46
"NE_(6,13]",Neptune,"(6,13]",198,148,346,0.57,0.43
"NE_[0,4]",Neptune,"[0,4]",272,255,527,0.52,0.48
"NN_(5,6]",NNode,"(5,6]",145,116,261,0.56,0.44
"NN_(6,7]",NNode,"(6,7]",118,94,212,0.56,0.44
"NN_(7,13]",NNode,"(7,13]",167,176,343,0.49,0.51
"NN_[1,5]",NNode,"[1,5]",287,219,506,0.57,0.43
"PA_(4,5]",Pallas,"(4,5]",111,123,234,0.47,0.53
"PA_(5,7]",Pallas,"(5,7]",234,178,412,0.57,0.43
"PA_(7,13]",Pallas,"(7,13]",105,86,191,0.55,0.45
"PA_[0,4]",Pallas,"[0,4]",267,218,485,0.55,0.45
"PH_(4,5]",Pholus,"(4,5]",125,116,241,0.52,0.48
"PH_(5,6]",Pholus,"(5,6]",115,117,232,0.5,0.5
"PH_(6,13]",Pholus,"(6,13]",159,114,273,0.58,0.42
"PH_[0,4]",Pholus,"[0,4]",318,258,576,0.55,0.45
"PL_(4,5]",Pluto,"(4,5]",136,133,269,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",122,89,211,0.58,0.42
"PL_(6,14]",Pluto,"(6,14]",127,95,222,0.57,0.43
"PL_[0,4]",Pluto,"[0,4]",332,288,620,0.54,0.46
"SA_(4,5]",Saturn,"(4,5]",138,104,242,0.57,0.43
"SA_(5,7]",Saturn,"(5,7]",236,221,457,0.52,0.48
"SA_(7,14]",Saturn,"(7,14]",109,93,202,0.54,0.46
"SA_[0,4]",Saturn,"[0,4]",234,187,421,0.56,0.44
"SN_(5,6]",SNode,"(5,6]",151,121,272,0.56,0.44
"SN_(6,7]",SNode,"(6,7]",129,110,239,0.54,0.46
"SN_(7,13]",SNode,"(7,13]",167,170,337,0.5,0.5
"SN_[1,5]",SNode,"[1,5]",270,204,474,0.57,0.43
"SU_(4,5]",Sun,"(4,5]",160,146,306,0.52,0.48
"SU_(5,7]",Sun,"(5,7]",219,168,387,0.57,0.43
"SU_(7,14]",Sun,"(7,14]",98,82,180,0.54,0.46
"SU_[0,4]",Sun,"[0,4]",240,209,449,0.53,0.47
"UR_(4,5]",Uranus,"(4,5]",122,112,234,0.52,0.48
"UR_(5,7]",Uranus,"(5,7]",303,231,534,0.57,0.43
"UR_(7,15]",Uranus,"(7,15]",186,143,329,0.57,0.43
"UR_[0,4]",Uranus,"[0,4]",106,119,225,0.47,0.53
"VE_(4,5]",Venus,"(4,5]",131,123,254,0.52,0.48
"VE_(5,7]",Venus,"(5,7]",241,164,405,0.6,0.4
"VE_(7,14]",Venus,"(7,14]",123,105,228,0.54,0.46
"VE_[0,4]",Venus,"[0,4]",222,213,435,0.51,0.49
"VS_(4,5]",Vesta,"(4,5]",137,91,228,0.6,0.4
"VS_(5,7]",Vesta,"(5,7]",229,194,423,0.54,0.46
"VS_(7,13]",Vesta,"(7,13]",114,98,212,0.54,0.46
"VS_[0,4]",Vesta,"[0,4]",237,222,459,0.52,0.48
