PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",69,45,114,0.61,0.39
CE_a0_0,Ceres,Conjunction,0,736,633,1369,0.54,0.46
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",187,159,346,0.54,0.46
CE_a103_0,Ceres,BiSeptile,0,618,519,1137,0.54,0.46
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",179,196,375,0.48,0.52
CE_a120_0,Ceres,Trine,0,626,482,1108,0.56,0.44
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",144,128,272,0.53,0.47
CE_a135_0,Ceres,SesquiSquare,0,661,550,1211,0.55,0.45
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",165,127,292,0.57,0.43
CE_a144_0,Ceres,BiQuintile,0,640,551,1191,0.54,0.46
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",149,117,266,0.56,0.44
CE_a150_0,Ceres,Quincunx,0,656,561,1217,0.54,0.46
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",76,61,137,0.55,0.45
CE_a180_0,Ceres,Opposition,0,729,617,1346,0.54,0.46
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",177,141,318,0.56,0.44
CE_a30_0,Ceres,SemiSextile,0,628,537,1165,0.54,0.46
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",158,126,284,0.56,0.44
CE_a36_0,Ceres,SemiQuintile,0,647,552,1199,0.54,0.46
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",182,145,327,0.56,0.44
CE_a45_0,Ceres,SemiSquare,0,623,533,1156,0.54,0.46
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",155,129,284,0.55,0.45
CE_a60_0,Ceres,Sextile,0,650,549,1199,0.54,0.46
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",115,105,220,0.52,0.48
CE_a72_0,Ceres,Quintile,0,690,573,1263,0.55,0.45
"CE_a90_(0,4]",Ceres,Square,"(0,4]",158,143,301,0.52,0.48
CE_a90_0,Ceres,Square,0,647,535,1182,0.55,0.45
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",77,63,140,0.55,0.45
CH_a0_0,Chiron,Conjunction,0,728,615,1343,0.54,0.46
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",204,177,381,0.54,0.46
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",66,38,104,0.63,0.37
CH_a103_0,Chiron,BiSeptile,0,535,463,998,0.54,0.46
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",188,181,369,0.51,0.49
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",33,33,66,0.5,0.5
CH_a120_0,Chiron,Trine,0,584,464,1048,0.56,0.44
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",186,138,324,0.57,0.43
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",33,36,69,0.48,0.52
CH_a135_0,Chiron,SesquiSquare,0,586,504,1090,0.54,0.46
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",142,147,289,0.49,0.51
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",61,41,102,0.6,0.4
CH_a144_0,Chiron,BiQuintile,0,602,490,1092,0.55,0.45
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",155,153,308,0.5,0.5
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",28,30,58,0.48,0.52
CH_a150_0,Chiron,Quincunx,0,622,495,1117,0.56,0.44
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",96,91,187,0.51,0.49
CH_a180_0,Chiron,Opposition,0,709,587,1296,0.55,0.45
"CH_a30_(0,1]",Chiron,SemiSextile,"(0,1]",190,138,328,0.58,0.42
"CH_a30_(1,4]",Chiron,SemiSextile,"(1,4]",22,13,35,0.63,0.37
CH_a30_0,Chiron,SemiSextile,0,593,527,1120,0.53,0.47
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",226,190,416,0.54,0.46
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",37,29,66,0.56,0.44
CH_a36_0,Chiron,SemiQuintile,0,542,459,1001,0.54,0.46
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",217,185,402,0.54,0.46
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",37,18,55,0.67,0.33
CH_a45_0,Chiron,SemiSquare,0,551,475,1026,0.54,0.46
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",252,187,439,0.57,0.43
"CH_a60_(1,4]",Chiron,Sextile,"(1,4]",57,56,113,0.5,0.5
CH_a60_0,Chiron,Sextile,0,496,435,931,0.53,0.47
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",257,158,415,0.62,0.38
"CH_a72_(1,4]",Chiron,Quintile,"(1,4]",105,87,192,0.55,0.45
CH_a72_0,Chiron,Quintile,0,443,433,876,0.51,0.49
"CH_a90_(0,1]",Chiron,Square,"(0,1]",183,189,372,0.49,0.51
"CH_a90_(1,5]",Chiron,Square,"(1,5]",42,34,76,0.55,0.45
CH_a90_0,Chiron,Square,0,580,455,1035,0.56,0.44
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",70,55,125,0.56,0.44
JN_a0_0,Juno,Conjunction,0,735,623,1358,0.54,0.46
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",168,134,302,0.56,0.44
JN_a103_0,Juno,BiSeptile,0,637,544,1181,0.54,0.46
"JN_a120_(0,4]",Juno,Trine,"(0,4]",124,114,238,0.52,0.48
JN_a120_0,Juno,Trine,0,681,564,1245,0.55,0.45
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",125,103,228,0.55,0.45
JN_a135_0,Juno,SesquiSquare,0,680,575,1255,0.54,0.46
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",159,117,276,0.58,0.42
JN_a144_0,Juno,BiQuintile,0,646,561,1207,0.54,0.46
"JN_a150_(0,4]",Juno,Quincunx,"(0,4]",131,135,266,0.49,0.51
JN_a150_0,Juno,Quincunx,0,674,543,1217,0.55,0.45
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",62,61,123,0.5,0.5
JN_a180_0,Juno,Opposition,0,743,617,1360,0.55,0.45
"JN_a30_(0,4]",Juno,SemiSextile,"(0,4]",116,116,232,0.5,0.5
JN_a30_0,Juno,SemiSextile,0,689,562,1251,0.55,0.45
"JN_a36_(0,4]",Juno,SemiQuintile,"(0,4]",131,102,233,0.56,0.44
JN_a36_0,Juno,SemiQuintile,0,674,576,1250,0.54,0.46
"JN_a45_(0,4]",Juno,SemiSquare,"(0,4]",138,83,221,0.62,0.38
JN_a45_0,Juno,SemiSquare,0,667,595,1262,0.53,0.47
"JN_a60_(0,4]",Juno,Sextile,"(0,4]",126,98,224,0.56,0.44
JN_a60_0,Juno,Sextile,0,679,580,1259,0.54,0.46
"JN_a72_(0,4]",Juno,Quintile,"(0,4]",241,191,432,0.56,0.44
JN_a72_0,Juno,Quintile,0,564,487,1051,0.54,0.46
"JN_a90_(0,3]",Juno,Square,"(0,3]",185,139,324,0.57,0.43
JN_a90_0,Juno,Square,0,620,539,1159,0.53,0.47
"JU_a0_(0,3]",Jupiter,Conjunction,"(0,3]",143,118,261,0.55,0.45
JU_a0_0,Jupiter,Conjunction,0,662,560,1222,0.54,0.46
"JU_a103_(0,4]",Jupiter,BiSeptile,"(0,4]",161,128,289,0.56,0.44
JU_a103_0,Jupiter,BiSeptile,0,644,550,1194,0.54,0.46
"JU_a120_(0,4]",Jupiter,Trine,"(0,4]",128,94,222,0.58,0.42
JU_a120_0,Jupiter,Trine,0,677,584,1261,0.54,0.46
"JU_a135_(0,4]",Jupiter,SesquiSquare,"(0,4]",167,157,324,0.52,0.48
JU_a135_0,Jupiter,SesquiSquare,0,638,521,1159,0.55,0.45
"JU_a144_(0,4]",Jupiter,BiQuintile,"(0,4]",149,136,285,0.52,0.48
JU_a144_0,Jupiter,BiQuintile,0,656,542,1198,0.55,0.45
"JU_a150_(0,4]",Jupiter,Quincunx,"(0,4]",140,107,247,0.57,0.43
JU_a150_0,Jupiter,Quincunx,0,665,571,1236,0.54,0.46
"JU_a180_(0,3]",Jupiter,Opposition,"(0,3]",82,72,154,0.53,0.47
JU_a180_0,Jupiter,Opposition,0,723,606,1329,0.54,0.46
"JU_a30_(0,4]",Jupiter,SemiSextile,"(0,4]",169,151,320,0.53,0.47
JU_a30_0,Jupiter,SemiSextile,0,636,527,1163,0.55,0.45
"JU_a36_(0,4]",Jupiter,SemiQuintile,"(0,4]",204,186,390,0.52,0.48
JU_a36_0,Jupiter,SemiQuintile,0,601,492,1093,0.55,0.45
"JU_a45_(0,4]",Jupiter,SemiSquare,"(0,4]",223,198,421,0.53,0.47
JU_a45_0,Jupiter,SemiSquare,0,582,480,1062,0.55,0.45
"JU_a60_(0,5]",Jupiter,Sextile,"(0,5]",203,143,346,0.59,0.41
JU_a60_0,Jupiter,Sextile,0,602,535,1137,0.53,0.47
"JU_a72_(0,5]",Jupiter,Quintile,"(0,5]",201,183,384,0.52,0.48
JU_a72_0,Jupiter,Quintile,0,604,495,1099,0.55,0.45
"JU_a90_(0,4]",Jupiter,Square,"(0,4]",178,163,341,0.52,0.48
JU_a90_0,Jupiter,Square,0,627,515,1142,0.55,0.45
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",55,64,119,0.46,0.54
MA_a0_0,Mars,Conjunction,0,750,614,1364,0.55,0.45
"MA_a103_(0,3]",Mars,BiSeptile,"(0,3]",129,109,238,0.54,0.46
MA_a103_0,Mars,BiSeptile,0,676,569,1245,0.54,0.46
"MA_a120_(0,3]",Mars,Trine,"(0,3]",105,80,185,0.57,0.43
MA_a120_0,Mars,Trine,0,700,598,1298,0.54,0.46
"MA_a135_(0,3]",Mars,SesquiSquare,"(0,3]",81,68,149,0.54,0.46
MA_a135_0,Mars,SesquiSquare,0,724,610,1334,0.54,0.46
"MA_a144_(0,2]",Mars,BiQuintile,"(0,2]",88,58,146,0.6,0.4
MA_a144_0,Mars,BiQuintile,0,717,620,1337,0.54,0.46
"MA_a150_(0,3]",Mars,Quincunx,"(0,3]",83,60,143,0.58,0.42
MA_a150_0,Mars,Quincunx,0,722,618,1340,0.54,0.46
"MA_a180_(0,3]",Mars,Opposition,"(0,3]",41,32,73,0.56,0.44
MA_a180_0,Mars,Opposition,0,764,646,1410,0.54,0.46
"MA_a30_(0,3]",Mars,SemiSextile,"(0,3]",114,112,226,0.5,0.5
MA_a30_0,Mars,SemiSextile,0,691,566,1257,0.55,0.45
"MA_a36_(0,3]",Mars,SemiQuintile,"(0,3]",116,107,223,0.52,0.48
MA_a36_0,Mars,SemiQuintile,0,689,571,1260,0.55,0.45
"MA_a45_(0,3]",Mars,SemiSquare,"(0,3]",133,86,219,0.61,0.39
MA_a45_0,Mars,SemiSquare,0,672,592,1264,0.53,0.47
"MA_a60_(0,3]",Mars,Sextile,"(0,3]",114,86,200,0.57,0.43
MA_a60_0,Mars,Sextile,0,691,592,1283,0.54,0.46
"MA_a72_(0,3]",Mars,Quintile,"(0,3]",124,97,221,0.56,0.44
MA_a72_0,Mars,Quintile,0,681,581,1262,0.54,0.46
"MA_a90_(0,3]",Mars,Square,"(0,3]",133,103,236,0.56,0.44
MA_a90_0,Mars,Square,0,672,575,1247,0.54,0.46
"ME_a0_(0,1]",Mercury,Conjunction,"(0,1]",23,28,51,0.45,0.55
ME_a0_0,Mercury,Conjunction,0,782,650,1432,0.55,0.45
"ME_a103_(0,1]",Mercury,BiSeptile,"(0,1]",60,46,106,0.57,0.43
ME_a103_0,Mercury,BiSeptile,0,745,632,1377,0.54,0.46
"ME_a120_(0,1]",Mercury,Trine,"(0,1]",63,43,106,0.59,0.41
ME_a120_0,Mercury,Trine,0,742,635,1377,0.54,0.46
"ME_a135_(0,1]",Mercury,SesquiSquare,"(0,1]",61,45,106,0.58,0.42
ME_a135_0,Mercury,SesquiSquare,0,744,633,1377,0.54,0.46
"ME_a144_(0,1]",Mercury,BiQuintile,"(0,1]",63,40,103,0.61,0.39
ME_a144_0,Mercury,BiQuintile,0,742,638,1380,0.54,0.46
