PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,510,446,956,0.53,0.47
CE_RET,Ceres,Retrograde,157,131,288,0.55,0.45
CE_STA,Ceres,Stationary,33,14,47,0.7,0.3
CH_DIR,Chiron,Direct,389,265,654,0.59,0.41
CH_RET,Chiron,Retrograde,275,286,561,0.49,0.51
CH_STA,Chiron,Stationary,36,40,76,0.47,0.53
JN_DIR,Juno,Direct,559,480,1039,0.54,0.46
JN_RET,Juno,Retrograde,115,92,207,0.56,0.44
JN_STA,Juno,Stationary,26,19,45,0.58,0.42
JU_DIR,Jupiter,Direct,480,396,876,0.55,0.45
JU_RET,Jupiter,Retrograde,199,159,358,0.56,0.44
JU_STA,Jupiter,Stationary,21,36,57,0.37,0.63
MA_DIR,Mars,Direct,634,501,1135,0.56,0.44
MA_RET,Mars,Retrograde,50,72,122,0.41,0.59
MA_STA,Mars,Stationary,16,18,34,0.47,0.53
ME_DIR,Mercury,Direct,548,448,996,0.55,0.45
ME_RET,Mercury,Retrograde,133,122,255,0.52,0.48
ME_STA,Mercury,Stationary,19,21,40,0.48,0.52
MO_DIR,Moon,Direct,700,591,1291,0.54,0.46
NE_DIR,Neptune,Direct,383,253,636,0.6,0.4
NE_RET,Neptune,Retrograde,258,271,529,0.49,0.51
NE_STA,Neptune,Stationary,59,67,126,0.47,0.53
NN_DIR,NNode,Direct,700,591,1291,0.54,0.46
PA_DIR,Pallas,Direct,498,445,943,0.53,0.47
PA_RET,Pallas,Retrograde,177,129,306,0.58,0.42
PA_STA,Pallas,Stationary,25,17,42,0.6,0.4
PH_DIR,Pholus,Direct,383,307,690,0.56,0.44
PH_RET,Pholus,Retrograde,258,228,486,0.53,0.47
PH_STA,Pholus,Stationary,59,56,115,0.51,0.49
PL_DIR,Pluto,Direct,386,290,676,0.57,0.43
PL_RET,Pluto,Retrograde,238,237,475,0.5,0.5
PL_STA,Pluto,Stationary,76,64,140,0.54,0.46
SA_DIR,Saturn,Direct,439,334,773,0.57,0.43
SA_RET,Saturn,Retrograde,222,209,431,0.52,0.48
SA_STA,Saturn,Stationary,39,48,87,0.45,0.55
SN_DIR,SNode,Direct,700,591,1291,0.54,0.46
SU_DIR,Sun,Direct,700,591,1291,0.54,0.46
UR_DIR,Uranus,Direct,357,281,638,0.56,0.44
UR_RET,Uranus,Retrograde,286,272,558,0.51,0.49
UR_STA,Uranus,Stationary,57,38,95,0.6,0.4
VE_DIR,Venus,Direct,648,537,1185,0.55,0.45
VE_RET,Venus,Retrograde,42,43,85,0.49,0.51
VE_STA,Venus,Stationary,10,11,21,0.48,0.52
VS_DIR,Vesta,Direct,581,469,1050,0.55,0.45
VS_RET,Vesta,Retrograde,100,103,203,0.49,0.51
VS_STA,Vesta,Stationary,19,19,38,0.5,0.5
