PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,45,31,76,0.59,0.41
CE_Z02_TAU,Ceres,Taurus,61,73,134,0.46,0.54
CE_Z03_GEM,Ceres,Gemini,128,110,238,0.54,0.46
CE_Z04_CAN,Ceres,Cancer,36,33,69,0.52,0.48
CE_Z05_LEO,Ceres,Leo,158,139,297,0.53,0.47
CE_Z06_VIR,Ceres,Virgo,65,85,150,0.43,0.57
CE_Z07_LIB,Ceres,Libra,55,49,104,0.53,0.47
CE_Z08_SCO,Ceres,Scorpio,37,38,75,0.49,0.51
CE_Z09_SAG,Ceres,Sagittarius,155,140,295,0.53,0.47
CE_Z10_CAP,Ceres,Capricorn,41,35,76,0.54,0.46
CE_Z11_AQU,Ceres,Aquarius,68,58,126,0.54,0.46
CE_Z12_PIS,Ceres,Pisces,166,95,261,0.64,0.36
CH_Z01_ARI,Chiron,Aries,846,752,1598,0.53,0.47
CH_Z12_PIS,Chiron,Pisces,169,134,303,0.56,0.44
JN_Z01_ARI,Juno,Aries,35,41,76,0.46,0.54
JN_Z02_TAU,Juno,Taurus,93,107,200,0.47,0.54
JN_Z03_GEM,Juno,Gemini,58,35,93,0.62,0.38
JN_Z04_CAN,Juno,Cancer,32,30,62,0.52,0.48
JN_Z05_LEO,Juno,Leo,28,35,63,0.44,0.56
JN_Z06_VIR,Juno,Virgo,32,41,73,0.44,0.56
JN_Z07_LIB,Juno,Libra,186,135,321,0.58,0.42
JN_Z08_SCO,Juno,Scorpio,48,41,89,0.54,0.46
JN_Z09_SAG,Juno,Sagittarius,195,136,331,0.59,0.41
JN_Z10_CAP,Juno,Capricorn,62,52,114,0.54,0.46
JN_Z11_AQU,Juno,Aquarius,79,68,147,0.54,0.46
JN_Z12_PIS,Juno,Pisces,167,165,332,0.5,0.5
JU_Z01_ARI,Jupiter,Aries,107,100,207,0.52,0.48
JU_Z08_SCO,Jupiter,Scorpio,186,176,362,0.51,0.49
JU_Z09_SAG,Jupiter,Sagittarius,196,193,389,0.5,0.5
JU_Z10_CAP,Jupiter,Capricorn,225,158,383,0.59,0.41
JU_Z11_AQU,Jupiter,Aquarius,185,114,299,0.62,0.38
JU_Z12_PIS,Jupiter,Pisces,116,145,261,0.44,0.56
MA_Z01_ARI,Mars,Aries,161,117,278,0.58,0.42
MA_Z02_TAU,Mars,Taurus,92,56,148,0.62,0.38
MA_Z03_GEM,Mars,Gemini,135,119,254,0.53,0.47
MA_Z04_CAN,Mars,Cancer,46,49,95,0.48,0.52
MA_Z05_LEO,Mars,Leo,47,49,96,0.49,0.51
MA_Z06_VIR,Mars,Virgo,44,50,94,0.47,0.53
MA_Z07_LIB,Mars,Libra,69,51,120,0.58,0.42
MA_Z08_SCO,Mars,Scorpio,78,59,137,0.57,0.43
MA_Z09_SAG,Mars,Sagittarius,73,63,136,0.54,0.46
MA_Z10_CAP,Mars,Capricorn,86,87,173,0.5,0.5
MA_Z11_AQU,Mars,Aquarius,120,118,238,0.5,0.5
MA_Z12_PIS,Mars,Pisces,64,68,132,0.48,0.52
ME_Z01_ARI,Mercury,Aries,76,57,133,0.57,0.43
ME_Z02_TAU,Mercury,Taurus,46,53,99,0.46,0.54
ME_Z03_GEM,Mercury,Gemini,78,81,159,0.49,0.51
ME_Z04_CAN,Mercury,Cancer,95,67,162,0.59,0.41
ME_Z05_LEO,Mercury,Leo,67,88,155,0.43,0.57
ME_Z06_VIR,Mercury,Virgo,54,52,106,0.51,0.49
ME_Z07_LIB,Mercury,Libra,92,93,185,0.5,0.5
ME_Z08_SCO,Mercury,Scorpio,98,92,190,0.52,0.48
ME_Z09_SAG,Mercury,Sagittarius,111,82,193,0.58,0.42
ME_Z10_CAP,Mercury,Capricorn,89,76,165,0.54,0.46
ME_Z11_AQU,Mercury,Aquarius,105,74,179,0.59,0.41
ME_Z12_PIS,Mercury,Pisces,104,71,175,0.59,0.41
MO_Z01_ARI,Moon,Aries,84,84,168,0.5,0.5
MO_Z02_TAU,Moon,Taurus,80,85,165,0.48,0.52
MO_Z03_GEM,Moon,Gemini,74,86,160,0.46,0.54
MO_Z04_CAN,Moon,Cancer,87,70,157,0.55,0.45
MO_Z05_LEO,Moon,Leo,84,71,155,0.54,0.46
MO_Z06_VIR,Moon,Virgo,72,80,152,0.47,0.53
MO_Z07_LIB,Moon,Libra,85,64,149,0.57,0.43
MO_Z08_SCO,Moon,Scorpio,80,72,152,0.53,0.47
MO_Z09_SAG,Moon,Sagittarius,74,81,155,0.48,0.52
MO_Z10_CAP,Moon,Capricorn,96,62,158,0.61,0.39
MO_Z11_AQU,Moon,Aquarius,109,56,165,0.66,0.34
MO_Z12_PIS,Moon,Pisces,90,75,165,0.55,0.45
NE_Z12_PIS,Neptune,Pisces,1015,886,1901,0.53,0.47
NN_Z02_TAU,NNode,Taurus,192,207,399,0.48,0.52
NN_Z03_GEM,NNode,Gemini,329,237,566,0.58,0.42
NN_Z04_CAN,NNode,Cancer,308,259,567,0.54,0.46
NN_Z05_LEO,NNode,Leo,186,183,369,0.5,0.5
PA_Z01_ARI,Pallas,Aries,80,60,140,0.57,0.43
PA_Z02_TAU,Pallas,Taurus,66,74,140,0.47,0.53
PA_Z03_GEM,Pallas,Gemini,61,54,115,0.53,0.47
PA_Z04_CAN,Pallas,Cancer,94,98,192,0.49,0.51
PA_Z05_LEO,Pallas,Leo,22,33,55,0.4,0.6
PA_Z06_VIR,Pallas,Virgo,31,31,62,0.5,0.5
PA_Z07_LIB,Pallas,Libra,157,137,294,0.53,0.47
PA_Z08_SCO,Pallas,Scorpio,32,42,74,0.43,0.57
PA_Z09_SAG,Pallas,Sagittarius,38,33,71,0.54,0.46
PA_Z10_CAP,Pallas,Capricorn,167,124,291,0.57,0.43
PA_Z11_AQU,Pallas,Aquarius,81,42,123,0.66,0.34
PA_Z12_PIS,Pallas,Pisces,186,158,344,0.54,0.46
PH_Z09_SAG,Pholus,Sagittarius,156,178,334,0.47,0.53
PH_Z10_CAP,Pholus,Capricorn,859,708,1567,0.55,0.45
PL_Z10_CAP,Pluto,Capricorn,1015,886,1901,0.53,0.47
SA_Z09_SAG,Saturn,Sagittarius,26,13,39,0.67,0.33
SA_Z10_CAP,Saturn,Capricorn,517,475,992,0.52,0.48
SA_Z11_AQU,Saturn,Aquarius,472,398,870,0.54,0.46
SN_Z08_SCO,SNode,Scorpio,192,207,399,0.48,0.52
SN_Z09_SAG,SNode,Sagittarius,329,237,566,0.58,0.42
SN_Z10_CAP,SNode,Capricorn,308,259,567,0.54,0.46
SN_Z11_AQU,SNode,Aquarius,186,183,369,0.5,0.5
SU_Z01_ARI,Sun,Aries,97,56,153,0.63,0.37
SU_Z02_TAU,Sun,Taurus,76,79,155,0.49,0.51
SU_Z03_GEM,Sun,Gemini,77,79,156,0.49,0.51
SU_Z04_CAN,Sun,Cancer,75,82,157,0.48,0.52
SU_Z05_LEO,Sun,Leo,83,74,157,0.53,0.47
SU_Z06_VIR,Sun,Virgo,74,81,155,0.48,0.52
SU_Z07_LIB,Sun,Libra,79,72,151,0.52,0.48
SU_Z08_SCO,Sun,Scorpio,77,84,161,0.48,0.52
SU_Z09_SAG,Sun,Sagittarius,101,75,176,0.57,0.43
SU_Z10_CAP,Sun,Capricorn,106,72,178,0.6,0.4
SU_Z11_AQU,Sun,Aquarius,92,60,152,0.61,0.39
SU_Z12_PIS,Sun,Pisces,78,72,150,0.52,0.48
UR_Z01_ARI,Uranus,Aries,171,134,305,0.56,0.44
UR_Z02_TAU,Uranus,Taurus,844,752,1596,0.53,0.47
VE_Z01_ARI,Venus,Aries,68,59,127,0.54,0.46
VE_Z02_TAU,Venus,Taurus,69,59,128,0.54,0.46
VE_Z03_GEM,Venus,Gemini,127,98,225,0.56,0.44
VE_Z04_CAN,Venus,Cancer,63,66,129,0.49,0.51
VE_Z05_LEO,Venus,Leo,59,67,126,0.47,0.53
VE_Z06_VIR,Venus,Virgo,64,63,127,0.5,0.5
VE_Z07_LIB,Venus,Libra,65,98,163,0.4,0.6
VE_Z08_SCO,Venus,Scorpio,117,90,207,0.57,0.43
VE_Z09_SAG,Venus,Sagittarius,90,62,152,0.59,0.41
VE_Z10_CAP,Venus,Capricorn,129,115,244,0.53,0.47
VE_Z11_AQU,Venus,Aquarius,95,53,148,0.64,0.36
VE_Z12_PIS,Venus,Pisces,69,56,125,0.55,0.45
VS_Z01_ARI,Vesta,Aries,35,32,67,0.52,0.48
VS_Z02_TAU,Vesta,Taurus,141,145,286,0.49,0.51
VS_Z03_GEM,Vesta,Gemini,48,26,74,0.65,0.35
VS_Z04_CAN,Vesta,Cancer,42,27,69,0.61,0.39
VS_Z05_LEO,Vesta,Leo,41,31,72,0.57,0.43
VS_Z06_VIR,Vesta,Virgo,152,118,270,0.56,0.44
VS_Z07_LIB,Vesta,Libra,42,26,68,0.62,0.38
VS_Z08_SCO,Vesta,Scorpio,74,43,117,0.63,0.37
VS_Z09_SAG,Vesta,Sagittarius,105,125,230,0.46,0.54
VS_Z10_CAP,Vesta,Capricorn,98,106,204,0.48,0.52
VS_Z11_AQU,Vesta,Aquarius,117,111,228,0.51,0.49
VS_Z12_PIS,Vesta,Pisces,120,96,216,0.56,0.44
