PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CECH_a103,Ceres,Chiron,BiSeptile,16,5,21,0.76,0.24
CECH_a120,Ceres,Chiron,Trine,33,24,57,0.58,0.42
CECH_a135,Ceres,Chiron,SesquiSquare,24,29,53,0.45,0.55
CECH_a144,Ceres,Chiron,BiQuintile,37,26,63,0.59,0.41
CECH_a150,Ceres,Chiron,Quincunx,9,11,20,0.45,0.55
CECH_a180,Ceres,Chiron,Opposition,3,5,8,0.38,0.62
CECH_a30,Ceres,Chiron,SemiSextile,38,30,68,0.56,0.44
CECH_a36,Ceres,Chiron,SemiQuintile,50,41,91,0.55,0.45
CECH_a45,Ceres,Chiron,SemiSquare,8,6,14,0.57,0.43
CECH_a60,Ceres,Chiron,Sextile,9,2,11,0.82,0.18
CECH_a72,Ceres,Chiron,Quintile,6,5,11,0.55,0.45
CECH_a90,Ceres,Chiron,Square,1,10,11,0.09,0.91
CEJU_a0,Ceres,Jupiter,Conjunction,15,9,24,0.62,0.38
CEJU_a103,Ceres,Jupiter,BiSeptile,17,10,27,0.63,0.37
CEJU_a30,Ceres,Jupiter,SemiSextile,18,18,36,0.5,0.5
CEJU_a36,Ceres,Jupiter,SemiQuintile,38,38,76,0.5,0.5
CEJU_a45,Ceres,Jupiter,SemiSquare,31,26,57,0.54,0.46
CEJU_a60,Ceres,Jupiter,Sextile,5,6,11,0.45,0.55
CEJU_a72,Ceres,Jupiter,Quintile,4,6,10,0.4,0.6
CEJU_a90,Ceres,Jupiter,Square,20,24,44,0.45,0.55
CENE_a0,Ceres,Neptune,Conjunction,6,7,13,0.46,0.54
CENE_a103,Ceres,Neptune,BiSeptile,28,23,51,0.55,0.45
CENE_a120,Ceres,Neptune,Trine,16,4,20,0.8,0.2
CENE_a135,Ceres,Neptune,SesquiSquare,9,11,20,0.45,0.55
CENE_a144,Ceres,Neptune,BiQuintile,30,30,60,0.5,0.5
CENE_a150,Ceres,Neptune,Quincunx,26,28,54,0.48,0.52
CENE_a180,Ceres,Neptune,Opposition,3,6,9,0.33,0.67
CENE_a30,Ceres,Neptune,SemiSextile,8,5,13,0.62,0.38
CENE_a36,Ceres,Neptune,SemiQuintile,6,6,12,0.5,0.5
CENE_a45,Ceres,Neptune,SemiSquare,9,3,12,0.75,0.25
CENE_a60,Ceres,Neptune,Sextile,6,5,11,0.55,0.45
CENE_a72,Ceres,Neptune,Quintile,4,7,11,0.36,0.64
CENE_a90,Ceres,Neptune,Square,6,6,12,0.5,0.5
CENN_a0,Ceres,NNode,Conjunction,39,32,71,0.55,0.45
CENN_a103,Ceres,NNode,BiSeptile,12,10,22,0.55,0.45
CENN_a120,Ceres,NNode,Trine,13,10,23,0.57,0.43
CENN_a135,Ceres,NNode,SesquiSquare,51,48,99,0.52,0.48
CENN_a144,Ceres,NNode,BiQuintile,16,21,37,0.43,0.57
CENN_a150,Ceres,NNode,Quincunx,11,9,20,0.55,0.45
CENN_a180,Ceres,NNode,Opposition,2,7,9,0.22,0.78
CENN_a30,Ceres,NNode,SemiSextile,7,11,18,0.39,0.61
CENN_a36,Ceres,NNode,SemiQuintile,11,8,19,0.58,0.42
CENN_a45,Ceres,NNode,SemiSquare,10,7,17,0.59,0.41
CENN_a60,Ceres,NNode,Sextile,4,4,8,0.5,0.5
CENN_a72,Ceres,NNode,Quintile,2,7,9,0.22,0.78
CENN_a90,Ceres,NNode,Square,5,14,19,0.26,0.74
CEPA_a103,Ceres,Pallas,BiSeptile,7,9,16,0.44,0.56
CEPA_a30,Ceres,Pallas,SemiSextile,92,67,159,0.58,0.42
CEPA_a36,Ceres,Pallas,SemiQuintile,92,79,171,0.54,0.46
CEPA_a45,Ceres,Pallas,SemiSquare,31,40,71,0.44,0.56
CEPA_a60,Ceres,Pallas,Sextile,29,24,53,0.55,0.45
CEPA_a72,Ceres,Pallas,Quintile,9,10,19,0.47,0.53
CEPA_a90,Ceres,Pallas,Square,5,9,14,0.36,0.64
CEPH_a0,Ceres,Pholus,Conjunction,4,8,12,0.33,0.67
CEPH_a103,Ceres,Pholus,BiSeptile,3,6,9,0.33,0.67
CEPH_a120,Ceres,Pholus,Trine,4,6,10,0.4,0.6
CEPH_a135,Ceres,Pholus,SesquiSquare,23,24,47,0.49,0.51
CEPH_a144,Ceres,Pholus,BiQuintile,33,26,59,0.56,0.44
CEPH_a150,Ceres,Pholus,Quincunx,5,6,11,0.45,0.55
