PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUPL_a150,1,140,0.001,0.02,0,0.001,0.014,-0.066,0.075,0.142,0.126,1.955,0.002
JUUR_a120,1,185,0.001,0.021,0,0.001,0.015,-0.072,0.075,0.147,-0.097,1.727,0.002
MANE_a90,1,127,0.004,0.02,0.002,0.003,0.011,-0.053,0.085,0.138,0.714,2.441,0.002
MAUR_a135,1,159,0.002,0.022,0.002,0.002,0.009,-0.128,0.085,0.213,-1.008,9.329,0.002
MENE_a135,1,130,0.002,0.027,0.001,0.001,0.018,-0.067,0.104,0.171,0.531,2.191,0.002
MESA_a30,1,149,0,0.04,0.001,0.002,0.022,-0.2,0.12,0.321,-1.296,6.913,0.003
MESU_a30,1,123,0.007,0.027,0.003,0.004,0.014,-0.057,0.107,0.164,1.264,3.184,0.002
MOJU_a0,1,154,0.004,0.026,0.002,0.003,0.016,-0.069,0.092,0.161,0.463,1.926,0.002
MOPL_a150,1,266,0.002,0.031,0.002,0.001,0.019,-0.089,0.221,0.31,1.474,9.592,0.002
MOSA_a103,1,261,0.003,0.03,0.001,0.002,0.016,-0.115,0.132,0.248,0.196,2.728,0.002
MOSU_a45,1,251,0.003,0.028,0.002,0.002,0.021,-0.12,0.109,0.229,0.097,2.906,0.002
SANE_a103,1,155,0,0.023,0,0,0.017,-0.093,0.082,0.175,-0.103,2.517,0.002
SUJU_a45,1,126,-0.001,0.024,0,0,0.016,-0.12,0.081,0.201,-0.915,5.334,0.002
SUPL_a103,1,116,0.005,0.018,0.002,0.004,0.011,-0.037,0.068,0.105,0.858,1.896,0.002
VEJU_a30,1,122,0.004,0.032,0,0.003,0.014,-0.111,0.132,0.244,0.437,3.264,0.003
VESA_a60,1,134,0.006,0.027,0.004,0.006,0.02,-0.094,0.092,0.187,-0.189,2.423,0.002
VEUR_a150,1,100,0.007,0.023,0.002,0.006,0.015,-0.057,0.09,0.147,0.78,1.471,0.002
MOUR_a120,1,268,0.004,0.026,0.003,0.003,0.019,-0.111,0.12,0.231,0.279,2.832,0.002
MOVE_a30,1,248,0.004,0.024,0.002,0.004,0.017,-0.067,0.098,0.165,0.481,2.21,0.002
MOSA_a90,1,263,0.003,0.029,0.001,0.003,0.015,-0.183,0.132,0.315,-0.399,7.6,0.002
MOMA_a103,1,251,0.002,0.026,0.002,0.002,0.016,-0.12,0.112,0.232,-0.098,3.705,0.002
MOME_a60,1,247,0.001,0.027,0,0.001,0.017,-0.12,0.109,0.229,-0.285,3.321,0.002
MOPL_a135,1,262,0,0.026,0.001,0,0.013,-0.093,0.098,0.191,-0.164,1.978,0.002
MOSU_a30,1,244,0.005,0.029,0.002,0.004,0.022,-0.111,0.132,0.244,0.428,3.211,0.002
MOUR_a135,1,267,0.001,0.027,0.001,0.001,0.015,-0.111,0.079,0.19,-0.371,2.333,0.002
MONE_a180,1,142,0,0.028,0,0,0.012,-0.093,0.078,0.171,-0.068,1.7,0.002
MOMA_a90,1,259,0.004,0.031,0.001,0.003,0.017,-0.12,0.221,0.341,1.254,10.56,0.002
MOME_a45,1,247,0.002,0.028,0.002,0.002,0.018,-0.111,0.132,0.244,0.13,3.378,0.002
MOPL_a120,1,258,0.002,0.026,0.001,0.002,0.016,-0.093,0.094,0.187,-0.001,2.015,0.002
MOJU_a30,1,266,0.003,0.029,0.001,0.002,0.015,-0.128,0.12,0.248,0.016,4.37,0.002
MOUR_a150,1,271,0.004,0.029,0.002,0.003,0.017,-0.188,0.132,0.32,-0.56,8.907,0.002
MOSA_a60,1,270,0.004,0.027,0.002,0.003,0.017,-0.093,0.107,0.2,0.316,2.088,0.002
MOVE_a0,1,145,0.005,0.031,0.006,0.006,0.023,-0.115,0.109,0.223,-0.599,3.961,0.003
MOME_a30,1,258,0.004,0.027,0.002,0.004,0.017,-0.115,0.102,0.217,-0.279,3.861,0.002
MOPL_a103,1,266,0.004,0.028,0.002,0.004,0.017,-0.115,0.132,0.248,-0.061,3.956,0.002
MOJU_a45,1,259,0.001,0.027,0.001,0.001,0.019,-0.111,0.12,0.231,-0.186,3.929,0.002
MOSU_a0,1,138,0.001,0.029,0.002,0.002,0.017,-0.115,0.085,0.2,-0.87,4.293,0.002
SUSA_a45,1,124,-0.001,0.03,0,0.001,0.024,-0.128,0.084,0.213,-0.828,2.482,0.003
MAPL_a30,1,106,-0.002,0.024,0,-0.001,0.016,-0.072,0.065,0.137,-0.584,1.236,0.002
MOSA_a45,1,268,0.002,0.027,0.001,0.002,0.02,-0.12,0.095,0.215,-0.204,3.236,0.002
MONE_a150,1,263,0.008,0.033,0.004,0.006,0.02,-0.128,0.221,0.35,1.151,7.802,0.002
MOMA_a60,1,254,0.002,0.034,0.004,0.004,0.018,-0.2,0.09,0.29,-1.577,6.624,0.002
SUNE_a150,1,118,-0.001,0.021,0.001,-0.001,0.015,-0.067,0.085,0.152,0.088,2.894,0.002
MOPL_a90,1,263,0.001,0.031,0.001,0.003,0.014,-0.183,0.104,0.287,-1.311,7.129,0.002
MEVE_a30,1,382,0.004,0.025,0.003,0.004,0.018,-0.111,0.086,0.198,-0.143,2.557,0.001
MOUR_a180,1,148,0.001,0.035,0.001,0.003,0.015,-0.2,0.086,0.287,-2.291,11.738,0.003
MOJU_a60,1,260,-0.001,0.029,0.002,0.001,0.018,-0.2,0.072,0.272,-1.801,9.033,0.002
