PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",265,197,462,0.57,0.43
CE_a0_0,Ceres,Conjunction,0,1068,879,1947,0.55,0.45
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",448,331,779,0.58,0.42
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",94,75,169,0.56,0.44
CE_a103_0,Ceres,BiSeptile,0,791,670,1461,0.54,0.46
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",403,315,718,0.56,0.44
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",98,77,175,0.56,0.44
CE_a120_0,Ceres,Trine,0,832,684,1516,0.55,0.45
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",384,297,681,0.56,0.44
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",97,74,171,0.57,0.43
CE_a135_0,Ceres,SesquiSquare,0,852,705,1557,0.55,0.45
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",322,254,576,0.56,0.44
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",121,90,211,0.57,0.43
CE_a144_0,Ceres,BiQuintile,0,890,732,1622,0.55,0.45
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",366,290,656,0.56,0.44
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",66,41,107,0.62,0.38
CE_a150_0,Ceres,Quincunx,0,901,745,1646,0.55,0.45
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",215,192,407,0.53,0.47
CE_a180_0,Ceres,Opposition,0,1118,884,2002,0.56,0.44
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",451,365,816,0.55,0.45
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",148,122,270,0.55,0.45
CE_a30_0,Ceres,SemiSextile,0,734,589,1323,0.55,0.45
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",431,317,748,0.58,0.42
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",212,168,380,0.56,0.44
CE_a36_0,Ceres,SemiQuintile,0,690,591,1281,0.54,0.46
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",510,387,897,0.57,0.43
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",199,149,348,0.57,0.43
CE_a45_0,Ceres,SemiSquare,0,624,540,1164,0.54,0.46
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",409,335,744,0.55,0.45
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",120,61,181,0.66,0.34
CE_a60_0,Ceres,Sextile,0,804,680,1484,0.54,0.46
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",399,343,742,0.54,0.46
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",60,44,104,0.58,0.42
CE_a72_0,Ceres,Quintile,0,874,689,1563,0.56,0.44
"CE_a90_(0,1]",Ceres,Square,"(0,1]",322,244,566,0.57,0.43
"CE_a90_(1,5]",Ceres,Square,"(1,5]",43,50,93,0.46,0.54
CE_a90_0,Ceres,Square,0,968,782,1750,0.55,0.45
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",164,114,278,0.59,0.41
CH_a0_0,Chiron,Conjunction,0,1169,962,2131,0.55,0.45
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",397,334,731,0.54,0.46
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",104,68,172,0.6,0.4
CH_a103_0,Chiron,BiSeptile,0,832,674,1506,0.55,0.45
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",281,226,507,0.55,0.45
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",45,43,88,0.51,0.49
CH_a120_0,Chiron,Trine,0,1007,807,1814,0.56,0.44
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",309,256,565,0.55,0.45
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",56,40,96,0.58,0.42
CH_a135_0,Chiron,SesquiSquare,0,968,780,1748,0.55,0.45
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",312,257,569,0.55,0.45
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",94,84,178,0.53,0.47
CH_a144_0,Chiron,BiQuintile,0,927,735,1662,0.56,0.44
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",364,281,645,0.56,0.44
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",45,54,99,0.45,0.55
CH_a150_0,Chiron,Quincunx,0,924,741,1665,0.55,0.45
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",188,152,340,0.55,0.45
CH_a180_0,Chiron,Opposition,0,1145,924,2069,0.55,0.45
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",371,259,630,0.59,0.41
CH_a30_0,Chiron,SemiSextile,0,159,131,290,0.55,0.45
CH_a30_1,Chiron,SemiSextile,1,803,686,1489,0.54,0.46
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",384,300,684,0.56,0.44
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",62,41,103,0.6,0.4
CH_a36_0,Chiron,SemiQuintile,0,887,735,1622,0.55,0.45
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",329,277,606,0.54,0.46
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",40,34,74,0.54,0.46
CH_a45_0,Chiron,SemiSquare,0,964,765,1729,0.56,0.44
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",328,291,619,0.53,0.47
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",69,77,146,0.47,0.53
CH_a60_0,Chiron,Sextile,0,936,708,1644,0.57,0.43
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",477,428,905,0.53,0.47
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",245,132,377,0.65,0.35
CH_a72_0,Chiron,Quintile,0,611,516,1127,0.54,0.46
