PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",113,71,184,0.61,0.39
CE_a0_0,Ceres,Conjunction,0,1197,983,2180,0.55,0.45
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",339,262,601,0.56,0.44
CE_a103_0,Ceres,BiSeptile,0,971,792,1763,0.55,0.45
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",325,283,608,0.53,0.47
CE_a120_0,Ceres,Trine,0,985,771,1756,0.56,0.44
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",249,169,418,0.6,0.4
CE_a135_0,Ceres,SesquiSquare,0,1061,885,1946,0.55,0.45
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",258,190,448,0.58,0.42
CE_a144_0,Ceres,BiQuintile,0,1052,864,1916,0.55,0.45
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",250,180,430,0.58,0.42
CE_a150_0,Ceres,Quincunx,0,1060,874,1934,0.55,0.45
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",132,108,240,0.55,0.45
CE_a180_0,Ceres,Opposition,0,1178,946,2124,0.55,0.45
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",269,220,489,0.55,0.45
CE_a30_0,Ceres,SemiSextile,0,1041,834,1875,0.56,0.44
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",258,217,475,0.54,0.46
CE_a36_0,Ceres,SemiQuintile,0,1052,837,1889,0.56,0.44
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",339,257,596,0.57,0.43
CE_a45_0,Ceres,SemiSquare,0,971,797,1768,0.55,0.45
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",261,181,442,0.59,0.41
CE_a60_0,Ceres,Sextile,0,1049,873,1922,0.55,0.45
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",189,167,356,0.53,0.47
CE_a72_0,Ceres,Quintile,0,1121,887,2008,0.56,0.44
"CE_a90_(0,4]",Ceres,Square,"(0,4]",227,197,424,0.54,0.46
CE_a90_0,Ceres,Square,0,1083,857,1940,0.56,0.44
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",152,112,264,0.58,0.42
CH_a0_0,Chiron,Conjunction,0,1158,942,2100,0.55,0.45
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",397,331,728,0.55,0.45
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",104,68,172,0.6,0.4
CH_a103_0,Chiron,BiSeptile,0,809,655,1464,0.55,0.45
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",280,224,504,0.56,0.44
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",45,43,88,0.51,0.49
CH_a120_0,Chiron,Trine,0,985,787,1772,0.56,0.44
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",307,254,561,0.55,0.45
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",56,40,96,0.58,0.42
CH_a135_0,Chiron,SesquiSquare,0,947,760,1707,0.55,0.45
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",309,256,565,0.55,0.45
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",94,84,178,0.53,0.47
CH_a144_0,Chiron,BiQuintile,0,907,714,1621,0.56,0.44
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",356,271,627,0.57,0.43
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",43,54,97,0.44,0.56
CH_a150_0,Chiron,Quincunx,0,911,729,1640,0.56,0.44
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",187,151,338,0.55,0.45
CH_a180_0,Chiron,Opposition,0,1123,903,2026,0.55,0.45
"CH_a30_(0,1]",Chiron,SemiSextile,"(0,1]",334,240,574,0.58,0.42
"CH_a30_(1,4]",Chiron,SemiSextile,"(1,4]",69,49,118,0.58,0.42
CH_a30_0,Chiron,SemiSextile,0,907,765,1672,0.54,0.46
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",379,298,677,0.56,0.44
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",58,40,98,0.59,0.41
