PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",357,274,631,0.57,0.43
CE_3,Ceres,3,409,306,715,0.57,0.43
"CE_[0,2]",Ceres,"[0,2]",591,529,1120,0.53,0.47
"CH_(3,4]",Chiron,"(3,4]",310,243,553,0.56,0.44
"CH_(4,5]",Chiron,"(4,5]",290,234,524,0.55,0.45
"CH_(5,11]",Chiron,"(5,11]",324,255,579,0.56,0.44
"CH_[0,3]",Chiron,"[0,3]",433,377,810,0.53,0.47
"JN_(1,2]",Juno,"(1,2]",451,372,823,0.55,0.45
"JN_(2,3]",Juno,"(2,3]",375,299,674,0.56,0.44
"JN_(3,7]",Juno,"(3,7]",207,173,380,0.54,0.46
"JN_[0,1]",Juno,"[0,1]",324,265,589,0.55,0.45
"JU_(2,3]",Jupiter,"(2,3]",391,322,713,0.55,0.45
"JU_(3,4]",Jupiter,"(3,4]",314,231,545,0.58,0.42
"JU_(4,8]",Jupiter,"(4,8]",152,157,309,0.49,0.51
"JU_[0,2]",Jupiter,"[0,2]",500,399,899,0.56,0.44
"MA_(2,5]",Mars,"(2,5]",287,228,515,0.56,0.44
MA_2,Mars,2,457,411,868,0.53,0.47
"MA_[0,1]",Mars,"[0,1]",613,470,1083,0.57,0.43
"ME_(1,3]",Mercury,"(1,3]",173,118,291,0.59,0.41
ME_0,Mercury,0,364,313,677,0.54,0.46
ME_1,Mercury,1,820,678,1498,0.55,0.45
"NE_(4,5]",Neptune,"(4,5]",248,215,463,0.54,0.46
"NE_(5,6]",Neptune,"(5,6]",200,180,380,0.53,0.47
"NE_(6,13]",Neptune,"(6,13]",290,234,524,0.55,0.45
"NE_[0,4]",Neptune,"[0,4]",619,480,1099,0.56,0.44
"NN_(2,3]",NNode,"(2,3]",371,292,663,0.56,0.44
"NN_(3,4]",NNode,"(3,4]",291,256,547,0.53,0.47
"NN_(4,9]",NNode,"(4,9]",315,239,554,0.57,0.43
"NN_[0,2]",NNode,"[0,2]",380,322,702,0.54,0.46
"PA_(2,3]",Pallas,"(2,3]",396,320,716,0.55,0.45
"PA_(3,4]",Pallas,"(3,4]",292,245,537,0.54,0.46
"PA_(4,8]",Pallas,"(4,8]",174,145,319,0.55,0.45
"PA_[0,2]",Pallas,"[0,2]",495,399,894,0.55,0.45
"PH_(3,5]",Pholus,"(3,5]",539,424,963,0.56,0.44
"PH_(5,6]",Pholus,"(5,6]",191,158,349,0.55,0.45
"PH_(6,13]",Pholus,"(6,13]",207,180,387,0.53,0.47
"PH_[0,3]",Pholus,"[0,3]",420,347,767,0.55,0.45
"PL_(4,5]",Pluto,"(4,5]",299,223,522,0.57,0.43
"PL_(5,6]",Pluto,"(5,6]",221,182,403,0.55,0.45
"PL_(6,14]",Pluto,"(6,14]",259,208,467,0.55,0.45
"PL_[0,4]",Pluto,"[0,4]",578,496,1074,0.54,0.46
"SA_(3,4]",Saturn,"(3,4]",275,240,515,0.53,0.47
"SA_(4,5]",Saturn,"(4,5]",267,191,458,0.58,0.42
"SA_(5,11]",Saturn,"(5,11]",289,274,563,0.51,0.49
"SA_[0,3]",Saturn,"[0,3]",526,404,930,0.57,0.43
"SN_(3,4]",SNode,"(3,4]",357,293,650,0.55,0.45
"SN_(4,5]",SNode,"(4,5]",312,254,566,0.55,0.45
"SN_(5,10]",SNode,"(5,10]",316,231,547,0.58,0.42
"SN_[1,3]",SNode,"[1,3]",372,331,703,0.53,0.47
"SU_(1,2]",Sun,"(1,2]",450,329,779,0.58,0.42
"SU_(2,4]",Sun,"(2,4]",81,81,162,0.5,0.5
SU_1,Sun,1,619,519,1138,0.54,0.46
"SU_[0,1)",Sun,"[0,1)",207,180,387,0.53,0.47
"UR_(3,5]",Uranus,"(3,5]",540,451,991,0.54,0.46
"UR_(5,6]",Uranus,"(5,6]",230,191,421,0.55,0.45
"UR_(6,13]",Uranus,"(6,13]",306,226,532,0.58,0.42
"UR_[0,3]",Uranus,"[0,3]",281,241,522,0.54,0.46
"VE_(1,2]",Venus,"(1,2]",322,300,622,0.52,0.48
"VE_(2,3]",Venus,"(2,3]",43,35,78,0.55,0.45
VE_1,Venus,1,696,550,1246,0.56,0.44
"VE_[0,1)",Venus,"[0,1)",296,224,520,0.57,0.43
"VS_(1,2]",Vesta,"(1,2]",500,400,900,0.56,0.44
"VS_(2,3]",Vesta,"(2,3]",288,254,542,0.53,0.47
"VS_(3,6]",Vesta,"(3,6]",112,105,217,0.52,0.48
"VS_[0,1]",Vesta,"[0,1]",457,350,807,0.57,0.43
