PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,334,262,596,0.56,0.44
CE_FIX,Ceres,Fixed,469,430,899,0.52,0.48
CE_MUT,Ceres,Mutable,475,360,835,0.57,0.43
CH_CAR,Chiron,Cardinal,476,402,878,0.54,0.46
CH_MUT,Chiron,Mutable,802,650,1452,0.55,0.45
JN_CAR,Juno,Cardinal,502,393,895,0.56,0.44
JN_FIX,Juno,Fixed,527,458,985,0.54,0.46
JN_MUT,Juno,Mutable,249,201,450,0.55,0.45
JU_CAR,Jupiter,Cardinal,451,324,775,0.58,0.42
JU_FIX,Jupiter,Fixed,406,365,771,0.53,0.47
JU_MUT,Jupiter,Mutable,421,363,784,0.54,0.46
MA_CAR,Mars,Cardinal,456,354,810,0.56,0.44
MA_FIX,Mars,Fixed,420,385,805,0.52,0.48
MA_MUT,Mars,Mutable,402,313,715,0.56,0.44
ME_CAR,Mercury,Cardinal,440,332,772,0.57,0.43
ME_FIX,Mercury,Fixed,424,380,804,0.53,0.47
ME_MUT,Mercury,Mutable,414,340,754,0.55,0.45
MO_CAR,Moon,Cardinal,428,356,784,0.55,0.45
MO_FIX,Moon,Fixed,421,354,775,0.54,0.46
MO_MUT,Moon,Mutable,429,342,771,0.56,0.44
NE_MUT,Neptune,Mutable,1278,1052,2330,0.55,0.45
NN_CAR,NNode,Cardinal,484,467,951,0.51,0.49
NN_FIX,NNode,Fixed,314,252,566,0.55,0.45
NN_MUT,NNode,Mutable,480,333,813,0.59,0.41
PA_CAR,Pallas,Cardinal,509,411,920,0.55,0.45
PA_FIX,Pallas,Fixed,405,332,737,0.55,0.45
PA_MUT,Pallas,Mutable,364,309,673,0.54,0.46
PH_CAR,Pholus,Cardinal,467,380,847,0.55,0.45
PH_MUT,Pholus,Mutable,811,672,1483,0.55,0.45
PL_CAR,Pluto,Cardinal,1278,1052,2330,0.55,0.45
SA_CAR,Saturn,Cardinal,521,468,989,0.53,0.47
SA_FIX,Saturn,Fixed,181,163,344,0.53,0.47
SA_MUT,Saturn,Mutable,576,421,997,0.58,0.42
SN_CAR,SNode,Cardinal,485,467,952,0.51,0.49
SN_FIX,SNode,Fixed,314,252,566,0.55,0.45
SN_MUT,SNode,Mutable,479,333,812,0.59,0.41
SU_CAR,Sun,Cardinal,417,369,786,0.53,0.47
SU_FIX,Sun,Fixed,435,345,780,0.56,0.44
SU_MUT,Sun,Mutable,426,338,764,0.56,0.44
UR_CAR,Uranus,Cardinal,805,649,1454,0.55,0.45
UR_FIX,Uranus,Fixed,473,403,876,0.54,0.46
VE_CAR,Venus,Cardinal,416,353,769,0.54,0.46
VE_FIX,Venus,Fixed,417,365,782,0.53,0.47
VE_MUT,Venus,Mutable,445,334,779,0.57,0.43
VS_CAR,Vesta,Cardinal,450,383,833,0.54,0.46
VS_FIX,Vesta,Fixed,430,350,780,0.55,0.45
VS_MUT,Vesta,Mutable,398,319,717,0.56,0.44
