PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_CH_a120,1,61,0.001,0.046,0,0,0.029,-0.187,0.153,0.34,-0.145,5.111,0.006
CE_JU_a90,1,49,-0.004,0.059,0,-0.004,0.043,-0.187,0.148,0.335,-0.175,1.223,0.008
CE_PA_a30,1,305,0.002,0.033,0.002,0.002,0.021,-0.114,0.156,0.27,0.396,3.853,0.002
CE_PH_a36,1,95,0.001,0.037,-0.002,0.001,0.017,-0.182,0.117,0.299,-0.725,6.704,0.004
CE_UR_a150,1,58,0.002,0.026,0,0.002,0.018,-0.061,0.084,0.145,0.232,1.112,0.003
CH_UR_a30,1,1942,0.003,0.041,0.002,0.003,0.024,-0.372,0.252,0.624,-0.238,7.75,0.001
JN_NE_a135,1,33,-0.004,0.054,-0.004,-0.003,0.027,-0.141,0.11,0.25,-0.238,0.71,0.009
JN_NN_a90,1,33,0.008,0.024,0.002,0.006,0.017,-0.026,0.086,0.112,1.248,1.617,0.004
JN_PH_a150,1,66,0.006,0.03,0.002,0.005,0.011,-0.141,0.104,0.245,-0.85,8.556,0.004
JN_SN_a90,1,33,0.008,0.024,0.002,0.006,0.017,-0.026,0.086,0.112,1.248,1.617,0.004
JU_CH_a150,1,154,0.007,0.038,0.003,0.007,0.022,-0.143,0.153,0.296,-0.013,4.225,0.003
JU_UR_a120,1,86,0.002,0.028,0.001,0,0.02,-0.085,0.096,0.181,0.613,2.008,0.003
MA_NE_a90,1,45,0.01,0.035,0.003,0.008,0.023,-0.067,0.104,0.172,0.595,0.553,0.005
MA_NN_a45,1,50,0.005,0.041,0.005,0.004,0.032,-0.073,0.105,0.178,0.333,-0.169,0.006
MA_PL_a36,1,50,0.006,0.031,0.004,0.006,0.016,-0.064,0.086,0.15,0.248,0.707,0.004
MA_SN_a135,1,50,0.005,0.041,0.005,0.004,0.032,-0.073,0.105,0.178,0.333,-0.169,0.006
ME_JN_a90,1,68,0.004,0.031,0.003,0.003,0.021,-0.066,0.11,0.176,0.479,1.335,0.004
ME_VE_a36,1,147,0.001,0.038,0.001,0.001,0.02,-0.141,0.117,0.258,0.116,2.891,0.003
ME_VS_a30,1,47,0.007,0.036,0.006,0.008,0.031,-0.079,0.101,0.18,-0.002,0.281,0.005
MO_ME_a72,1,162,0.002,0.038,0.001,0.001,0.023,-0.153,0.239,0.393,1.041,10.003,0.003
MO_PL_a150,1,168,0.003,0.039,0.002,0.002,0.02,-0.107,0.239,0.347,1.354,8.143,0.003
MO_SU_a45,1,160,0,0.042,0.001,0,0.022,-0.182,0.239,0.421,0.49,8.373,0.003
MO_VE_a36,1,164,0.004,0.037,0.002,0.002,0.019,-0.122,0.155,0.277,0.878,4.158,0.003
NN_CH_a144,1,189,0.007,0.055,0.003,0.005,0.039,-0.187,0.252,0.44,0.656,3.032,0.004
NN_NE_a135,1,119,-0.004,0.04,-0.002,-0.004,0.03,-0.134,0.114,0.248,-0.131,1.202,0.004
