PlanetElement,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,1606,1503,3109,0.52,0.48
CE_EAR,1590,1598,3188,0.5,0.5
CE_FIR,1756,1625,3381,0.52,0.48
CE_WAT,1663,1537,3200,0.52,0.48
CH_AIR,1550,1407,2957,0.52,0.48
CH_EAR,1609,1554,3163,0.51,0.49
CH_FIR,1792,1734,3526,0.51,0.49
CH_WAT,1664,1568,3232,0.51,0.49
EM_AIR,1839,1695,3534,0.52,0.48
EM_EAR,1660,1551,3211,0.52,0.48
EM_FIR,1820,1713,3533,0.52,0.48
EM_WAT,1296,1304,2600,0.5,0.5
ES_AIR,1386,1363,2749,0.5,0.5
ES_EAR,1713,1557,3270,0.52,0.48
ES_FIR,1561,1544,3105,0.5,0.5
ES_WAT,1955,1799,3754,0.52,0.48
JN_AIR,1736,1564,3300,0.53,0.47
JN_EAR,1648,1541,3189,0.52,0.48
JN_FIR,1610,1557,3167,0.51,0.49
JN_WAT,1621,1601,3222,0.5,0.5
JU_AIR,1646,1507,3153,0.52,0.48
JU_EAR,1580,1606,3186,0.5,0.5
JU_FIR,1676,1533,3209,0.52,0.48
JU_WAT,1713,1617,3330,0.51,0.49
MA_AIR,1658,1604,3262,0.51,0.49
MA_EAR,1671,1512,3183,0.52,0.48
MA_FIR,1655,1630,3285,0.5,0.5
MA_WAT,1631,1517,3148,0.52,0.48
ME_AIR,1533,1591,3124,0.49,0.51
ME_EAR,1694,1525,3219,0.53,0.47
ME_FIR,1690,1566,3256,0.52,0.48
ME_WAT,1698,1581,3279,0.52,0.48
MO_AIR,1664,1549,3213,0.52,0.48
MO_EAR,1693,1537,3230,0.52,0.48
MO_FIR,1628,1599,3227,0.5,0.5
MO_WAT,1630,1578,3208,0.51,0.49
NE_AIR,1726,1648,3374,0.51,0.49
NE_EAR,1844,1664,3508,0.53,0.47
NE_FIR,1769,1752,3521,0.5,0.5
NE_WAT,1276,1199,2475,0.52,0.48
NN_AIR,1634,1660,3294,0.5,0.5
NN_EAR,1659,1468,3127,0.53,0.47
NN_FIR,1641,1496,3137,0.52,0.48
NN_WAT,1681,1639,3320,0.51,0.49
PA_AIR,1775,1648,3423,0.52,0.48
PA_EAR,1610,1502,3112,0.52,0.48
PA_FIR,1554,1496,3050,0.51,0.49
PA_WAT,1676,1617,3293,0.51,0.49
PH_AIR,887,784,1671,0.53,0.47
PH_EAR,1037,889,1926,0.54,0.46
PH_FIR,2486,2421,4907,0.51,0.49
PH_WAT,2205,2169,4374,0.5,0.5
PL_AIR,1521,1531,3052,0.5,0.5
PL_EAR,1905,1766,3671,0.52,0.48
PL_FIR,1672,1580,3252,0.51,0.49
PL_WAT,1517,1386,2903,0.52,0.48
SA_AIR,1618,1650,3268,0.5,0.5
SA_EAR,1753,1759,3512,0.5,0.5
SA_FIR,1682,1440,3122,0.54,0.46
SA_WAT,1562,1414,2976,0.52,0.48
SN_AIR,1641,1496,3137,0.52,0.48
SN_EAR,1681,1639,3320,0.51,0.49
SN_FIR,1634,1660,3294,0.5,0.5
SN_WAT,1659,1468,3127,0.53,0.47
SU_AIR,1651,1592,3243,0.51,0.49
SU_EAR,1624,1538,3162,0.51,0.49
SU_FIR,1658,1575,3233,0.51,0.49
SU_WAT,1682,1558,3240,0.52,0.48
UR_AIR,1645,1600,3245,0.51,0.49
UR_EAR,1243,1177,2420,0.51,0.49
UR_FIR,1901,1771,3672,0.52,0.48
UR_WAT,1826,1715,3541,0.52,0.48
VE_AIR,1701,1588,3289,0.52,0.48
VE_EAR,1610,1508,3118,0.52,0.48
VE_FIR,1660,1615,3275,0.51,0.49
VE_WAT,1644,1552,3196,0.51,0.49
VS_AIR,1712,1673,3385,0.51,0.49
VS_EAR,1610,1634,3244,0.5,0.5
VS_FIR,1679,1555,3234,0.52,0.48
VS_WAT,1614,1401,3015,0.54,0.46
