PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",988,913,1901,0.52,0.48
CE_a0_0,Ceres,Conjunction,0,4325,4143,8468,0.51,0.49
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",1503,1383,2886,0.52,0.48
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",338,371,709,0.48,0.52
CE_a103_0,Ceres,BiSeptile,0,3472,3302,6774,0.51,0.49
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",1493,1419,2912,0.51,0.49
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",330,339,669,0.49,0.51
CE_a120_0,Ceres,Trine,0,3490,3298,6788,0.51,0.49
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",1454,1364,2818,0.52,0.48
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",322,284,606,0.53,0.47
CE_a135_0,Ceres,SesquiSquare,0,3537,3408,6945,0.51,0.49
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",1466,1388,2854,0.51,0.49
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",319,333,652,0.49,0.51
CE_a144_0,Ceres,BiQuintile,0,3528,3335,6863,0.51,0.49
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",1360,1319,2679,0.51,0.49
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",300,340,640,0.47,0.53
CE_a150_0,Ceres,Quincunx,0,3653,3397,7050,0.52,0.48
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",949,854,1803,0.53,0.47
CE_a180_0,Ceres,Opposition,0,4364,4202,8566,0.51,0.49
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",1574,1630,3204,0.49,0.51
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",572,461,1033,0.55,0.45
CE_a30_0,Ceres,SemiSextile,0,3167,2965,6132,0.52,0.48
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",1556,1491,3047,0.51,0.49
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",585,547,1132,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,3172,3018,6190,0.51,0.49
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",1642,1631,3273,0.5,0.5
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",444,449,893,0.5,0.5
CE_a45_0,Ceres,SemiSquare,0,3227,2976,6203,0.52,0.48
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",1507,1525,3032,0.5,0.5
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",408,381,789,0.52,0.48
CE_a60_0,Ceres,Sextile,0,3398,3150,6548,0.52,0.48
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",1526,1513,3039,0.5,0.5
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",376,344,720,0.52,0.48
CE_a72_0,Ceres,Quintile,0,3411,3199,6610,0.52,0.48
"CE_a90_(0,1]",Ceres,Square,"(0,1]",1283,1246,2529,0.51,0.49
"CE_a90_(1,5]",Ceres,Square,"(1,5]",379,411,790,0.48,0.52
CE_a90_0,Ceres,Square,0,3651,3399,7050,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",923,970,1893,0.49,0.51
CH_a0_0,Chiron,Conjunction,0,4390,4086,8476,0.52,0.48
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",1439,1391,2830,0.51,0.49
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",313,275,588,0.53,0.47
CH_a103_0,Chiron,BiSeptile,0,3561,3390,6951,0.51,0.49
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",1293,1287,2580,0.5,0.5
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",295,258,553,0.53,0.47
CH_a120_0,Chiron,Trine,0,3725,3511,7236,0.51,0.49
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",1308,1301,2609,0.5,0.5
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",350,297,647,0.54,0.46
CH_a135_0,Chiron,SesquiSquare,0,3655,3458,7113,0.51,0.49
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",1412,1321,2733,0.52,0.48
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",441,404,845,0.52,0.48
CH_a144_0,Chiron,BiQuintile,0,3460,3331,6791,0.51,0.49
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",1375,1202,2577,0.53,0.47
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",463,461,924,0.5,0.5
CH_a150_0,Chiron,Quincunx,0,3475,3393,6868,0.51,0.49
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",1271,1237,2508,0.51,0.49
CH_a180_0,Chiron,Opposition,0,4042,3819,7861,0.51,0.49
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",704,648,1352,0.52,0.48
CH_a30_0,Chiron,SemiSextile,0,2542,2516,5058,0.5,0.5
