PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",1299,1270,2569,0.51,0.49
"CE_(3,4]",Ceres,"(3,4]",944,942,1886,0.5,0.5
"CE_(4,8]",Ceres,"(4,8]",710,688,1398,0.51,0.49
"CE_[0,2]",Ceres,"[0,2]",2615,2390,5005,0.52,0.48
"CH_(1,2]",Chiron,"(1,2]",1492,1402,2894,0.52,0.48
"CH_(2,3]",Chiron,"(2,3]",471,389,860,0.55,0.45
CH_1,Chiron,1,2436,2375,4811,0.51,0.49
"CH_[0,1)",Chiron,"[0,1)",1169,1124,2293,0.51,0.49
"JN_(2,3]",Juno,"(2,3]",1264,1254,2518,0.5,0.5
"JN_(3,4]",Juno,"(3,4]",1030,997,2027,0.51,0.49
"JN_(4,9]",Juno,"(4,9]",1026,908,1934,0.53,0.47
"JN_[0,2]",Juno,"[0,2]",2248,2131,4379,0.51,0.49
"JU_(1,2]",Jupiter,"(1,2]",1651,1583,3234,0.51,0.49
"JU_(2,3]",Jupiter,"(2,3]",1311,1293,2604,0.5,0.5
"JU_(3,7]",Jupiter,"(3,7]",903,827,1730,0.52,0.48
"JU_[0,1]",Jupiter,"[0,1]",1703,1587,3290,0.52,0.48
"MA_(2,3]",Mars,"(2,3]",1241,1206,2447,0.51,0.49
"MA_(3,5]",Mars,"(3,5]",1981,1886,3867,0.51,0.49
"MA_(5,11]",Mars,"(5,11]",726,725,1451,0.5,0.5
"MA_[0,2]",Mars,"[0,2]",1620,1473,3093,0.52,0.48
"ME_(3,4]",Mercury,"(3,4]",1145,1094,2239,0.51,0.49
"ME_(4,6]",Mercury,"(4,6]",1837,1715,3552,0.52,0.48
"ME_(6,13]",Mercury,"(6,13]",709,702,1411,0.5,0.5
"ME_[0,3]",Mercury,"[0,3]",1877,1779,3656,0.51,0.49
"MO_(13,15]",Moon,"(13,15]",1580,1546,3126,0.51,0.49
"MO_(15,17]",Moon,"(15,17]",1339,1314,2653,0.5,0.5
"MO_(17,27]",Moon,"(17,27]",961,884,1845,0.52,0.48
"MO_[5,13]",Moon,"[5,13]",1688,1546,3234,0.52,0.48
"NE_(0,1]",Neptune,"(0,1]",772,841,1613,0.48,0.52
NE_0,Neptune,0,4796,4449,9245,0.52,0.48
"NN_(2,3]",NNode,"(2,3]",1574,1502,3076,0.51,0.49
"NN_(3,6]",NNode,"(3,6]",1250,1113,2363,0.53,0.47
NN_2,NNode,2,1930,1873,3803,0.51,0.49
"NN_[1,2)",NNode,"[1,2)",814,802,1616,0.5,0.5
"PA_(1,2]",Pallas,"(1,2]",1455,1422,2877,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",1339,1225,2564,0.52,0.48
"PA_(3,8]",Pallas,"(3,8]",1237,1220,2457,0.5,0.5
"PA_[0,1]",Pallas,"[0,1]",1537,1423,2960,0.52,0.48
"PH_(0,1]",Pholus,"(0,1]",2125,1992,4117,0.52,0.48
"PH_(1,2]",Pholus,"(1,2]",178,205,383,0.46,0.54
PH_0,Pholus,0,3265,3093,6358,0.51,0.49
"SA_(1,2]",Saturn,"(1,2]",1552,1503,3055,0.51,0.49
"SA_(2,4]",Saturn,"(2,4]",584,523,1107,0.53,0.47
SA_1,Saturn,1,2139,2029,4168,0.51,0.49
"SA_[0,1)",Saturn,"[0,1)",1293,1235,2528,0.51,0.49
"SN_(2,5]",SNode,"(2,5]",1263,1117,2380,0.53,0.47
SN_2,SNode,2,1612,1558,3170,0.51,0.49
"SN_[0,1]",SNode,"[0,1]",2693,2615,5308,0.51,0.49
"SU_(3,4]",Sun,"(3,4]",1198,1171,2369,0.51,0.49
"SU_(4,5]",Sun,"(4,5]",975,907,1882,0.52,0.48
"SU_(5,11]",Sun,"(5,11]",1085,1045,2130,0.51,0.49
"SU_[0,3]",Sun,"[0,3]",2310,2167,4477,0.52,0.48
"UR_(1,3]",Uranus,"(1,3]",1054,1004,2058,0.51,0.49
UR_0,Uranus,0,2070,2103,4173,0.5,0.5
UR_1,Uranus,1,2444,2183,4627,0.53,0.47
"VE_(3,4]",Venus,"(3,4]",1222,1159,2381,0.51,0.49
"VE_(4,6]",Venus,"(4,6]",1819,1697,3516,0.52,0.48
"VE_(6,12]",Venus,"(6,12]",706,715,1421,0.5,0.5
"VE_[0,3]",Venus,"[0,3]",1821,1719,3540,0.51,0.49
"VS_(2,3]",Vesta,"(2,3]",1337,1267,2604,0.51,0.49
"VS_(3,4]",Vesta,"(3,4]",1079,1062,2141,0.5,0.5
"VS_(4,10]",Vesta,"(4,10]",1302,1241,2543,0.51,0.49
"VS_[0,2]",Vesta,"[0,2]",1850,1720,3570,0.52,0.48
