PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",547,515,1062,0.52,0.48
CE_a0_0,Ceres,Conjunction,0,4779,4547,9326,0.51,0.49
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",998,997,1995,0.5,0.5
CE_a103_0,Ceres,BiSeptile,0,4328,4065,8393,0.52,0.48
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",1018,971,1989,0.51,0.49
CE_a120_0,Ceres,Trine,0,4308,4091,8399,0.51,0.49
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",961,875,1836,0.52,0.48
CE_a135_0,Ceres,SesquiSquare,0,4365,4187,8552,0.51,0.49
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",1034,952,1986,0.52,0.48
CE_a144_0,Ceres,BiQuintile,0,4292,4110,8402,0.51,0.49
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",970,1007,1977,0.49,0.51
CE_a150_0,Ceres,Quincunx,0,4356,4055,8411,0.52,0.48
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",484,470,954,0.51,0.49
CE_a180_0,Ceres,Opposition,0,4842,4592,9434,0.51,0.49
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",1046,988,2034,0.51,0.49
CE_a30_0,Ceres,SemiSextile,0,4280,4074,8354,0.51,0.49
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",1056,1018,2074,0.51,0.49
CE_a36_0,Ceres,SemiQuintile,0,4270,4044,8314,0.51,0.49
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1075,1118,2193,0.49,0.51
CE_a45_0,Ceres,SemiSquare,0,4251,3944,8195,0.52,0.48
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1019,1002,2021,0.5,0.5
CE_a60_0,Ceres,Sextile,0,4307,4060,8367,0.51,0.49
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",1103,1003,2106,0.52,0.48
CE_a72_0,Ceres,Quintile,0,4223,4059,8282,0.51,0.49
"CE_a90_(0,4]",Ceres,Square,"(0,4]",995,1002,1997,0.5,0.5
CE_a90_0,Ceres,Square,0,4331,4060,8391,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",745,793,1538,0.48,0.52
CH_a0_0,Chiron,Conjunction,0,4581,4269,8850,0.52,0.48
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",1365,1326,2691,0.51,0.49
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",281,241,522,0.54,0.46
CH_a103_0,Chiron,BiSeptile,0,3680,3495,7175,0.51,0.49
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",1219,1200,2419,0.5,0.5
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",260,225,485,0.54,0.46
CH_a120_0,Chiron,Trine,0,3847,3637,7484,0.51,0.49
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",1245,1227,2472,0.5,0.5
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",295,255,550,0.54,0.46
CH_a135_0,Chiron,SesquiSquare,0,3786,3580,7366,0.51,0.49
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",1327,1256,2583,0.51,0.49
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",298,264,562,0.53,0.47
CH_a144_0,Chiron,BiQuintile,0,3701,3542,7243,0.51,0.49
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",1371,1197,2568,0.53,0.47
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",284,267,551,0.52,0.48
CH_a150_0,Chiron,Quincunx,0,3671,3598,7269,0.51,0.49
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",1083,1060,2143,0.51,0.49
CH_a180_0,Chiron,Opposition,0,4243,4002,8245,0.51,0.49
