PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(1,2]",Ceres,"(1,2]",1459,1402,2861,0.51,0.49
"CE_(2,6]",Ceres,"(2,6]",743,765,1508,0.49,0.51
CE_1,Ceres,1,1982,1879,3861,0.51,0.49
"CE_[0,1)",Ceres,"[0,1)",1128,1009,2137,0.53,0.47
"CH_(1,2]",Chiron,"(1,2]",1480,1389,2869,0.52,0.48
"CH_(2,3]",Chiron,"(2,3]",1074,1053,2127,0.5,0.5
"CH_(3,9]",Chiron,"(3,9]",981,886,1867,0.53,0.47
"CH_[0,1]",Chiron,"[0,1]",1777,1727,3504,0.51,0.49
"JN_(1,2]",Juno,"(1,2]",1366,1329,2695,0.51,0.49
"JN_(2,6]",Juno,"(2,6]",638,534,1172,0.54,0.46
JN_1,Juno,1,2096,2011,4107,0.51,0.49
"JN_[0,1)",Juno,"[0,1)",1212,1181,2393,0.51,0.49
"JU_(2,7]",Jupiter,"(2,7]",1111,1112,2223,0.5,0.5
JU_2,Jupiter,2,1585,1551,3136,0.51,0.49
"JU_[0,1]",Jupiter,"[0,1]",2616,2392,5008,0.52,0.48
"MA_(1,5]",Mars,"(1,5]",1308,1280,2588,0.51,0.49
MA_0,Mars,0,1699,1559,3258,0.52,0.48
MA_1,Mars,1,2305,2216,4521,0.51,0.49
"ME_(1,2]",Mercury,"(1,2]",211,224,435,0.49,0.51
ME_0,Mercury,0,2487,2454,4941,0.5,0.5
ME_1,Mercury,1,2614,2377,4991,0.52,0.48
"NE_(1,2]",Neptune,"(1,2]",1400,1329,2729,0.51,0.49
"NE_(2,3]",Neptune,"(2,3]",1184,1144,2328,0.51,0.49
"NE_(3,10]",Neptune,"(3,10]",1349,1271,2620,0.51,0.49
"NE_[0,1]",Neptune,"[0,1]",1379,1311,2690,0.51,0.49
"NN_(1,2]",NNode,"(1,2]",1589,1500,3089,0.51,0.49
"NN_(2,3]",NNode,"(2,3]",899,893,1792,0.5,0.5
"NN_(3,7]",NNode,"(3,7]",440,442,882,0.5,0.5
"NN_[0,1]",NNode,"[0,1]",2384,2220,4604,0.52,0.48
"PA_(1,2]",Pallas,"(1,2]",1611,1515,3126,0.52,0.48
"PA_(2,7]",Pallas,"(2,7]",999,878,1877,0.53,0.47
PA_1,Pallas,1,1852,1789,3641,0.51,0.49
"PA_[0,1)",Pallas,"[0,1)",850,873,1723,0.49,0.51
"PH_(1,2]",Pholus,"(1,2]",1430,1370,2800,0.51,0.49
"PH_(2,3]",Pholus,"(2,3]",1120,1058,2178,0.51,0.49
"PH_(3,11]",Pholus,"(3,11]",1234,1225,2459,0.5,0.5
"PH_[0,1]",Pholus,"[0,1]",1528,1402,2930,0.52,0.48
"PL_(2,3]",Pluto,"(2,3]",1234,1158,2392,0.52,0.48
"PL_(3,4]",Pluto,"(3,4]",828,798,1626,0.51,0.49
"PL_(4,10]",Pluto,"(4,10]",671,580,1251,0.54,0.46
"PL_[0,2]",Pluto,"[0,2]",2579,2519,5098,0.51,0.49
"SA_(1,2]",Saturn,"(1,2]",1490,1387,2877,0.52,0.48
"SA_(2,3]",Saturn,"(2,3]",1020,984,2004,0.51,0.49
"SA_(3,9]",Saturn,"(3,9]",805,772,1577,0.51,0.49
"SA_[0,1]",Saturn,"[0,1]",1997,1912,3909,0.51,0.49
"SN_(2,3]",SNode,"(2,3]",1580,1501,3081,0.51,0.49
"SN_(3,4]",SNode,"(3,4]",892,897,1789,0.5,0.5
"SN_(4,8]",SNode,"(4,8]",449,470,919,0.49,0.51
"SN_[1,2]",SNode,"[1,2]",2391,2187,4578,0.52,0.48
"SU_(1,4]",Sun,"(1,4]",971,887,1858,0.52,0.48
SU_0,Sun,0,1745,1675,3420,0.51,0.49
SU_1,Sun,1,2596,2493,5089,0.51,0.49
"UR_(1,2]",Uranus,"(1,2]",1438,1379,2817,0.51,0.49
"UR_(2,3]",Uranus,"(2,3]",1198,1136,2334,0.51,0.49
"UR_(3,10]",Uranus,"(3,10]",1210,1126,2336,0.52,0.48
"UR_[0,1]",Uranus,"[0,1]",1466,1414,2880,0.51,0.49
"VE_(1,3]",Venus,"(1,3]",633,596,1229,0.52,0.48
VE_0,Venus,0,2133,2000,4133,0.52,0.48
VE_1,Venus,1,2546,2459,5005,0.51,0.49
"VS_(0,1]",Vesta,"(0,1]",2213,2093,4306,0.51,0.49
"VS_(1,2]",Vesta,"(1,2]",1273,1213,2486,0.51,0.49
"VS_(2,6]",Vesta,"(2,6]",359,375,734,0.49,0.51
VS_0,Vesta,0,1467,1374,2841,0.52,0.48
