PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,647,612,1259,0.51,0.49
CE_Z02_TAU,Ceres,Taurus,574,597,1171,0.49,0.51
CE_Z03_GEM,Ceres,Gemini,533,486,1019,0.52,0.48
CE_Z04_CAN,Ceres,Cancer,489,465,954,0.51,0.49
CE_Z05_LEO,Ceres,Leo,492,474,966,0.51,0.49
CE_Z06_VIR,Ceres,Virgo,452,458,910,0.5,0.5
CE_Z07_LIB,Ceres,Libra,462,456,918,0.5,0.5
CE_Z08_SCO,Ceres,Scorpio,473,465,938,0.5,0.5
CE_Z09_SAG,Ceres,Sagittarius,650,560,1210,0.54,0.46
CE_Z10_CAP,Ceres,Capricorn,580,559,1139,0.51,0.49
CE_Z11_AQU,Ceres,Aquarius,600,572,1172,0.51,0.49
CE_Z12_PIS,Ceres,Pisces,708,618,1326,0.53,0.47
CH_Z01_ARI,Chiron,Aries,1274,1161,2435,0.52,0.48
CH_Z02_TAU,Chiron,Taurus,858,905,1763,0.49,0.51
CH_Z03_GEM,Chiron,Gemini,611,560,1171,0.52,0.48
CH_Z04_CAN,Chiron,Cancer,382,396,778,0.49,0.51
CH_Z05_LEO,Chiron,Leo,277,262,539,0.51,0.49
CH_Z06_VIR,Chiron,Virgo,274,234,508,0.54,0.46
CH_Z07_LIB,Chiron,Libra,233,202,435,0.54,0.46
CH_Z08_SCO,Chiron,Scorpio,245,240,485,0.51,0.49
CH_Z09_SAG,Chiron,Sagittarius,303,353,656,0.46,0.54
CH_Z10_CAP,Chiron,Capricorn,477,415,892,0.53,0.47
CH_Z11_AQU,Chiron,Aquarius,700,651,1351,0.52,0.48
CH_Z12_PIS,Chiron,Pisces,1026,943,1969,0.52,0.48
JN_Z01_ARI,Juno,Aries,383,344,727,0.53,0.47
JN_Z02_TAU,Juno,Taurus,386,348,734,0.53,0.47
JN_Z03_GEM,Juno,Gemini,339,267,606,0.56,0.44
JN_Z04_CAN,Juno,Cancer,377,358,735,0.51,0.49
