PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,53,27,80,0.66,0.34
CE_CH_a103,Ceres,Chiron,BiSeptile,164,158,322,0.51,0.49
CE_CH_a120,Ceres,Chiron,Trine,88,107,195,0.45,0.55
CE_CH_a135,Ceres,Chiron,SesquiSquare,135,94,229,0.59,0.41
CE_CH_a144,Ceres,Chiron,BiQuintile,79,73,152,0.52,0.48
CE_CH_a150,Ceres,Chiron,Quincunx,61,62,123,0.5,0.5
CE_CH_a180,Ceres,Chiron,Opposition,95,82,177,0.54,0.46
CE_CH_a30,Ceres,Chiron,SemiSextile,115,114,229,0.5,0.5
CE_CH_a36,Ceres,Chiron,SemiQuintile,147,134,281,0.52,0.48
CE_CH_a45,Ceres,Chiron,SemiSquare,118,122,240,0.49,0.51
CE_CH_a60,Ceres,Chiron,Sextile,127,123,250,0.51,0.49
CE_CH_a72,Ceres,Chiron,Quintile,87,131,218,0.4,0.6
CE_CH_a90,Ceres,Chiron,Square,143,135,278,0.51,0.49
CE_JU_a0,Ceres,Jupiter,Conjunction,51,37,88,0.58,0.42
CE_JU_a103,Ceres,Jupiter,BiSeptile,133,124,257,0.52,0.48
CE_JU_a120,Ceres,Jupiter,Trine,93,85,178,0.52,0.48
CE_JU_a135,Ceres,Jupiter,SesquiSquare,117,126,243,0.48,0.52
CE_JU_a144,Ceres,Jupiter,BiQuintile,91,108,199,0.46,0.54
CE_JU_a150,Ceres,Jupiter,Quincunx,89,94,183,0.49,0.51
CE_JU_a180,Ceres,Jupiter,Opposition,57,52,109,0.52,0.48
CE_JU_a30,Ceres,Jupiter,SemiSextile,123,110,233,0.53,0.47
CE_JU_a36,Ceres,Jupiter,SemiQuintile,170,143,313,0.54,0.46
CE_JU_a45,Ceres,Jupiter,SemiSquare,103,102,205,0.5,0.5
CE_JU_a60,Ceres,Jupiter,Sextile,110,93,203,0.54,0.46
CE_JU_a72,Ceres,Jupiter,Quintile,99,128,227,0.44,0.56
CE_JU_a90,Ceres,Jupiter,Square,100,102,202,0.5,0.5
CE_NE_a0,Ceres,Neptune,Conjunction,55,59,114,0.48,0.52
CE_NE_a103,Ceres,Neptune,BiSeptile,94,87,181,0.52,0.48
CE_NE_a120,Ceres,Neptune,Trine,131,122,253,0.52,0.48
CE_NE_a135,Ceres,Neptune,SesquiSquare,101,103,204,0.5,0.5
CE_NE_a144,Ceres,Neptune,BiQuintile,102,116,218,0.47,0.53
CE_NE_a150,Ceres,Neptune,Quincunx,117,113,230,0.51,0.49
CE_NE_a180,Ceres,Neptune,Opposition,38,27,65,0.58,0.42
CE_NE_a30,Ceres,Neptune,SemiSextile,141,115,256,0.55,0.45
CE_NE_a36,Ceres,Neptune,SemiQuintile,124,121,245,0.51,0.49
CE_NE_a45,Ceres,Neptune,SemiSquare,131,123,254,0.52,0.48
CE_NE_a60,Ceres,Neptune,Sextile,134,113,247,0.54,0.46
CE_NE_a72,Ceres,Neptune,Quintile,103,108,211,0.49,0.51
CE_NE_a90,Ceres,Neptune,Square,99,87,186,0.53,0.47
CE_NN_a0,Ceres,NNode,Conjunction,99,68,167,0.59,0.41
CE_NN_a103,Ceres,NNode,BiSeptile,115,82,197,0.58,0.42
CE_NN_a120,Ceres,NNode,Trine,146,158,304,0.48,0.52
CE_NN_a135,Ceres,NNode,SesquiSquare,149,139,288,0.52,0.48
CE_NN_a144,Ceres,NNode,BiQuintile,124,129,253,0.49,0.51
CE_NN_a150,Ceres,NNode,Quincunx,137,166,303,0.45,0.55
CE_NN_a180,Ceres,NNode,Opposition,31,39,70,0.44,0.56
CE_NN_a30,Ceres,NNode,SemiSextile,108,90,198,0.55,0.45
CE_NN_a36,Ceres,NNode,SemiQuintile,118,111,229,0.52,0.48
CE_NN_a45,Ceres,NNode,SemiSquare,78,73,151,0.52,0.48
CE_NN_a60,Ceres,NNode,Sextile,147,136,283,0.52,0.48
CE_NN_a72,Ceres,NNode,Quintile,80,110,190,0.42,0.58
CE_NN_a90,Ceres,NNode,Square,123,150,273,0.45,0.55
CE_PA_a103,Ceres,Pallas,BiSeptile,33,26,59,0.56,0.44
CE_PA_a30,Ceres,Pallas,SemiSextile,536,472,1008,0.53,0.47
CE_PA_a36,Ceres,Pallas,SemiQuintile,459,408,867,0.53,0.47
CE_PA_a45,Ceres,Pallas,SemiSquare,395,416,811,0.49,0.51
CE_PA_a60,Ceres,Pallas,Sextile,168,180,348,0.48,0.52
CE_PA_a72,Ceres,Pallas,Quintile,90,104,194,0.46,0.54
CE_PA_a90,Ceres,Pallas,Square,42,53,95,0.44,0.56
CE_PH_a0,Ceres,Pholus,Conjunction,44,79,123,0.36,0.64
CE_PH_a103,Ceres,Pholus,BiSeptile,122,114,236,0.52,0.48
CE_PH_a120,Ceres,Pholus,Trine,140,117,257,0.54,0.46
CE_PH_a135,Ceres,Pholus,SesquiSquare,201,171,372,0.54,0.46
CE_PH_a144,Ceres,Pholus,BiQuintile,123,133,256,0.48,0.52
CE_PH_a150,Ceres,Pholus,Quincunx,139,130,269,0.52,0.48
CE_PH_a180,Ceres,Pholus,Opposition,55,55,110,0.5,0.5
CE_PH_a30,Ceres,Pholus,SemiSextile,161,165,326,0.49,0.51
CE_PH_a36,Ceres,Pholus,SemiQuintile,138,140,278,0.5,0.5
CE_PH_a45,Ceres,Pholus,SemiSquare,94,87,181,0.52,0.48
CE_PH_a60,Ceres,Pholus,Sextile,124,140,264,0.47,0.53
CE_PH_a72,Ceres,Pholus,Quintile,165,149,314,0.53,0.47
CE_PH_a90,Ceres,Pholus,Square,95,99,194,0.49,0.51
CE_PL_a0,Ceres,Pluto,Conjunction,66,56,122,0.54,0.46
CE_PL_a103,Ceres,Pluto,BiSeptile,93,97,190,0.49,0.51
CE_PL_a120,Ceres,Pluto,Trine,115,122,237,0.49,0.51
CE_PL_a135,Ceres,Pluto,SesquiSquare,113,103,216,0.52,0.48
