PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_JU_a0,Ceres,Jupiter,Conjunction,93,79,172,0.54,0.46
CE_JU_a103,Ceres,Jupiter,BiSeptile,150,131,281,0.53,0.47
CE_JU_a120,Ceres,Jupiter,Trine,90,90,180,0.5,0.5
CE_JU_a135,Ceres,Jupiter,SesquiSquare,134,142,276,0.49,0.51
CE_JU_a144,Ceres,Jupiter,BiQuintile,84,89,173,0.49,0.51
CE_JU_a150,Ceres,Jupiter,Quincunx,113,118,231,0.49,0.51
CE_JU_a180,Ceres,Jupiter,Opposition,64,72,136,0.47,0.53
CE_JU_a30,Ceres,Jupiter,SemiSextile,137,133,270,0.51,0.49
CE_JU_a36,Ceres,Jupiter,SemiQuintile,147,139,286,0.51,0.49
CE_JU_a45,Ceres,Jupiter,SemiSquare,135,133,268,0.5,0.5
CE_JU_a60,Ceres,Jupiter,Sextile,117,121,238,0.49,0.51
CE_JU_a72,Ceres,Jupiter,Quintile,132,99,231,0.57,0.43
CE_JU_a90,Ceres,Jupiter,Square,171,129,300,0.57,0.43
CE_MA_a0,Ceres,Mars,Conjunction,66,61,127,0.52,0.48
CE_MA_a103,Ceres,Mars,BiSeptile,90,105,195,0.46,0.54
CE_MA_a120,Ceres,Mars,Trine,124,116,240,0.52,0.48
CE_MA_a135,Ceres,Mars,SesquiSquare,138,155,293,0.47,0.53
CE_MA_a144,Ceres,Mars,BiQuintile,163,136,299,0.55,0.45
CE_MA_a150,Ceres,Mars,Quincunx,103,119,222,0.46,0.54
CE_MA_a180,Ceres,Mars,Opposition,85,72,157,0.54,0.46
CE_MA_a30,Ceres,Mars,SemiSextile,95,100,195,0.49,0.51
CE_MA_a36,Ceres,Mars,SemiQuintile,91,94,185,0.49,0.51
CE_MA_a45,Ceres,Mars,SemiSquare,132,113,245,0.54,0.46
CE_MA_a60,Ceres,Mars,Sextile,99,115,214,0.46,0.54
CE_MA_a72,Ceres,Mars,Quintile,111,122,233,0.48,0.52
CE_MA_a90,Ceres,Mars,Square,136,129,265,0.51,0.49
CE_ME_a0,Ceres,Mercury,Conjunction,74,77,151,0.49,0.51
CE_ME_a103,Ceres,Mercury,BiSeptile,128,98,226,0.57,0.43
CE_ME_a120,Ceres,Mercury,Trine,120,112,232,0.52,0.48
CE_ME_a135,Ceres,Mercury,SesquiSquare,122,110,232,0.53,0.47
CE_ME_a144,Ceres,Mercury,BiQuintile,128,132,260,0.49,0.51
CE_ME_a150,Ceres,Mercury,Quincunx,150,150,300,0.5,0.5
CE_ME_a180,Ceres,Mercury,Opposition,74,73,147,0.5,0.5
CE_ME_a30,Ceres,Mercury,SemiSextile,126,120,246,0.51,0.49
CE_ME_a36,Ceres,Mercury,SemiQuintile,85,76,161,0.53,0.47
CE_ME_a45,Ceres,Mercury,SemiSquare,130,147,277,0.47,0.53
CE_ME_a60,Ceres,Mercury,Sextile,102,95,197,0.52,0.48
CE_ME_a72,Ceres,Mercury,Quintile,120,131,251,0.48,0.52
CE_ME_a90,Ceres,Mercury,Square,160,135,295,0.54,0.46
CE_MO_a0,Ceres,Moon,Conjunction,69,54,123,0.56,0.44
CE_MO_a103,Ceres,Moon,BiSeptile,113,130,243,0.47,0.53
CE_MO_a120,Ceres,Moon,Trine,89,121,210,0.42,0.58
CE_MO_a135,Ceres,Moon,SesquiSquare,140,135,275,0.51,0.49
CE_MO_a144,Ceres,Moon,BiQuintile,107,98,205,0.52,0.48
CE_MO_a150,Ceres,Moon,Quincunx,109,154,263,0.41,0.59
CE_MO_a180,Ceres,Moon,Opposition,63,59,122,0.52,0.48
CE_MO_a30,Ceres,Moon,SemiSextile,144,136,280,0.51,0.49
CE_MO_a36,Ceres,Moon,SemiQuintile,129,114,243,0.53,0.47
CE_MO_a45,Ceres,Moon,SemiSquare,106,118,224,0.47,0.53
CE_MO_a60,Ceres,Moon,Sextile,132,147,279,0.47,0.53
