PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",242,234,476,0.51,0.49
CE_a0_0,Ceres,Conjunction,0,963,1027,1990,0.48,0.52
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",388,403,791,0.49,0.51
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",85,85,170,0.5,0.5
CE_a103_0,Ceres,BiSeptile,0,732,773,1505,0.49,0.51
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",351,379,730,0.48,0.52
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",94,82,176,0.53,0.47
CE_a120_0,Ceres,Trine,0,760,800,1560,0.49,0.51
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",360,337,697,0.52,0.48
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",73,101,174,0.42,0.58
CE_a135_0,Ceres,SesquiSquare,0,772,823,1595,0.48,0.52
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",293,301,594,0.49,0.51
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",105,107,212,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,807,853,1660,0.49,0.51
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",332,345,677,0.49,0.51
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",63,44,107,0.59,0.41
CE_a150_0,Ceres,Quincunx,0,810,872,1682,0.48,0.52
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",221,188,409,0.54,0.46
CE_a180_0,Ceres,Opposition,0,984,1073,2057,0.48,0.52
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",413,433,846,0.49,0.51
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",137,142,279,0.49,0.51
CE_a30_0,Ceres,SemiSextile,0,655,686,1341,0.49,0.51
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",385,397,782,0.49,0.51
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",187,199,386,0.48,0.52
CE_a36_0,Ceres,SemiQuintile,0,633,665,1298,0.49,0.51
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",476,439,915,0.52,0.48
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",193,176,369,0.52,0.48
CE_a45_0,Ceres,SemiSquare,0,536,646,1182,0.45,0.55
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",381,381,762,0.5,0.5
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",101,83,184,0.55,0.45
CE_a60_0,Ceres,Sextile,0,723,797,1520,0.48,0.52
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",379,395,774,0.49,0.51
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",45,61,106,0.42,0.58
CE_a72_0,Ceres,Quintile,0,781,805,1586,0.49,0.51
"CE_a90_(0,1]",Ceres,Square,"(0,1]",286,296,582,0.49,0.51
"CE_a90_(1,5]",Ceres,Square,"(1,5]",42,53,95,0.44,0.56
CE_a90_0,Ceres,Square,0,877,912,1789,0.49,0.51
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",142,138,280,0.51,0.49
CH_a0_0,Chiron,Conjunction,0,1063,1123,2186,0.49,0.51
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",349,395,744,0.47,0.53
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",90,83,173,0.52,0.48
CH_a103_0,Chiron,BiSeptile,0,766,783,1549,0.49,0.51
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",256,300,556,0.46,0.54
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",48,44,92,0.52,0.48
CH_a120_0,Chiron,Trine,0,901,917,1818,0.5,0.5
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",284,285,569,0.5,0.5
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",38,58,96,0.4,0.6
CH_a135_0,Chiron,SesquiSquare,0,883,918,1801,0.49,0.51
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",267,306,573,0.47,0.53
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",89,89,178,0.5,0.5
CH_a144_0,Chiron,BiQuintile,0,849,866,1715,0.5,0.5
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",334,330,664,0.5,0.5
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",51,50,101,0.5,0.5
CH_a150_0,Chiron,Quincunx,0,820,881,1701,0.48,0.52
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",176,166,342,0.51,0.49
CH_a180_0,Chiron,Opposition,0,1029,1095,2124,0.48,0.52
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",339,310,649,0.52,0.48
CH_a30_0,Chiron,SemiSextile,0,132,158,290,0.46,0.54
CH_a30_1,Chiron,SemiSextile,1,734,793,1527,0.48,0.52
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",346,350,696,0.5,0.5
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",56,48,104,0.54,0.46
CH_a36_0,Chiron,SemiQuintile,0,803,863,1666,0.48,0.52
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",304,315,619,0.49,0.51
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",33,42,75,0.44,0.56
CH_a45_0,Chiron,SemiSquare,0,868,904,1772,0.49,0.51
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",319,328,647,0.49,0.51
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",78,97,175,0.45,0.55
CH_a60_0,Chiron,Sextile,0,808,836,1644,0.49,0.51
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",447,482,929,0.48,0.52
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",205,177,382,0.54,0.46
CH_a72_0,Chiron,Quintile,0,553,602,1155,0.48,0.52
"CH_a90_(0,1]",Chiron,Square,"(0,1]",461,475,936,0.49,0.51
"CH_a90_(1,5]",Chiron,Square,"(1,5]",153,173,326,0.47,0.53
CH_a90_0,Chiron,Square,0,591,613,1204,0.49,0.51
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",192,188,380,0.51,0.49
JN_a0_0,Juno,Conjunction,0,1013,1073,2086,0.49,0.51
"JN_a103_(0,1]",Juno,BiSeptile,"(0,1]",402,394,796,0.51,0.49
"JN_a103_(1,5]",Juno,BiSeptile,"(1,5]",77,117,194,0.4,0.6
JN_a103_0,Juno,BiSeptile,0,726,750,1476,0.49,0.51
"JN_a120_(0,1]",Juno,Trine,"(0,1]",395,425,820,0.48,0.52
"JN_a120_(1,4]",Juno,Trine,"(1,4]",103,107,210,0.49,0.51
JN_a120_0,Juno,Trine,0,707,729,1436,0.49,0.51
"JN_a135_(0,1]",Juno,SesquiSquare,"(0,1]",381,415,796,0.48,0.52
"JN_a135_(1,4]",Juno,SesquiSquare,"(1,4]",70,84,154,0.45,0.55
JN_a135_0,Juno,SesquiSquare,0,754,762,1516,0.5,0.5
"JN_a144_(0,1]",Juno,BiQuintile,"(0,1]",375,396,771,0.49,0.51
"JN_a144_(1,5]",Juno,BiQuintile,"(1,5]",103,117,220,0.47,0.53
JN_a144_0,Juno,BiQuintile,0,727,748,1475,0.49,0.51
"JN_a150_(0,1]",Juno,Quincunx,"(0,1]",355,387,742,0.48,0.52
"JN_a150_(1,4]",Juno,Quincunx,"(1,4]",93,110,203,0.46,0.54
JN_a150_0,Juno,Quincunx,0,757,764,1521,0.5,0.5
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",233,243,476,0.49,0.51
JN_a180_0,Juno,Opposition,0,972,1018,1990,0.49,0.51
"JN_a30_(0,1]",Juno,SemiSextile,"(0,1]",287,328,615,0.47,0.53
"JN_a30_(1,5]",Juno,SemiSextile,"(1,5]",54,46,100,0.54,0.46
JN_a30_0,Juno,SemiSextile,0,864,887,1751,0.49,0.51
"JN_a36_(0,1]",Juno,SemiQuintile,"(0,1]",265,312,577,0.46,0.54
"JN_a36_(1,4]",Juno,SemiQuintile,"(1,4]",43,48,91,0.47,0.53
JN_a36_0,Juno,SemiQuintile,0,897,901,1798,0.5,0.5
"JN_a45_(0,1]",Juno,SemiSquare,"(0,1]",336,348,684,0.49,0.51
"JN_a45_(1,4]",Juno,SemiSquare,"(1,4]",50,57,107,0.47,0.53
JN_a45_0,Juno,SemiSquare,0,819,856,1675,0.49,0.51
"JN_a60_(0,1]",Juno,Sextile,"(0,1]",380,369,749,0.51,0.49
"JN_a60_(1,6]",Juno,Sextile,"(1,6]",72,78,150,0.48,0.52
JN_a60_0,Juno,Sextile,0,753,814,1567,0.48,0.52
"JN_a72_(0,1]",Juno,Quintile,"(0,1]",391,407,798,0.49,0.51
"JN_a72_(1,4]",Juno,Quintile,"(1,4]",174,153,327,0.53,0.47
JN_a72_0,Juno,Quintile,0,640,701,1341,0.48,0.52
"JN_a90_(0,1]",Juno,Square,"(0,1]",325,387,712,0.46,0.54
"JN_a90_(1,5]",Juno,Square,"(1,5]",75,86,161,0.47,0.53
JN_a90_0,Juno,Square,0,805,788,1593,0.51,0.49
"JU_a0_(0,4]",Jupiter,Conjunction,"(0,4]",258,281,539,0.48,0.52
JU_a0_0,Jupiter,Conjunction,0,947,980,1927,0.49,0.51
"JU_a103_(0,1]",Jupiter,BiSeptile,"(0,1]",398,386,784,0.51,0.49
"JU_a103_(1,4]",Jupiter,BiSeptile,"(1,4]",46,48,94,0.49,0.51
JU_a103_0,Jupiter,BiSeptile,0,761,827,1588,0.48,0.52
"JU_a120_(0,1]",Jupiter,Trine,"(0,1]",290,339,629,0.46,0.54
"JU_a120_(1,4]",Jupiter,Trine,"(1,4]",58,77,135,0.43,0.57
JU_a120_0,Jupiter,Trine,0,857,845,1702,0.5,0.5
"JU_a135_(0,1]",Jupiter,SesquiSquare,"(0,1]",352,367,719,0.49,0.51
"JU_a135_(1,4]",Jupiter,SesquiSquare,"(1,4]",85,99,184,0.46,0.54
JU_a135_0,Jupiter,SesquiSquare,0,768,795,1563,0.49,0.51
"JU_a144_(0,1]",Jupiter,BiQuintile,"(0,1]",326,405,731,0.45,0.55
"JU_a144_(1,5]",Jupiter,BiQuintile,"(1,5]",71,67,138,0.51,0.49
JU_a144_0,Jupiter,BiQuintile,0,808,789,1597,0.51,0.49
"JU_a150_(0,1]",Jupiter,Quincunx,"(0,1]",370,378,748,0.49,0.51
"JU_a150_(1,5]",Jupiter,Quincunx,"(1,5]",102,83,185,0.55,0.45
JU_a150_0,Jupiter,Quincunx,0,733,800,1533,0.48,0.52
"JU_a180_(0,3]",Jupiter,Opposition,"(0,3]",271,236,507,0.53,0.47
JU_a180_0,Jupiter,Opposition,0,934,1025,1959,0.48,0.52
"JU_a30_(0,1]",Jupiter,SemiSextile,"(0,1]",255,280,535,0.48,0.52
"JU_a30_(1,5]",Jupiter,SemiSextile,"(1,5]",130,138,268,0.49,0.51
JU_a30_0,Jupiter,SemiSextile,0,820,843,1663,0.49,0.51
"JU_a36_(0,1]",Jupiter,SemiQuintile,"(0,1]",315,338,653,0.48,0.52
"JU_a36_(1,4]",Jupiter,SemiQuintile,"(1,4]",76,69,145,0.52,0.48
JU_a36_0,Jupiter,SemiQuintile,0,814,854,1668,0.49,0.51
"JU_a45_(0,1]",Jupiter,SemiSquare,"(0,1]",380,445,825,0.46,0.54
"JU_a45_(1,4]",Jupiter,SemiSquare,"(1,4]",89,90,179,0.5,0.5
JU_a45_0,Jupiter,SemiSquare,0,736,726,1462,0.5,0.5
"JU_a60_(0,1]",Jupiter,Sextile,"(0,1]",345,323,668,0.52,0.48
"JU_a60_(1,6]",Jupiter,Sextile,"(1,6]",85,77,162,0.52,0.48
JU_a60_0,Jupiter,Sextile,0,775,861,1636,0.47,0.53
"JU_a72_(0,1]",Jupiter,Quintile,"(0,1]",392,355,747,0.52,0.48
"JU_a72_(1,5]",Jupiter,Quintile,"(1,5]",102,126,228,0.45,0.55
JU_a72_0,Jupiter,Quintile,0,711,780,1491,0.48,0.52
"JU_a90_(0,1]",Jupiter,Square,"(0,1]",345,337,682,0.51,0.49
"JU_a90_(1,5]",Jupiter,Square,"(1,5]",61,84,145,0.42,0.58
JU_a90_0,Jupiter,Square,0,799,840,1639,0.49,0.51
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",259,294,553,0.47,0.53
MA_a0_0,Mars,Conjunction,0,946,967,1913,0.49,0.51
"MA_a103_(0,1]",Mars,BiSeptile,"(0,1]",403,384,787,0.51,0.49
