PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",203,236,439,0.46,0.54
"CE_(5,7]",Ceres,"(5,7]",428,401,829,0.52,0.48
"CE_(7,13]",Ceres,"(7,13]",249,234,483,0.52,0.48
"CE_[0,4]",Ceres,"[0,4]",311,370,681,0.46,0.54
"CH_(4,5]",Chiron,"(4,5]",229,257,486,0.47,0.53
"CH_(5,7]",Chiron,"(5,7]",465,438,903,0.51,0.49
"CH_(7,13]",Chiron,"(7,13]",217,226,443,0.49,0.51
"CH_[0,4]",Chiron,"[0,4]",280,320,600,0.47,0.53
"JN_(4,5]",Juno,"(4,5]",247,261,508,0.49,0.51
"JN_(5,7]",Juno,"(5,7]",399,389,788,0.51,0.49
"JN_(7,14]",Juno,"(7,14]",129,168,297,0.43,0.57
"JN_[0,4]",Juno,"[0,4]",416,423,839,0.5,0.5
"JU_(4,5]",Jupiter,"(4,5]",234,259,493,0.47,0.53
"JU_(5,7]",Jupiter,"(5,7]",350,347,697,0.5,0.5
"JU_(7,12]",Jupiter,"(7,12]",152,159,311,0.49,0.51
"JU_[0,4]",Jupiter,"[0,4]",455,476,931,0.49,0.51
"MA_(4,5]",Mars,"(4,5]",256,224,480,0.53,0.47
"MA_(5,7]",Mars,"(5,7]",356,385,741,0.48,0.52
"MA_(7,13]",Mars,"(7,13]",174,203,377,0.46,0.54
"MA_[0,4]",Mars,"[0,4]",405,429,834,0.49,0.51
"ME_(4,5]",Mercury,"(4,5]",244,232,476,0.51,0.49
"ME_(5,7]",Mercury,"(5,7]",358,371,729,0.49,0.51
"ME_(7,14]",Mercury,"(7,14]",136,143,279,0.49,0.51
"ME_[0,4]",Mercury,"[0,4]",453,495,948,0.48,0.52
"MO_(13,15]",Moon,"(13,15]",350,378,728,0.48,0.52
"MO_(15,17]",Moon,"(15,17]",284,313,597,0.48,0.52
"MO_(17,27]",Moon,"(17,27]",196,195,391,0.5,0.5
"MO_[5,13]",Moon,"[5,13]",361,355,716,0.5,0.5
"NE_(4,5]",Neptune,"(4,5]",225,234,459,0.49,0.51
"NE_(5,6]",Neptune,"(5,6]",187,189,376,0.5,0.5
"NE_(6,13]",Neptune,"(6,13]",240,278,518,0.46,0.54
"NE_[0,4]",Neptune,"[0,4]",539,540,1079,0.5,0.5
"NN_(5,6]",NNode,"(5,6]",249,233,482,0.52,0.48
"NN_(6,7]",NNode,"(6,7]",204,213,417,0.49,0.51
"NN_(7,13]",NNode,"(7,13]",240,302,542,0.44,0.56
"NN_[1,5]",NNode,"[1,5]",498,493,991,0.5,0.5
"PA_(4,5]",Pallas,"(4,5]",219,230,449,0.49,0.51
"PA_(5,7]",Pallas,"(5,7]",354,372,726,0.49,0.51
"PA_(7,13]",Pallas,"(7,13]",158,164,322,0.49,0.51
"PA_[0,4]",Pallas,"[0,4]",460,475,935,0.49,0.51
"PH_(4,5]",Pholus,"(4,5]",238,258,496,0.48,0.52
"PH_(5,6]",Pholus,"(5,6]",201,222,423,0.48,0.52
"PH_(6,13]",Pholus,"(6,13]",234,249,483,0.48,0.52
"PH_[0,4]",Pholus,"[0,4]",518,512,1030,0.5,0.5
"PL_(4,5]",Pluto,"(4,5]",262,256,518,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",202,190,392,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",228,220,448,0.51,0.49
"PL_[0,4]",Pluto,"[0,4]",499,575,1074,0.46,0.54
"SA_(4,5]",Saturn,"(4,5]",217,214,431,0.5,0.5
"SA_(5,7]",Saturn,"(5,7]",376,392,768,0.49,0.51
"SA_(7,14]",Saturn,"(7,14]",171,197,368,0.46,0.54
"SA_[0,4]",Saturn,"[0,4]",427,438,865,0.49,0.51
"SN_(5,6]",SNode,"(5,6]",274,258,532,0.52,0.48
"SN_(6,7]",SNode,"(6,7]",200,224,424,0.47,0.53
"SN_(7,13]",SNode,"(7,13]",262,297,559,0.47,0.53
"SN_[1,5]",SNode,"[1,5]",455,462,917,0.5,0.5
"SU_(4,5]",Sun,"(4,5]",262,294,556,0.47,0.53
"SU_(5,7]",Sun,"(5,7]",351,384,735,0.48,0.52
"SU_(7,14]",Sun,"(7,14]",152,164,316,0.48,0.52
"SU_[0,4]",Sun,"[0,4]",426,399,825,0.52,0.48
"UR_(4,5]",Uranus,"(4,5]",196,238,434,0.45,0.55
"UR_(5,7]",Uranus,"(5,7]",438,413,851,0.51,0.49
"UR_(7,15]",Uranus,"(7,15]",285,277,562,0.51,0.49
"UR_[0,4]",Uranus,"[0,4]",272,313,585,0.46,0.54
"VE_(4,5]",Venus,"(4,5]",232,247,479,0.48,0.52
"VE_(5,7]",Venus,"(5,7]",379,386,765,0.5,0.5
"VE_(7,14]",Venus,"(7,14]",195,215,410,0.48,0.52
"VE_[0,4]",Venus,"[0,4]",385,393,778,0.49,0.51
"VS_(4,5]",Vesta,"(4,5]",232,212,444,0.52,0.48
"VS_(5,7]",Vesta,"(5,7]",390,385,775,0.5,0.5
"VS_(7,13]",Vesta,"(7,13]",175,212,387,0.45,0.55
"VS_[0,4]",Vesta,"[0,4]",394,432,826,0.48,0.52
