PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",138,144,282,0.49,0.51
CE_a0_0,Ceres,Conjunction,0,1053,1097,2150,0.49,0.51
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",196,212,408,0.48,0.52
CE_a103_0,Ceres,BiSeptile,0,995,1029,2024,0.49,0.51
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",198,198,396,0.5,0.5
CE_a120_0,Ceres,Trine,0,993,1043,2036,0.49,0.51
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",261,274,535,0.49,0.51
CE_a135_0,Ceres,SesquiSquare,0,930,967,1897,0.49,0.51
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",233,240,473,0.49,0.51
CE_a144_0,Ceres,BiQuintile,0,958,1001,1959,0.49,0.51
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",200,188,388,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,991,1053,2044,0.48,0.52
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",92,84,176,0.52,0.48
CE_a180_0,Ceres,Opposition,0,1099,1157,2256,0.49,0.51
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",317,323,640,0.5,0.5
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",55,55,110,0.5,0.5
CE_a30_0,Ceres,SemiSextile,0,819,863,1682,0.49,0.51
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",313,294,607,0.52,0.48
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",99,118,217,0.46,0.54
CE_a36_0,Ceres,SemiQuintile,0,779,829,1608,0.48,0.52
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",427,383,810,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,764,858,1622,0.47,0.53
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",318,293,611,0.52,0.48
CE_a60_0,Ceres,Sextile,0,873,948,1821,0.48,0.52
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",266,284,550,0.48,0.52
CE_a72_0,Ceres,Quintile,0,925,957,1882,0.49,0.51
"CE_a90_(0,3]",Ceres,Square,"(0,3]",146,124,270,0.54,0.46
CE_a90_0,Ceres,Square,0,1045,1117,2162,0.48,0.52
CH_a0_0,Chiron,Conjunction,0,1191,1241,2432,0.49,0.51
CH_a103_0,Chiron,BiSeptile,0,1191,1241,2432,0.49,0.51
CH_a120_0,Chiron,Trine,0,1191,1241,2432,0.49,0.51
CH_a135_0,Chiron,SesquiSquare,0,1191,1241,2432,0.49,0.51
CH_a144_0,Chiron,BiQuintile,0,1191,1241,2432,0.49,0.51
CH_a150_0,Chiron,Quincunx,0,1191,1241,2432,0.49,0.51
CH_a180_0,Chiron,Opposition,0,1191,1241,2432,0.49,0.51
CH_a30_0,Chiron,SemiSextile,0,186,202,388,0.48,0.52
CH_a30_1,Chiron,SemiSextile,1,1005,1039,2044,0.49,0.51
CH_a36_0,Chiron,SemiQuintile,0,1191,1241,2432,0.49,0.51
CH_a45_0,Chiron,SemiSquare,0,1191,1241,2432,0.49,0.51
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",60,65,125,0.48,0.52
CH_a60_0,Chiron,Sextile,0,1131,1176,2307,0.49,0.51
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",358,366,724,0.49,0.51
CH_a72_0,Chiron,Quintile,0,833,875,1708,0.49,0.51
"CH_a90_(0,1]",Chiron,Square,"(0,1]",393,398,791,0.5,0.5
CH_a90_0,Chiron,Square,0,798,843,1641,0.49,0.51
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",98,78,176,0.56,0.44
JN_a0_0,Juno,Conjunction,0,1093,1163,2256,0.48,0.52
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",298,334,632,0.47,0.53
JN_a103_0,Juno,BiSeptile,0,893,907,1800,0.5,0.5
"JN_a120_(0,3]",Juno,Trine,"(0,3]",342,368,710,0.48,0.52
JN_a120_0,Juno,Trine,0,849,873,1722,0.49,0.51
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",309,345,654,0.47,0.53
JN_a135_0,Juno,SesquiSquare,0,882,896,1778,0.5,0.5
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",294,336,630,0.47,0.53
JN_a144_0,Juno,BiQuintile,0,897,905,1802,0.5,0.5
"JN_a150_(0,3]",Juno,Quincunx,"(0,3]",273,278,551,0.5,0.5
JN_a150_0,Juno,Quincunx,0,918,963,1881,0.49,0.51
"JN_a180_(0,3]",Juno,Opposition,"(0,3]",145,134,279,0.52,0.48
JN_a180_0,Juno,Opposition,0,1046,1107,2153,0.49,0.51
"JN_a30_(0,3]",Juno,SemiSextile,"(0,3]",166,161,327,0.51,0.49
JN_a30_0,Juno,SemiSextile,0,1025,1080,2105,0.49,0.51
"JN_a36_(0,3]",Juno,SemiQuintile,"(0,3]",152,160,312,0.49,0.51
JN_a36_0,Juno,SemiQuintile,0,1039,1081,2120,0.49,0.51
"JN_a45_(0,3]",Juno,SemiSquare,"(0,3]",225,244,469,0.48,0.52
JN_a45_0,Juno,SemiSquare,0,966,997,1963,0.49,0.51
"JN_a60_(0,3]",Juno,Sextile,"(0,3]",262,318,580,0.45,0.55
JN_a60_0,Juno,Sextile,0,929,923,1852,0.5,0.5
"JN_a72_(0,3]",Juno,Quintile,"(0,3]",372,348,720,0.52,0.48
JN_a72_0,Juno,Quintile,0,819,893,1712,0.48,0.52
