PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",254,264,518,0.49,0.51
"CE_(3,4]",Ceres,"(3,4]",267,254,521,0.51,0.49
"CE_(4,8]",Ceres,"(4,8]",243,231,474,0.51,0.49
"CE_[0,2]",Ceres,"[0,2]",450,526,976,0.46,0.54
"CH_(1,2]",Chiron,"(1,2]",432,452,884,0.49,0.51
"CH_(2,3]",Chiron,"(2,3]",149,149,298,0.5,0.5
CH_1,Chiron,1,528,551,1079,0.49,0.51
"CH_[0,1)",Chiron,"[0,1)",105,123,228,0.46,0.54
"JN_(2,3]",Juno,"(2,3]",279,280,559,0.5,0.5
"JN_(3,4]",Juno,"(3,4]",220,246,466,0.47,0.53
"JN_(4,9]",Juno,"(4,9]",216,231,447,0.48,0.52
"JN_[0,2]",Juno,"[0,2]",499,518,1017,0.49,0.51
"JU_(1,2]",Jupiter,"(1,2]",382,417,799,0.48,0.52
"JU_(2,3]",Jupiter,"(2,3]",235,231,466,0.5,0.5
"JU_(3,7]",Jupiter,"(3,7]",199,221,420,0.47,0.53
"JU_[0,1]",Jupiter,"[0,1]",398,406,804,0.5,0.5
"MA_(2,3]",Mars,"(2,3]",255,282,537,0.47,0.53
"MA_(3,5]",Mars,"(3,5]",465,487,952,0.49,0.51
"MA_(5,11]",Mars,"(5,11]",169,197,366,0.46,0.54
"MA_[0,2]",Mars,"[0,2]",325,309,634,0.51,0.49
"ME_(3,4]",Mercury,"(3,4]",271,266,537,0.5,0.5
"ME_(4,6]",Mercury,"(4,6]",379,419,798,0.47,0.53
"ME_(6,13]",Mercury,"(6,13]",143,141,284,0.5,0.5
"ME_[0,3]",Mercury,"[0,3]",421,449,870,0.48,0.52
"MO_(13,15]",Moon,"(13,15]",361,388,749,0.48,0.52
"MO_(15,17]",Moon,"(15,17]",289,318,607,0.48,0.52
"MO_(17,27]",Moon,"(17,27]",200,201,401,0.5,0.5
"MO_[5,13]",Moon,"[5,13]",364,368,732,0.5,0.5
NE_0,Neptune,0,1214,1275,2489,0.49,0.51
"NN_(2,3]",NNode,"(2,3]",300,294,594,0.51,0.49
"NN_(3,6]",NNode,"(3,6]",290,328,618,0.47,0.53
NN_2,NNode,2,437,429,866,0.5,0.5
"NN_[1,2)",NNode,"[1,2)",187,224,411,0.45,0.55
"PA_(1,2]",Pallas,"(1,2]",291,343,634,0.46,0.54
"PA_(2,3]",Pallas,"(2,3]",270,291,561,0.48,0.52
"PA_(3,8]",Pallas,"(3,8]",220,221,441,0.5,0.5
"PA_[0,1]",Pallas,"[0,1]",433,420,853,0.51,0.49
"PH_(0,1]",Pholus,"(0,1]",450,451,901,0.5,0.5
PH_0,Pholus,0,764,824,1588,0.48,0.52
"SA_(1,2]",Saturn,"(1,2]",311,306,617,0.5,0.5
"SA_(2,4]",Saturn,"(2,4]",139,168,307,0.45,0.55
SA_1,Saturn,1,368,396,764,0.48,0.52
"SA_[0,1)",Saturn,"[0,1)",396,405,801,0.49,0.51
"SN_(2,5]",SNode,"(2,5]",307,329,636,0.48,0.52
SN_2,SNode,2,343,342,685,0.5,0.5
"SN_[0,1]",SNode,"[0,1]",564,604,1168,0.48,0.52
"SU_(3,4]",Sun,"(3,4]",273,283,556,0.49,0.51
"SU_(4,5]",Sun,"(4,5]",189,239,428,0.44,0.56
"SU_(5,11]",Sun,"(5,11]",250,239,489,0.51,0.49
"SU_[0,3]",Sun,"[0,3]",502,514,1016,0.49,0.51
"UR_(1,3]",Uranus,"(1,3]",417,460,877,0.48,0.52
UR_0,Uranus,0,465,530,995,0.47,0.53
UR_1,Uranus,1,332,285,617,0.54,0.46
"VE_(3,4]",Venus,"(3,4]",259,280,539,0.48,0.52
"VE_(4,6]",Venus,"(4,6]",404,399,803,0.5,0.5
"VE_(6,12]",Venus,"(6,12]",154,177,331,0.47,0.53
"VE_[0,3]",Venus,"[0,3]",397,419,816,0.49,0.51
"VS_(2,3]",Vesta,"(2,3]",243,266,509,0.48,0.52
"VS_(3,4]",Vesta,"(3,4]",266,255,521,0.51,0.49
"VS_(4,10]",Vesta,"(4,10]",334,337,671,0.5,0.5
"VS_[0,2]",Vesta,"[0,2]",371,417,788,0.47,0.53
