PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",135,143,278,0.49,0.51
"CE_(5,7]",Ceres,"(5,7]",261,231,492,0.53,0.47
"CE_(7,13]",Ceres,"(7,13]",147,156,303,0.49,0.51
"CE_[0,4]",Ceres,"[0,4]",217,217,434,0.5,0.5
"CH_(4,5]",Chiron,"(4,5]",152,180,332,0.46,0.54
"CH_(5,7]",Chiron,"(5,7]",301,285,586,0.51,0.49
"CH_(7,13]",Chiron,"(7,13]",167,138,305,0.55,0.45
"CH_[0,4]",Chiron,"[0,4]",140,144,284,0.49,0.51
"JN_(4,5]",Juno,"(4,5]",160,144,304,0.53,0.47
"JN_(5,7]",Juno,"(5,7]",241,219,460,0.52,0.48
"JN_(7,14]",Juno,"(7,14]",92,94,186,0.49,0.51
"JN_[0,4]",Juno,"[0,4]",267,290,557,0.48,0.52
"JU_(4,5]",Jupiter,"(4,5]",155,159,314,0.49,0.51
"JU_(5,7]",Jupiter,"(5,7]",207,208,415,0.5,0.5
"JU_(7,12]",Jupiter,"(7,12]",91,95,186,0.49,0.51
"JU_[0,4]",Jupiter,"[0,4]",307,285,592,0.52,0.48
"MA_(4,5]",Mars,"(4,5]",164,111,275,0.6,0.4
"MA_(5,7]",Mars,"(5,7]",228,232,460,0.5,0.5
"MA_(7,13]",Mars,"(7,13]",129,117,246,0.52,0.48
"MA_[0,4]",Mars,"[0,4]",239,287,526,0.45,0.55
"ME_(4,5]",Mercury,"(4,5]",143,140,283,0.51,0.49
"ME_(5,7]",Mercury,"(5,7]",242,209,451,0.54,0.46
"ME_(7,14]",Mercury,"(7,14]",82,82,164,0.5,0.5
"ME_[0,4]",Mercury,"[0,4]",293,316,609,0.48,0.52
"MO_(13,15]",Moon,"(13,15]",241,234,475,0.51,0.49
"MO_(15,17]",Moon,"(15,17]",175,183,358,0.49,0.51
"MO_(17,27]",Moon,"(17,27]",127,112,239,0.53,0.47
"MO_[5,13]",Moon,"[5,13]",217,218,435,0.5,0.5
"NE_(4,5]",Neptune,"(4,5]",145,136,281,0.52,0.48
"NE_(5,6]",Neptune,"(5,6]",105,119,224,0.47,0.53
"NE_(6,13]",Neptune,"(6,13]",194,165,359,0.54,0.46
"NE_[0,4]",Neptune,"[0,4]",316,327,643,0.49,0.51
"NN_(5,6]",NNode,"(5,6]",155,150,305,0.51,0.49
"NN_(6,7]",NNode,"(6,7]",123,121,244,0.5,0.5
"NN_(7,13]",NNode,"(7,13]",178,197,375,0.47,0.53
"NN_[1,5]",NNode,"[1,5]",304,279,583,0.52,0.48
"PA_(4,5]",Pallas,"(4,5]",138,142,280,0.49,0.51
"PA_(5,7]",Pallas,"(5,7]",244,247,491,0.5,0.5
"PA_(7,13]",Pallas,"(7,13]",107,100,207,0.52,0.48
"PA_[0,4]",Pallas,"[0,4]",271,258,529,0.51,0.49
"PH_(4,5]",Pholus,"(4,5]",138,135,273,0.51,0.49
"PH_(5,6]",Pholus,"(5,6]",118,132,250,0.47,0.53
"PH_(6,13]",Pholus,"(6,13]",162,136,298,0.54,0.46
"PH_[0,4]",Pholus,"[0,4]",342,344,686,0.5,0.5
"PL_(4,5]",Pluto,"(4,5]",157,147,304,0.52,0.48
"PL_(5,6]",Pluto,"(5,6]",129,125,254,0.51,0.49
"PL_(6,14]",Pluto,"(6,14]",144,156,300,0.48,0.52
"PL_[0,4]",Pluto,"[0,4]",330,319,649,0.51,0.49
"SA_(4,5]",Saturn,"(4,5]",139,136,275,0.51,0.49
"SA_(5,7]",Saturn,"(5,7]",274,260,534,0.51,0.49
"SA_(7,14]",Saturn,"(7,14]",112,107,219,0.51,0.49
"SA_[0,4]",Saturn,"[0,4]",235,244,479,0.49,0.51
"SN_(5,6]",SNode,"(5,6]",165,150,315,0.52,0.48
"SN_(6,7]",SNode,"(6,7]",136,132,268,0.51,0.49
"SN_(7,13]",SNode,"(7,13]",174,199,373,0.47,0.53
"SN_[1,5]",SNode,"[1,5]",285,266,551,0.52,0.48
"SU_(4,5]",Sun,"(4,5]",177,174,351,0.5,0.5
"SU_(5,7]",Sun,"(5,7]",221,218,439,0.5,0.5
"SU_(7,14]",Sun,"(7,14]",102,101,203,0.5,0.5
"SU_[0,4]",Sun,"[0,4]",260,254,514,0.51,0.49
"UR_(4,5]",Uranus,"(4,5]",108,153,261,0.41,0.59
"UR_(5,7]",Uranus,"(5,7]",323,279,602,0.54,0.46
"UR_(7,15]",Uranus,"(7,15]",203,186,389,0.52,0.48
"UR_[0,4]",Uranus,"[0,4]",126,129,255,0.49,0.51
"VE_(4,5]",Venus,"(4,5]",144,147,291,0.49,0.51
"VE_(5,7]",Venus,"(5,7]",231,220,451,0.51,0.49
"VE_(7,14]",Venus,"(7,14]",124,135,259,0.48,0.52
"VE_[0,4]",Venus,"[0,4]",261,245,506,0.52,0.48
"VS_(4,5]",Vesta,"(4,5]",142,123,265,0.54,0.46
"VS_(5,7]",Vesta,"(5,7]",249,240,489,0.51,0.49
"VS_(7,13]",Vesta,"(7,13]",104,117,221,0.47,0.53
"VS_[0,4]",Vesta,"[0,4]",265,267,532,0.5,0.5
