PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,14,11,25,0.56,0.44
CE_Z01_2ARI,Ceres,AriesD2,17,9,26,0.65,0.35
CE_Z01_3ARI,Ceres,AriesD3,14,11,25,0.56,0.44
CE_Z02_1TAU,Ceres,TaurusD1,10,16,26,0.38,0.62
CE_Z02_2TAU,Ceres,TaurusD2,11,16,27,0.41,0.59
CE_Z02_3TAU,Ceres,TaurusD3,39,42,81,0.48,0.52
CE_Z03_1GEM,Ceres,GeminiD1,64,68,132,0.48,0.52
CE_Z03_2GEM,Ceres,GeminiD2,46,34,80,0.58,0.42
CE_Z03_3GEM,Ceres,GeminiD3,8,18,26,0.31,0.69
CE_Z04_1CAN,Ceres,CancerD1,10,14,24,0.42,0.58
CE_Z04_2CAN,Ceres,CancerD2,10,13,23,0.43,0.57
CE_Z04_3CAN,Ceres,CancerD3,16,6,22,0.73,0.27
CE_Z05_1LEO,Ceres,LeoD1,57,46,103,0.55,0.45
CE_Z05_2LEO,Ceres,LeoD2,82,62,144,0.57,0.43
CE_Z05_3LEO,Ceres,LeoD1,19,31,50,0.38,0.62
CE_Z06_1VIR,Ceres,VirgoD1,24,24,48,0.5,0.5
CE_Z06_2VIR,Ceres,VirgoD2,18,30,48,0.38,0.62
CE_Z06_3VIR,Ceres,VirgoD3,29,25,54,0.54,0.46
CE_Z07_1LIB,Ceres,LibraD1,34,26,60,0.57,0.43
CE_Z07_2LIB,Ceres,LibraD2,9,13,22,0.41,0.59
CE_Z07_3LIB,Ceres,LibraD3,12,10,22,0.55,0.45
CE_Z08_1SCO,Ceres,ScorpioD1,4,19,23,0.17,0.83
CE_Z08_2SCO,Ceres,ScorpioD2,15,10,25,0.6,0.4
CE_Z08_3SCO,Ceres,ScorpioD3,13,14,27,0.48,0.52
CE_Z09_1SAG,Ceres,SagittariusD1,75,85,160,0.47,0.53
CE_Z09_2SAG,Ceres,SagittariusD2,56,51,107,0.52,0.48
CE_Z09_3SAG,Ceres,SagittariusD3,15,13,28,0.54,0.46
CE_Z10_1CAP,Ceres,CapricornD1,10,16,26,0.38,0.62
CE_Z10_2CAP,Ceres,CapricornD2,15,10,25,0.6,0.4
CE_Z10_3CAP,Ceres,CapricornD3,16,9,25,0.64,0.36
CE_Z11_1AQU,Ceres,AquariusD1,16,10,26,0.62,0.38
CE_Z11_2AQU,Ceres,AquariusD2,11,16,27,0.41,0.59
CE_Z11_3AQU,Ceres,AquariusD3,34,39,73,0.47,0.53
CE_Z12_1PIS,Ceres,PiscesD1,74,65,139,0.53,0.47
CE_Z12_2PIS,Ceres,PiscesD2,53,42,95,0.56,0.44
CE_Z12_3PIS,Ceres,PiscesD3,21,6,27,0.78,0.22
CH_Z01_1ARI,Chiron,AriesD1,548,526,1074,0.51,0.49
CH_Z01_2ARI,Chiron,AriesD2,266,258,524,0.51,0.49
CH_Z12_3PIS,Chiron,PiscesD3,157,146,303,0.52,0.48
JN_Z01_1ARI,Juno,AriesD1,15,18,33,0.45,0.55
JN_Z01_2ARI,Juno,AriesD2,13,8,21,0.62,0.38
JN_Z01_3ARI,Juno,AriesD3,6,16,22,0.27,0.73
JN_Z02_1TAU,Juno,TaurusD1,11,12,23,0.48,0.52
JN_Z02_2TAU,Juno,TaurusD2,6,20,26,0.23,0.77
JN_Z02_3TAU,Juno,TaurusD3,70,81,151,0.46,0.54
JN_Z03_1GEM,Juno,GeminiD1,25,25,50,0.5,0.5
JN_Z03_2GEM,Juno,GeminiD2,10,12,22,0.45,0.55
JN_Z03_3GEM,Juno,GeminiD3,15,6,21,0.71,0.29
JN_Z04_1CAN,Juno,CancerD1,9,12,21,0.43,0.57
JN_Z04_2CAN,Juno,CancerD2,14,6,20,0.7,0.3
JN_Z04_3CAN,Juno,CancerD3,11,10,21,0.52,0.48
JN_Z05_1LEO,Juno,LeoD1,8,12,20,0.4,0.6
JN_Z05_2LEO,Juno,LeoD2,10,12,22,0.45,0.55
JN_Z05_3LEO,Juno,LeoD1,8,13,21,0.38,0.62
JN_Z06_1VIR,Juno,VirgoD1,9,14,23,0.39,0.61
JN_Z06_2VIR,Juno,VirgoD2,14,10,24,0.58,0.42
JN_Z06_3VIR,Juno,VirgoD3,12,14,26,0.46,0.54
JN_Z07_1LIB,Juno,LibraD1,55,54,109,0.5,0.5
JN_Z07_2LIB,Juno,LibraD2,77,56,133,0.58,0.42
JN_Z07_3LIB,Juno,LibraD3,39,40,79,0.49,0.51
JN_Z08_1SCO,Juno,ScorpioD1,13,17,30,0.43,0.57
JN_Z08_2SCO,Juno,ScorpioD2,12,17,29,0.41,0.59
JN_Z08_3SCO,Juno,ScorpioD3,17,13,30,0.57,0.43
JN_Z09_1SAG,Juno,SagittariusD1,46,37,83,0.55,0.45
JN_Z09_2SAG,Juno,SagittariusD2,75,62,137,0.55,0.45
JN_Z09_3SAG,Juno,SagittariusD3,63,48,111,0.57,0.43
JN_Z10_1CAP,Juno,CapricornD1,10,18,28,0.36,0.64
JN_Z10_2CAP,Juno,CapricornD2,21,13,34,0.62,0.38
JN_Z10_3CAP,Juno,CapricornD3,31,21,52,0.6,0.4
JN_Z11_1AQU,Juno,AquariusD1,23,28,51,0.45,0.55
JN_Z11_2AQU,Juno,AquariusD2,27,20,47,0.57,0.43
JN_Z11_3AQU,Juno,AquariusD3,25,24,49,0.51,0.49
JN_Z12_1PIS,Juno,PiscesD1,41,59,100,0.41,0.59
JN_Z12_2PIS,Juno,PiscesD2,70,75,145,0.48,0.52
JN_Z12_3PIS,Juno,PiscesD3,60,27,87,0.69,0.31
JU_Z01_1ARI,Jupiter,AriesD1,111,96,207,0.54,0.46
JU_Z08_1SCO,Jupiter,ScorpioD1,12,2,14,0.86,0.14
JU_Z08_2SCO,Jupiter,ScorpioD2,99,105,204,0.49,0.51
JU_Z08_3SCO,Jupiter,ScorpioD3,74,70,144,0.51,0.49
JU_Z09_1SAG,Jupiter,SagittariusD1,16,29,45,0.36,0.64
JU_Z09_2SAG,Jupiter,SagittariusD2,85,97,182,0.47,0.53
JU_Z09_3SAG,Jupiter,SagittariusD3,83,79,162,0.51,0.49
JU_Z10_1CAP,Jupiter,CapricornD1,26,18,44,0.59,0.41
JU_Z10_2CAP,Jupiter,CapricornD2,65,66,131,0.5,0.5
JU_Z10_3CAP,Jupiter,CapricornD3,113,95,208,0.54,0.46
JU_Z11_1AQU,Jupiter,AquariusD1,23,20,43,0.53,0.47
JU_Z11_2AQU,Jupiter,AquariusD2,29,15,44,0.66,0.34
JU_Z11_3AQU,Jupiter,AquariusD3,118,94,212,0.56,0.44
JU_Z12_1PIS,Jupiter,PiscesD1,51,70,121,0.42,0.58
JU_Z12_2PIS,Jupiter,PiscesD2,21,21,42,0.5,0.5
JU_Z12_3PIS,Jupiter,PiscesD3,45,53,98,0.46,0.54
MA_Z01_1ARI,Mars,AriesD1,25,20,45,0.56,0.44
MA_Z01_2ARI,Mars,AriesD2,53,53,106,0.5,0.5
MA_Z01_3ARI,Mars,AriesD3,64,63,127,0.5,0.5
MA_Z02_1TAU,Mars,TaurusD1,27,23,50,0.54,0.46
MA_Z02_2TAU,Mars,TaurusD2,35,13,48,0.73,0.27
MA_Z02_3TAU,Mars,TaurusD3,23,27,50,0.46,0.54
MA_Z03_1GEM,Mars,GeminiD1,50,29,79,0.63,0.37
MA_Z03_2GEM,Mars,GeminiD2,42,42,84,0.5,0.5
MA_Z03_3GEM,Mars,GeminiD3,51,40,91,0.56,0.44
MA_Z04_1CAN,Mars,CancerD1,19,12,31,0.61,0.39
MA_Z04_2CAN,Mars,CancerD2,15,18,33,0.45,0.55
MA_Z04_3CAN,Mars,CancerD3,11,20,31,0.35,0.65
MA_Z05_1LEO,Mars,LeoD1,11,21,32,0.34,0.66
MA_Z05_2LEO,Mars,LeoD2,19,13,32,0.59,0.41
MA_Z05_3LEO,Mars,LeoD1,14,18,32,0.44,0.56
MA_Z06_1VIR,Mars,VirgoD1,15,16,31,0.48,0.52
MA_Z06_2VIR,Mars,VirgoD2,18,14,32,0.56,0.44
MA_Z06_3VIR,Mars,VirgoD3,16,15,31,0.52,0.48
MA_Z07_1LIB,Mars,LibraD1,12,19,31,0.39,0.61
MA_Z07_2LIB,Mars,LibraD2,32,11,43,0.74,0.26
MA_Z07_3LIB,Mars,LibraD3,26,20,46,0.57,0.43
MA_Z08_1SCO,Mars,ScorpioD1,24,22,46,0.52,0.48
