PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,268,277,545,0.49,0.51
CE_POS,Ceres,Positive,386,381,767,0.5,0.5
CH_NEG,Chiron,Negative,211,223,434,0.49,0.51
CH_POS,Chiron,Positive,443,435,878,0.5,0.5
JN_NEG,Juno,Negative,315,336,651,0.48,0.52
JN_POS,Juno,Positive,339,322,661,0.51,0.49
JU_NEG,Jupiter,Negative,404,369,773,0.52,0.48
JU_POS,Jupiter,Positive,250,289,539,0.46,0.54
MA_NEG,Mars,Negative,266,287,553,0.48,0.52
MA_POS,Mars,Positive,388,371,759,0.51,0.49
ME_NEG,Mercury,Negative,338,326,664,0.51,0.49
ME_POS,Mercury,Positive,316,332,648,0.49,0.51
MO_NEG,Moon,Negative,332,328,660,0.5,0.5
MO_POS,Moon,Positive,322,330,652,0.49,0.51
NE_NEG,Neptune,Negative,654,658,1312,0.5,0.5
NN_NEG,NNode,Negative,288,278,566,0.51,0.49
NN_POS,NNode,Positive,366,380,746,0.49,0.51
PA_NEG,Pallas,Negative,325,354,679,0.48,0.52
PA_POS,Pallas,Positive,329,304,633,0.52,0.48
PH_NEG,Pholus,Negative,448,399,847,0.53,0.47
PH_POS,Pholus,Positive,206,259,465,0.44,0.56
PL_NEG,Pluto,Negative,654,658,1312,0.5,0.5
SA_NEG,Saturn,Negative,482,507,989,0.49,0.51
SA_POS,Saturn,Positive,172,151,323,0.53,0.47
SN_NEG,SNode,Negative,288,278,566,0.51,0.49
SN_POS,SNode,Positive,366,380,746,0.49,0.51
SU_NEG,Sun,Negative,320,339,659,0.49,0.51
SU_POS,Sun,Positive,334,319,653,0.51,0.49
UR_NEG,Uranus,Negative,440,436,876,0.5,0.5
UR_POS,Uranus,Positive,214,222,436,0.49,0.51
VE_NEG,Venus,Negative,312,304,616,0.51,0.49
VE_POS,Venus,Positive,342,354,696,0.49,0.51
VS_NEG,Vesta,Negative,409,385,794,0.52,0.48
VS_POS,Vesta,Positive,245,273,518,0.47,0.53
