PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_1-3,Ceres,1-3,482,476,958,0.5,0.5
CE_4-6,Ceres,4-6,153,154,307,0.5,0.5
CE_7-9,Ceres,7-9,0,1,1,0,1
CE_None,Ceres,None,19,27,46,0.41,0.59
CH_1-3,Chiron,1-3,200,222,422,0.47,0.53
CH_10-12,Chiron,10-12,2,0,2,1,0
CH_4-6,Chiron,4-6,372,377,749,0.5,0.5
CH_7-9,Chiron,7-9,78,55,133,0.59,0.41
CH_None,Chiron,None,2,4,6,0.33,0.67
JN_1-3,Juno,1-3,521,525,1046,0.5,0.5
JN_4-6,Juno,4-6,109,107,216,0.5,0.5
JN_7-9,Juno,7-9,0,2,2,0,1
JN_None,Juno,None,24,24,48,0.5,0.5
JU_1-3,Jupiter,1-3,425,426,851,0.5,0.5
JU_4-6,Jupiter,4-6,218,213,431,0.51,0.49
JU_7-9,Jupiter,7-9,3,9,12,0.25,0.75
JU_None,Jupiter,None,8,10,18,0.44,0.56
MA_1-3,Mars,1-3,552,564,1116,0.49,0.51
MA_4-6,Mars,4-6,30,20,50,0.6,0.4
MA_None,Mars,None,72,74,146,0.49,0.51
ME_1-3,Mercury,1-3,481,470,951,0.51,0.49
ME_None,Mercury,None,173,188,361,0.48,0.52
NE_1-3,Neptune,1-3,141,143,284,0.5,0.5
NE_10-12,Neptune,10-12,14,11,25,0.56,0.44
NE_4-6,Neptune,4-6,329,355,684,0.48,0.52
NE_7-9,Neptune,7-9,169,148,317,0.53,0.47
NE_None,Neptune,None,1,1,2,0.5,0.5
NN_1-3,NNode,1-3,359,366,725,0.5,0.5
NN_4-6,NNode,4-6,280,271,551,0.51,0.49
NN_7-9,NNode,7-9,9,13,22,0.41,0.59
NN_None,NNode,None,6,8,14,0.43,0.57
PA_1-3,Pallas,1-3,418,401,819,0.51,0.49
PA_4-6,Pallas,4-6,221,238,459,0.48,0.52
PA_7-9,Pallas,7-9,5,3,8,0.62,0.38
PA_None,Pallas,None,10,16,26,0.38,0.62
PH_1-3,Pholus,1-3,194,193,387,0.5,0.5
PH_10-12,Pholus,10-12,13,10,23,0.57,0.43
PH_4-6,Pholus,4-6,330,341,671,0.49,0.51
PH_7-9,Pholus,7-9,114,106,220,0.52,0.48
PH_None,Pholus,None,3,8,11,0.27,0.73
PL_1-3,Pluto,1-3,164,175,339,0.48,0.52
PL_10-12,Pluto,10-12,2,4,6,0.33,0.67
PL_4-6,Pluto,4-6,392,363,755,0.52,0.48
PL_7-9,Pluto,7-9,95,114,209,0.45,0.55
PL_None,Pluto,None,1,2,3,0.33,0.67
SA_1-3,Saturn,1-3,198,204,402,0.49,0.51
SA_10-12,Saturn,10-12,1,1,2,0.5,0.5
SA_4-6,Saturn,4-6,354,351,705,0.5,0.5
SA_7-9,Saturn,7-9,95,98,193,0.49,0.51
SA_None,Saturn,None,6,4,10,0.6,0.4
SN_1-3,SNode,1-3,179,195,374,0.48,0.52
SN_4-6,SNode,4-6,428,408,836,0.51,0.49
SN_7-9,SNode,7-9,47,55,102,0.46,0.54
SU_1-3,Sun,1-3,552,545,1097,0.5,0.5
SU_4-6,Sun,4-6,3,4,7,0.43,0.57
SU_None,Sun,None,99,109,208,0.48,0.52
UR_1-3,Uranus,1-3,117,142,259,0.45,0.55
UR_10-12,Uranus,10-12,4,0,4,1,0
UR_4-6,Uranus,4-6,397,400,797,0.5,0.5
UR_7-9,Uranus,7-9,136,116,252,0.54,0.46
VE_1-3,Venus,1-3,507,531,1038,0.49,0.51
VE_None,Venus,None,147,127,274,0.54,0.46
VS_1-3,Vesta,1-3,556,562,1118,0.5,0.5
VS_4-6,Vesta,4-6,55,58,113,0.49,0.51
VS_None,Vesta,None,43,38,81,0.53,0.47
