PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_NE_a103,1,28,-0.018,0.038,-0.007,-0.014,0.032,-0.136,0.033,0.169,-1.228,1.521,0.007
CE_NN_a60,1,5,0.011,0.029,0,0.011,0.023,-0.016,0.054,0.07,0.414,-1.866,0.013
CE_PH_a180,1,3,-0.034,0.094,-0.016,-0.034,0.099,-0.136,0.051,0.186,-0.181,-2.333,0.055
CE_SN_a120,1,5,0.011,0.029,0,0.011,0.023,-0.016,0.054,0.07,0.414,-1.866,0.013
CE_UR_a60,1,39,-0.002,0.042,0.005,0.004,0.022,-0.149,0.051,0.2,-1.933,4.329,0.007
CH_UR_a30,1,634,0.002,0.058,0.001,0.002,0.033,-0.229,0.269,0.498,0.442,4.382,0.002
JU_NE_a150,1,12,-0.072,0.095,-0.106,-0.078,0.076,-0.185,0.099,0.284,0.497,-1.405,0.028
ME_NN_a30,1,9,-0.021,0.017,-0.031,-0.021,0.019,-0.044,0.006,0.05,0.337,-1.594,0.006
ME_SN_a150,1,9,-0.021,0.017,-0.031,-0.021,0.019,-0.044,0.006,0.05,0.337,-1.594,0.006
NN_PH_a120,1,2,-0.076,0.085,-0.076,-0.076,0.089,-0.136,-0.016,0.12,0,-2.75,0.06
NN_SN_a180,1,1315,0.001,0.052,0,0,0.029,-0.229,0.311,0.539,0.695,5.599,0.001
PA_PL_a103,1,43,0.004,0.067,-0.005,-0.001,0.044,-0.122,0.256,0.378,1.242,3.445,0.01
SN_PH_a60,1,2,-0.076,0.085,-0.076,-0.076,0.089,-0.136,-0.016,0.12,0,-2.75,0.06
SU_CH_a103,1,19,-0.014,0.071,-0.014,-0.019,0.036,-0.142,0.192,0.334,0.719,1.718,0.016
UR_PH_a120,1,233,-0.004,0.052,0,-0.003,0.03,-0.229,0.311,0.539,0.323,7.45,0.003
VE_CH_a60,1,23,0.013,0.066,0,0,0.025,-0.053,0.217,0.27,1.987,3.333,0.014
VE_JU_a135,1,21,0.009,0.031,0.011,0.01,0.033,-0.058,0.062,0.12,-0.297,-0.665,0.007
VS_PL_a144,1,13,-0.015,0.045,-0.006,-0.01,0.015,-0.136,0.051,0.186,-1.36,1.584,0.012
VS_SA_a120,1,20,0.001,0.044,-0.01,0,0.027,-0.085,0.103,0.189,0.421,-0.236,0.01
ME_CE_a30,1,31,-0.009,0.052,-0.004,-0.004,0.037,-0.136,0.07,0.206,-0.873,0.093,0.009
MO_SA_a36,1,74,-0.004,0.042,0.002,-0.002,0.032,-0.162,0.084,0.245,-0.85,1.887,0.005
