MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,33,49,82,0.4,0.6
F_Z02_TAU,Full,Taurus,22,37,59,0.37,0.63
F_Z03_GEM,Full,Gemini,43,53,96,0.45,0.55
F_Z04_CAN,Full,Cancer,31,26,57,0.54,0.46
F_Z05_LEO,Full,Leo,43,45,88,0.49,0.51
F_Z06_VIR,Full,Virgo,26,35,61,0.43,0.57
F_Z07_LIB,Full,Libra,55,35,90,0.61,0.39
F_Z08_SCO,Full,Scorpio,40,21,61,0.66,0.34
F_Z09_SAG,Full,Sagittarius,51,55,106,0.48,0.52
F_Z10_CAP,Full,Capricorn,30,30,60,0.5,0.5
F_Z11_AQU,Full,Aquarius,57,53,110,0.52,0.48
F_Z12_PIS,Full,Pisces,29,43,72,0.4,0.6
N_Z01_ARI,New,Aries,33,25,58,0.57,0.43
N_Z02_TAU,New,Taurus,63,50,113,0.56,0.44
N_Z03_GEM,New,Gemini,23,20,43,0.53,0.47
N_Z04_CAN,New,Cancer,40,46,86,0.47,0.53
N_Z05_LEO,New,Leo,44,46,90,0.49,0.51
N_Z06_VIR,New,Virgo,43,45,88,0.49,0.51
N_Z07_LIB,New,Libra,39,53,92,0.42,0.58
N_Z08_SCO,New,Scorpio,38,38,76,0.5,0.5
N_Z09_SAG,New,Sagittarius,40,36,76,0.53,0.47
N_Z10_CAP,New,Capricorn,33,43,76,0.43,0.57
N_Z11_AQU,New,Aquarius,43,32,75,0.57,0.43
N_Z12_PIS,New,Pisces,37,35,72,0.51,0.49
