PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",189,163,352,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,698,740,1438,0.49,0.51
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",280,271,551,0.51,0.49
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",71,66,137,0.52,0.48
CE_a103_0,Ceres,BiSeptile,0,536,566,1102,0.49,0.51
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",261,262,523,0.5,0.5
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",75,68,143,0.52,0.48
CE_a120_0,Ceres,Trine,0,551,573,1124,0.49,0.51
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",255,250,505,0.5,0.5
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",56,89,145,0.39,0.61
CE_a135_0,Ceres,SesquiSquare,0,576,564,1140,0.51,0.49
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",221,242,463,0.48,0.52
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",88,87,175,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,578,574,1152,0.5,0.5
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",253,262,515,0.49,0.51
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",48,36,84,0.57,0.43
CE_a150_0,Ceres,Quincunx,0,586,605,1191,0.49,0.51
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",171,166,337,0.51,0.49
CE_a180_0,Ceres,Opposition,0,716,737,1453,0.49,0.51
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",282,307,589,0.48,0.52
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",81,80,161,0.5,0.5
CE_a30_0,Ceres,SemiSextile,0,524,516,1040,0.5,0.5
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",276,266,542,0.51,0.49
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",144,136,280,0.51,0.49
CE_a36_0,Ceres,SemiQuintile,0,467,501,968,0.48,0.52
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",305,268,573,0.53,0.47
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",131,137,268,0.49,0.51
CE_a45_0,Ceres,SemiSquare,0,451,498,949,0.48,0.52
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",284,264,548,0.52,0.48
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",77,51,128,0.6,0.4
CE_a60_0,Ceres,Sextile,0,526,588,1114,0.47,0.53
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",274,280,554,0.49,0.51
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",23,46,69,0.33,0.67
CE_a72_0,Ceres,Quintile,0,590,577,1167,0.51,0.49
"CE_a90_(0,1]",Ceres,Square,"(0,1]",220,213,433,0.51,0.49
"CE_a90_(1,5]",Ceres,Square,"(1,5]",33,48,81,0.41,0.59
CE_a90_0,Ceres,Square,0,634,642,1276,0.5,0.5
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",100,94,194,0.52,0.48
CH_a0_0,Chiron,Conjunction,0,787,809,1596,0.49,0.51
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",215,242,457,0.47,0.53
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",70,61,131,0.53,0.47
CH_a103_0,Chiron,BiSeptile,0,602,600,1202,0.5,0.5
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",214,224,438,0.49,0.51
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",29,42,71,0.41,0.59
CH_a120_0,Chiron,Trine,0,644,637,1281,0.5,0.5
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",192,210,402,0.48,0.52
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",30,47,77,0.39,0.61
CH_a135_0,Chiron,SesquiSquare,0,665,646,1311,0.51,0.49
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",137,184,321,0.43,0.57
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",61,47,108,0.56,0.44
