PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,13,12,25,0.52,0.48
CE_Z01_2ARI,Ceres,AriesD2,18,8,26,0.69,0.31
CE_Z01_3ARI,Ceres,AriesD3,18,7,25,0.72,0.28
CE_Z02_1TAU,Ceres,TaurusD1,10,16,26,0.38,0.62
CE_Z02_2TAU,Ceres,TaurusD2,12,15,27,0.44,0.56
CE_Z02_3TAU,Ceres,TaurusD3,42,39,81,0.52,0.48
CE_Z03_1GEM,Ceres,GeminiD1,63,69,132,0.48,0.52
CE_Z03_2GEM,Ceres,GeminiD2,35,45,80,0.44,0.56
CE_Z03_3GEM,Ceres,GeminiD3,7,19,26,0.27,0.73
CE_Z04_1CAN,Ceres,CancerD1,11,13,24,0.46,0.54
CE_Z04_2CAN,Ceres,CancerD2,7,16,23,0.3,0.7
CE_Z04_3CAN,Ceres,CancerD3,14,8,22,0.64,0.36
CE_Z05_1LEO,Ceres,LeoD1,43,60,103,0.42,0.58
CE_Z05_2LEO,Ceres,LeoD2,77,67,144,0.53,0.47
CE_Z05_3LEO,Ceres,LeoD1,24,26,50,0.48,0.52
CE_Z06_1VIR,Ceres,VirgoD1,24,24,48,0.5,0.5
CE_Z06_2VIR,Ceres,VirgoD2,20,28,48,0.42,0.58
CE_Z06_3VIR,Ceres,VirgoD3,24,30,54,0.44,0.56
CE_Z07_1LIB,Ceres,LibraD1,36,24,60,0.6,0.4
CE_Z07_2LIB,Ceres,LibraD2,8,14,22,0.36,0.64
CE_Z07_3LIB,Ceres,LibraD3,10,12,22,0.45,0.55
CE_Z08_1SCO,Ceres,ScorpioD1,4,19,23,0.17,0.83
CE_Z08_2SCO,Ceres,ScorpioD2,14,11,25,0.56,0.44
CE_Z08_3SCO,Ceres,ScorpioD3,11,16,27,0.41,0.59
CE_Z09_1SAG,Ceres,SagittariusD1,83,77,160,0.52,0.48
CE_Z09_2SAG,Ceres,SagittariusD2,55,52,107,0.51,0.49
CE_Z09_3SAG,Ceres,SagittariusD3,13,15,28,0.46,0.54
CE_Z10_1CAP,Ceres,CapricornD1,11,15,26,0.42,0.58
CE_Z10_2CAP,Ceres,CapricornD2,15,10,25,0.6,0.4
CE_Z10_3CAP,Ceres,CapricornD3,17,8,25,0.68,0.32
CE_Z11_1AQU,Ceres,AquariusD1,13,13,26,0.5,0.5
CE_Z11_2AQU,Ceres,AquariusD2,10,17,27,0.37,0.63
CE_Z11_3AQU,Ceres,AquariusD3,33,40,73,0.45,0.55
CE_Z12_1PIS,Ceres,PiscesD1,78,61,139,0.56,0.44
CE_Z12_2PIS,Ceres,PiscesD2,45,50,95,0.47,0.53
CE_Z12_3PIS,Ceres,PiscesD3,16,11,27,0.59,0.41
CH_Z01_1ARI,Chiron,AriesD1,561,513,1074,0.52,0.48
CH_Z01_2ARI,Chiron,AriesD2,238,286,524,0.45,0.55
CH_Z12_3PIS,Chiron,PiscesD3,135,168,303,0.45,0.55
JN_Z01_1ARI,Juno,AriesD1,17,16,33,0.52,0.48
JN_Z01_2ARI,Juno,AriesD2,10,11,21,0.48,0.52
JN_Z01_3ARI,Juno,AriesD3,13,9,22,0.59,0.41
JN_Z02_1TAU,Juno,TaurusD1,14,9,23,0.61,0.39
