PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",223,239,462,0.48,0.52
CE_3,Ceres,3,284,258,542,0.52,0.48
"CE_[0,2]",Ceres,"[0,2]",414,431,845,0.49,0.51
"CH_(3,4]",Chiron,"(3,4]",221,234,455,0.49,0.51
"CH_(4,5]",Chiron,"(4,5]",203,193,396,0.51,0.49
"CH_(5,11]",Chiron,"(5,11]",214,201,415,0.52,0.48
"CH_[0,3]",Chiron,"[0,3]",283,300,583,0.49,0.51
"JN_(1,2]",Juno,"(1,2]",317,306,623,0.51,0.49
"JN_(2,3]",Juno,"(2,3]",259,255,514,0.5,0.5
"JN_(3,7]",Juno,"(3,7]",137,142,279,0.49,0.51
"JN_[0,1]",Juno,"[0,1]",208,225,433,0.48,0.52
"JU_(2,3]",Jupiter,"(2,3]",255,293,548,0.47,0.53
"JU_(3,4]",Jupiter,"(3,4]",203,193,396,0.51,0.49
"JU_(4,8]",Jupiter,"(4,8]",104,116,220,0.47,0.53
"JU_[0,2]",Jupiter,"[0,2]",359,326,685,0.52,0.48
"MA_(2,5]",Mars,"(2,5]",200,179,379,0.53,0.47
MA_2,Mars,2,316,337,653,0.48,0.52
"MA_[0,1]",Mars,"[0,1]",405,412,817,0.5,0.5
"ME_(1,3]",Mercury,"(1,3]",104,111,215,0.48,0.52
ME_0,Mercury,0,265,243,508,0.52,0.48
ME_1,Mercury,1,552,574,1126,0.49,0.51
"NE_(4,5]",Neptune,"(4,5]",192,172,364,0.53,0.47
"NE_(5,6]",Neptune,"(5,6]",147,141,288,0.51,0.49
"NE_(6,13]",Neptune,"(6,13]",197,218,415,0.47,0.53
"NE_[0,4]",Neptune,"[0,4]",385,397,782,0.49,0.51
"NN_(2,3]",NNode,"(2,3]",243,259,502,0.48,0.52
"NN_(3,4]",NNode,"(3,4]",199,212,411,0.48,0.52
"NN_(4,9]",NNode,"(4,9]",209,209,418,0.5,0.5
"NN_[0,2]",NNode,"[0,2]",270,248,518,0.52,0.48
"PA_(2,3]",Pallas,"(2,3]",263,267,530,0.5,0.5
"PA_(3,4]",Pallas,"(3,4]",199,203,402,0.5,0.5
"PA_(4,8]",Pallas,"(4,8]",118,111,229,0.52,0.48
"PA_[0,2]",Pallas,"[0,2]",341,347,688,0.5,0.5
"PH_(3,5]",Pholus,"(3,5]",343,328,671,0.51,0.49
"PH_(5,6]",Pholus,"(5,6]",129,144,273,0.47,0.53
"PH_(6,13]",Pholus,"(6,13]",176,161,337,0.52,0.48
"PH_[0,3]",Pholus,"[0,3]",273,295,568,0.48,0.52
"PL_(4,5]",Pluto,"(4,5]",206,176,382,0.54,0.46
"PL_(5,6]",Pluto,"(5,6]",135,164,299,0.45,0.55
"PL_(6,14]",Pluto,"(6,14]",178,152,330,0.54,0.46
"PL_[0,4]",Pluto,"[0,4]",402,436,838,0.48,0.52
"SA_(3,4]",Saturn,"(3,4]",185,198,383,0.48,0.52
"SA_(4,5]",Saturn,"(4,5]",196,163,359,0.55,0.45
"SA_(5,11]",Saturn,"(5,11]",226,249,475,0.48,0.52
"SA_[0,3]",Saturn,"[0,3]",314,318,632,0.5,0.5
"SN_(3,4]",SNode,"(3,4]",237,258,495,0.48,0.52
"SN_(4,5]",SNode,"(4,5]",208,209,417,0.5,0.5
"SN_(5,10]",SNode,"(5,10]",201,199,400,0.5,0.5
"SN_[1,3]",SNode,"[1,3]",275,262,537,0.51,0.49
"SU_(1,2]",Sun,"(1,2]",330,276,606,0.54,0.46
"SU_(2,4]",Sun,"(2,4]",46,73,119,0.39,0.61
SU_1,Sun,1,407,428,835,0.49,0.51
"SU_[0,1)",Sun,"[0,1)",138,151,289,0.48,0.52
"UR_(3,5]",Uranus,"(3,5]",347,376,723,0.48,0.52
"UR_(5,6]",Uranus,"(5,6]",173,163,336,0.51,0.49
"UR_(6,13]",Uranus,"(6,13]",232,210,442,0.52,0.48
"UR_[0,3]",Uranus,"[0,3]",169,179,348,0.49,0.51
"VE_(1,2]",Venus,"(1,2]",228,249,477,0.48,0.52
"VE_(2,3]",Venus,"(2,3]",35,26,61,0.57,0.43
VE_1,Venus,1,451,477,928,0.49,0.51
"VE_[0,1)",Venus,"[0,1)",207,176,383,0.54,0.46
"VS_(1,2]",Vesta,"(1,2]",326,341,667,0.49,0.51
"VS_(2,3]",Vesta,"(2,3]",206,208,414,0.5,0.5
"VS_(3,6]",Vesta,"(3,6]",86,86,172,0.5,0.5
"VS_[0,1]",Vesta,"[0,1]",303,293,596,0.51,0.49
