PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",223,196,419,0.53,0.47
CE_a0_0,Ceres,Conjunction,0,901,822,1723,0.52,0.48
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",376,335,711,0.53,0.47
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",81,77,158,0.51,0.49
CE_a103_0,Ceres,BiSeptile,0,667,606,1273,0.52,0.48
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",315,321,636,0.5,0.5
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",72,75,147,0.49,0.51
CE_a120_0,Ceres,Trine,0,737,622,1359,0.54,0.46
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",326,307,633,0.52,0.48
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",73,93,166,0.44,0.56
CE_a135_0,Ceres,SesquiSquare,0,725,618,1343,0.54,0.46
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",265,262,527,0.5,0.5
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",113,92,205,0.55,0.45
CE_a144_0,Ceres,BiQuintile,0,746,664,1410,0.53,0.47
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",317,286,603,0.53,0.47
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",64,31,95,0.67,0.33
CE_a150_0,Ceres,Quincunx,0,743,701,1444,0.51,0.49
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",193,191,384,0.5,0.5
CE_a180_0,Ceres,Opposition,0,931,827,1758,0.53,0.47
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",371,349,720,0.52,0.48
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",133,104,237,0.56,0.44
CE_a30_0,Ceres,SemiSextile,0,620,565,1185,0.52,0.48
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",371,327,698,0.53,0.47
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",187,143,330,0.57,0.43
CE_a36_0,Ceres,SemiQuintile,0,566,548,1114,0.51,0.49
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",417,365,782,0.53,0.47
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",173,145,318,0.54,0.46
CE_a45_0,Ceres,SemiSquare,0,534,508,1042,0.51,0.49
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",363,268,631,0.58,0.42
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",88,76,164,0.54,0.46
CE_a60_0,Ceres,Sextile,0,673,674,1347,0.5,0.5
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",356,276,632,0.56,0.44
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",37,49,86,0.43,0.57
CE_a72_0,Ceres,Quintile,0,731,693,1424,0.51,0.49
"CE_a90_(0,1]",Ceres,Square,"(0,1]",267,244,511,0.52,0.48
"CE_a90_(1,5]",Ceres,Square,"(1,5]",37,47,84,0.44,0.56
CE_a90_0,Ceres,Square,0,820,727,1547,0.53,0.47
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",127,114,241,0.53,0.47
CH_a0_0,Chiron,Conjunction,0,997,904,1901,0.52,0.48
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",297,289,586,0.51,0.49
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",81,68,149,0.54,0.46
CH_a103_0,Chiron,BiSeptile,0,746,661,1407,0.53,0.47
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",267,239,506,0.53,0.47
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",32,53,85,0.38,0.62
CH_a120_0,Chiron,Trine,0,825,726,1551,0.53,0.47
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",241,237,478,0.5,0.5
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",34,48,82,0.41,0.59
CH_a135_0,Chiron,SesquiSquare,0,849,733,1582,0.54,0.46
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",223,219,442,0.5,0.5
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",72,52,124,0.58,0.42
CH_a144_0,Chiron,BiQuintile,0,829,747,1576,0.53,0.47
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",269,272,541,0.5,0.5
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",36,35,71,0.51,0.49
CH_a150_0,Chiron,Quincunx,0,819,711,1530,0.54,0.46
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",180,150,330,0.55,0.45
CH_a180_0,Chiron,Opposition,0,944,868,1812,0.52,0.48
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",337,243,580,0.58,0.42
CH_a30_0,Chiron,SemiSextile,0,102,104,206,0.5,0.5
CH_a30_1,Chiron,SemiSextile,1,685,671,1356,0.51,0.49
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",314,271,585,0.54,0.46
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",59,33,92,0.64,0.36
CH_a36_0,Chiron,SemiQuintile,0,751,714,1465,0.51,0.49
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",275,248,523,0.53,0.47
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",31,27,58,0.53,0.47
CH_a45_0,Chiron,SemiSquare,0,818,743,1561,0.52,0.48
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",279,258,537,0.52,0.48
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",66,64,130,0.51,0.49
CH_a60_0,Chiron,Sextile,0,779,696,1475,0.53,0.47
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",445,411,856,0.52,0.48
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",225,150,375,0.6,0.4
CH_a72_0,Chiron,Quintile,0,454,457,911,0.5,0.5
"CH_a90_(0,1]",Chiron,Square,"(0,1]",452,399,851,0.53,0.47
"CH_a90_(1,5]",Chiron,Square,"(1,5]",154,155,309,0.5,0.5
CH_a90_0,Chiron,Square,0,518,464,982,0.53,0.47
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",193,156,349,0.55,0.45
JN_a0_0,Juno,Conjunction,0,931,862,1793,0.52,0.48
