PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",234,189,423,0.55,0.45
CE_3,Ceres,3,293,260,553,0.53,0.47
"CE_[0,2]",Ceres,"[0,2]",475,450,925,0.51,0.49
"CH_(3,4]",Chiron,"(3,4]",240,208,448,0.54,0.46
"CH_(4,5]",Chiron,"(4,5]",203,176,379,0.54,0.46
"CH_(5,11]",Chiron,"(5,11]",240,215,455,0.53,0.47
"CH_[0,3]",Chiron,"[0,3]",319,300,619,0.52,0.48
"JN_(1,2]",Juno,"(1,2]",331,298,629,0.53,0.47
"JN_(2,3]",Juno,"(2,3]",251,235,486,0.52,0.48
"JN_(3,7]",Juno,"(3,7]",157,124,281,0.56,0.44
"JN_[0,1]",Juno,"[0,1]",263,242,505,0.52,0.48
"JU_(2,3]",Jupiter,"(2,3]",283,258,541,0.52,0.48
"JU_(3,4]",Jupiter,"(3,4]",225,188,413,0.54,0.46
"JU_(4,8]",Jupiter,"(4,8]",107,124,231,0.46,0.54
"JU_[0,2]",Jupiter,"[0,2]",387,329,716,0.54,0.46
"MA_(2,5]",Mars,"(2,5]",216,181,397,0.54,0.46
MA_2,Mars,2,323,354,677,0.48,0.52
"MA_[0,1]",Mars,"[0,1]",463,364,827,0.56,0.44
"ME_(1,3]",Mercury,"(1,3]",119,106,225,0.53,0.47
ME_0,Mercury,0,276,246,522,0.53,0.47
ME_1,Mercury,1,607,547,1154,0.53,0.47
"NE_(4,5]",Neptune,"(4,5]",172,158,330,0.52,0.48
"NE_(5,6]",Neptune,"(5,6]",152,115,267,0.57,0.43
"NE_(6,13]",Neptune,"(6,13]",218,183,401,0.54,0.46
"NE_[0,4]",Neptune,"[0,4]",460,443,903,0.51,0.49
"NN_(2,3]",NNode,"(2,3]",291,239,530,0.55,0.45
"NN_(3,4]",NNode,"(3,4]",233,207,440,0.53,0.47
"NN_(4,9]",NNode,"(4,9]",223,212,435,0.51,0.49
"NN_[0,2]",NNode,"[0,2]",255,241,496,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",291,257,548,0.53,0.47
"PA_(3,4]",Pallas,"(3,4]",202,206,408,0.5,0.5
"PA_(4,8]",Pallas,"(4,8]",123,115,238,0.52,0.48
"PA_[0,2]",Pallas,"[0,2]",386,321,707,0.55,0.45
"PH_(3,5]",Pholus,"(3,5]",398,317,715,0.56,0.44
"PH_(5,6]",Pholus,"(5,6]",135,143,278,0.49,0.51
"PH_(6,13]",Pholus,"(6,13]",162,167,329,0.49,0.51
"PH_[0,3]",Pholus,"[0,3]",307,272,579,0.53,0.47
"PL_(4,5]",Pluto,"(4,5]",203,186,389,0.52,0.48
"PL_(5,6]",Pluto,"(5,6]",184,145,329,0.56,0.44
"PL_(6,14]",Pluto,"(6,14]",185,161,346,0.53,0.47
"PL_[0,4]",Pluto,"[0,4]",430,407,837,0.51,0.49
"SA_(3,4]",Saturn,"(3,4]",204,202,406,0.5,0.5
"SA_(4,5]",Saturn,"(4,5]",214,170,384,0.56,0.44
"SA_(5,11]",Saturn,"(5,11]",225,212,437,0.51,0.49
"SA_[0,3]",Saturn,"[0,3]",359,315,674,0.53,0.47
"SN_(3,4]",SNode,"(3,4]",282,233,515,0.55,0.45
"SN_(4,5]",SNode,"(4,5]",213,200,413,0.52,0.48
"SN_(5,10]",SNode,"(5,10]",226,207,433,0.52,0.48
"SN_[1,3]",SNode,"[1,3]",281,259,540,0.52,0.48
"SU_(1,2]",Sun,"(1,2]",323,284,607,0.53,0.47
"SU_(2,4]",Sun,"(2,4]",56,63,119,0.47,0.53
SU_1,Sun,1,477,400,877,0.54,0.46
"SU_[0,1)",Sun,"[0,1)",146,152,298,0.49,0.51
"UR_(3,5]",Uranus,"(3,5]",384,378,762,0.5,0.5
"UR_(5,6]",Uranus,"(5,6]",173,151,324,0.53,0.47
"UR_(6,13]",Uranus,"(6,13]",220,173,393,0.56,0.44
"UR_[0,3]",Uranus,"[0,3]",225,197,422,0.53,0.47
"VE_(1,2]",Venus,"(1,2]",223,233,456,0.49,0.51
"VE_(2,3]",Venus,"(2,3]",38,28,66,0.58,0.42
VE_1,Venus,1,508,464,972,0.52,0.48
"VE_[0,1)",Venus,"[0,1)",233,174,407,0.57,0.43
"VS_(1,2]",Vesta,"(1,2]",351,338,689,0.51,0.49
"VS_(2,3]",Vesta,"(2,3]",242,203,445,0.54,0.46
"VS_(3,6]",Vesta,"(3,6]",90,75,165,0.55,0.45
"VS_[0,1]",Vesta,"[0,1]",319,283,602,0.53,0.47
