PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,13,12,25,0.52,0.48
CE_CH_a103,Ceres,Chiron,BiSeptile,12,9,21,0.57,0.43
CE_CH_a120,Ceres,Chiron,Trine,25,32,57,0.44,0.56
CE_CH_a135,Ceres,Chiron,SesquiSquare,21,32,53,0.4,0.6
CE_CH_a144,Ceres,Chiron,BiQuintile,35,28,63,0.56,0.44
CE_CH_a150,Ceres,Chiron,Quincunx,12,8,20,0.6,0.4
CE_CH_a180,Ceres,Chiron,Opposition,0,8,8,0,1
CE_CH_a30,Ceres,Chiron,SemiSextile,77,79,156,0.49,0.51
CE_CH_a36,Ceres,Chiron,SemiQuintile,91,84,175,0.52,0.48
CE_CH_a45,Ceres,Chiron,SemiSquare,34,23,57,0.6,0.4
CE_CH_a60,Ceres,Chiron,Sextile,53,41,94,0.56,0.44
CE_CH_a72,Ceres,Chiron,Quintile,14,8,22,0.64,0.36
CE_CH_a90,Ceres,Chiron,Square,4,17,21,0.19,0.81
CE_JU_a0,Ceres,Jupiter,Conjunction,12,12,24,0.5,0.5
CE_JU_a103,Ceres,Jupiter,BiSeptile,42,24,66,0.64,0.36
CE_JU_a120,Ceres,Jupiter,Trine,6,4,10,0.6,0.4
CE_JU_a135,Ceres,Jupiter,SesquiSquare,38,38,76,0.5,0.5
CE_JU_a144,Ceres,Jupiter,BiQuintile,36,35,71,0.51,0.49
CE_JU_a150,Ceres,Jupiter,Quincunx,27,19,46,0.59,0.41
CE_JU_a180,Ceres,Jupiter,Opposition,17,15,32,0.53,0.47
CE_JU_a30,Ceres,Jupiter,SemiSextile,17,19,36,0.47,0.53
CE_JU_a36,Ceres,Jupiter,SemiQuintile,43,33,76,0.57,0.43
CE_JU_a45,Ceres,Jupiter,SemiSquare,39,42,81,0.48,0.52
CE_JU_a60,Ceres,Jupiter,Sextile,16,10,26,0.62,0.38
CE_JU_a72,Ceres,Jupiter,Quintile,9,13,22,0.41,0.59
CE_JU_a90,Ceres,Jupiter,Square,34,20,54,0.63,0.37
CE_NE_a0,Ceres,Neptune,Conjunction,15,9,24,0.62,0.38
CE_NE_a103,Ceres,Neptune,BiSeptile,27,34,61,0.44,0.56
CE_NE_a120,Ceres,Neptune,Trine,11,9,20,0.55,0.45
CE_NE_a135,Ceres,Neptune,SesquiSquare,8,12,20,0.4,0.6
CE_NE_a144,Ceres,Neptune,BiQuintile,36,24,60,0.6,0.4
CE_NE_a150,Ceres,Neptune,Quincunx,27,27,54,0.5,0.5
CE_NE_a180,Ceres,Neptune,Opposition,1,8,9,0.11,0.89
CE_NE_a30,Ceres,Neptune,SemiSextile,26,24,50,0.52,0.48
CE_NE_a36,Ceres,Neptune,SemiQuintile,36,17,53,0.68,0.32
CE_NE_a45,Ceres,Neptune,SemiSquare,45,42,87,0.52,0.48
CE_NE_a60,Ceres,Neptune,Sextile,20,16,36,0.56,0.44
CE_NE_a72,Ceres,Neptune,Quintile,18,18,36,0.5,0.5
CE_NE_a90,Ceres,Neptune,Square,12,10,22,0.55,0.45
CE_NN_a0,Ceres,NNode,Conjunction,52,34,86,0.6,0.4
CE_NN_a103,Ceres,NNode,BiSeptile,14,17,31,0.45,0.55
CE_NN_a120,Ceres,NNode,Trine,26,25,51,0.51,0.49
CE_NN_a135,Ceres,NNode,SesquiSquare,94,100,194,0.48,0.52
CE_NN_a144,Ceres,NNode,BiQuintile,33,26,59,0.56,0.44
CE_NN_a150,Ceres,NNode,Quincunx,26,15,41,0.63,0.37
CE_NN_a180,Ceres,NNode,Opposition,8,11,19,0.42,0.58
CE_NN_a30,Ceres,NNode,SemiSextile,15,13,28,0.54,0.46
CE_NN_a36,Ceres,NNode,SemiQuintile,13,15,28,0.46,0.54
CE_NN_a45,Ceres,NNode,SemiSquare,21,6,27,0.78,0.22
CE_NN_a60,Ceres,NNode,Sextile,15,11,26,0.58,0.42
CE_NN_a72,Ceres,NNode,Quintile,16,10,26,0.62,0.38
CE_NN_a90,Ceres,NNode,Square,17,11,28,0.61,0.39
CE_PA_a103,Ceres,Pallas,BiSeptile,11,5,16,0.69,0.31
CE_PA_a30,Ceres,Pallas,SemiSextile,146,129,275,0.53,0.47
CE_PA_a36,Ceres,Pallas,SemiQuintile,151,125,276,0.55,0.45
CE_PA_a45,Ceres,Pallas,SemiSquare,56,68,124,0.45,0.55
CE_PA_a60,Ceres,Pallas,Sextile,56,40,96,0.58,0.42
CE_PA_a72,Ceres,Pallas,Quintile,38,40,78,0.49,0.51
CE_PA_a90,Ceres,Pallas,Square,36,27,63,0.57,0.43
CE_PH_a0,Ceres,Pholus,Conjunction,2,10,12,0.17,0.83
CE_PH_a103,Ceres,Pholus,BiSeptile,16,14,30,0.53,0.47
CE_PH_a120,Ceres,Pholus,Trine,25,44,69,0.36,0.64
CE_PH_a135,Ceres,Pholus,SesquiSquare,38,31,69,0.55,0.45
CE_PH_a144,Ceres,Pholus,BiQuintile,50,31,81,0.62,0.38
CE_PH_a150,Ceres,Pholus,Quincunx,26,16,42,0.62,0.38
CE_PH_a180,Ceres,Pholus,Opposition,2,7,9,0.22,0.78
CE_PH_a30,Ceres,Pholus,SemiSextile,40,40,80,0.5,0.5
CE_PH_a36,Ceres,Pholus,SemiQuintile,28,35,63,0.44,0.56
CE_PH_a45,Ceres,Pholus,SemiSquare,16,22,38,0.42,0.58
CE_PH_a60,Ceres,Pholus,Sextile,52,36,88,0.59,0.41
CE_PH_a72,Ceres,Pholus,Quintile,41,18,59,0.69,0.31
CE_PH_a90,Ceres,Pholus,Square,11,19,30,0.37,0.63
CE_PL_a0,Ceres,Pluto,Conjunction,8,3,11,0.73,0.27
CE_PL_a103,Ceres,Pluto,BiSeptile,33,36,69,0.48,0.52
CE_PL_a120,Ceres,Pluto,Trine,11,21,32,0.34,0.66
CE_PL_a135,Ceres,Pluto,SesquiSquare,35,32,67,0.52,0.48
CE_PL_a144,Ceres,Pluto,BiQuintile,11,10,21,0.52,0.48
CE_PL_a150,Ceres,Pluto,Quincunx,47,22,69,0.68,0.32
CE_PL_a180,Ceres,Pluto,Opposition,7,3,10,0.7,0.3
CE_PL_a30,Ceres,Pluto,SemiSextile,19,20,39,0.49,0.51
CE_PL_a36,Ceres,Pluto,SemiQuintile,56,36,92,0.61,0.39
CE_PL_a45,Ceres,Pluto,SemiSquare,71,56,127,0.56,0.44
CE_PL_a60,Ceres,Pluto,Sextile,21,14,35,0.6,0.4
CE_PL_a72,Ceres,Pluto,Quintile,14,19,33,0.42,0.58
CE_PL_a90,Ceres,Pluto,Square,22,10,32,0.69,0.31
CE_SA_a0,Ceres,Saturn,Conjunction,10,5,15,0.67,0.33
CE_SA_a103,Ceres,Saturn,BiSeptile,10,19,29,0.34,0.66
CE_SA_a120,Ceres,Saturn,Trine,42,41,83,0.51,0.49
CE_SA_a135,Ceres,Saturn,SesquiSquare,41,42,83,0.49,0.51
CE_SA_a144,Ceres,Saturn,BiQuintile,48,60,108,0.44,0.56
CE_SA_a150,Ceres,Saturn,Quincunx,32,23,55,0.58,0.42
CE_SA_a180,Ceres,Saturn,Opposition,3,6,9,0.33,0.67
CE_SA_a30,Ceres,Saturn,SemiSextile,16,13,29,0.55,0.45
CE_SA_a36,Ceres,Saturn,SemiQuintile,88,64,152,0.58,0.42
CE_SA_a45,Ceres,Saturn,SemiSquare,77,58,135,0.57,0.43
CE_SA_a60,Ceres,Saturn,Sextile,26,36,62,0.42,0.58
CE_SA_a72,Ceres,Saturn,Quintile,26,11,37,0.7,0.3
CE_SA_a90,Ceres,Saturn,Square,15,16,31,0.48,0.52
CE_SN_a0,Ceres,SNode,Conjunction,8,11,19,0.42,0.58
CE_SN_a103,Ceres,SNode,BiSeptile,14,13,27,0.52,0.48
CE_SN_a120,Ceres,SNode,Trine,15,11,26,0.58,0.42
CE_SN_a135,Ceres,SNode,SesquiSquare,21,6,27,0.78,0.22
CE_SN_a144,Ceres,SNode,BiQuintile,13,16,29,0.45,0.55
CE_SN_a150,Ceres,SNode,Quincunx,15,13,28,0.54,0.46
CE_SN_a180,Ceres,SNode,Opposition,52,34,86,0.6,0.4
CE_SN_a30,Ceres,SNode,SemiSextile,26,15,41,0.63,0.37
CE_SN_a36,Ceres,SNode,SemiQuintile,33,26,59,0.56,0.44
CE_SN_a45,Ceres,SNode,SemiSquare,94,100,194,0.48,0.52
CE_SN_a60,Ceres,SNode,Sextile,26,26,52,0.5,0.5
CE_SN_a72,Ceres,SNode,Quintile,52,37,89,0.58,0.42
CE_SN_a90,Ceres,SNode,Square,17,11,28,0.61,0.39
CE_UR_a0,Ceres,Uranus,Conjunction,31,47,78,0.4,0.6
CE_UR_a103,Ceres,Uranus,BiSeptile,30,30,60,0.5,0.5
CE_UR_a120,Ceres,Uranus,Trine,11,9,20,0.55,0.45
CE_UR_a135,Ceres,Uranus,SesquiSquare,4,16,20,0.2,0.8
CE_UR_a144,Ceres,Uranus,BiQuintile,33,21,54,0.61,0.39
CE_UR_a150,Ceres,Uranus,Quincunx,23,30,53,0.43,0.57
CE_UR_a180,Ceres,Uranus,Opposition,2,7,9,0.22,0.78
CE_UR_a30,Ceres,Uranus,SemiSextile,35,24,59,0.59,0.41
CE_UR_a36,Ceres,Uranus,SemiQuintile,20,15,35,0.57,0.43
CE_UR_a45,Ceres,Uranus,SemiSquare,20,14,34,0.59,0.41
CE_UR_a60,Ceres,Uranus,Sextile,53,38,91,0.58,0.42
CE_UR_a72,Ceres,Uranus,Quintile,43,22,65,0.66,0.34
CE_UR_a90,Ceres,Uranus,Square,13,9,22,0.59,0.41
CH_PH_a90,Chiron,Pholus,Square,409,361,770,0.53,0.47
CH_PL_a72,Chiron,Pluto,Quintile,390,343,733,0.53,0.47
CH_UR_a30,Chiron,Uranus,SemiSextile,1008,902,1910,0.53,0.47
JN_CE_a103,Juno,Ceres,BiSeptile,77,62,139,0.55,0.45
JN_CE_a120,Juno,Ceres,Trine,95,89,184,0.52,0.48
JN_CE_a135,Juno,Ceres,SesquiSquare,31,48,79,0.39,0.61
JN_CE_a144,Juno,Ceres,BiQuintile,37,33,70,0.53,0.47
JN_CE_a150,Juno,Ceres,Quincunx,50,36,86,0.58,0.42
JN_CE_a180,Juno,Ceres,Opposition,39,45,84,0.46,0.54
JN_CE_a90,Juno,Ceres,Square,24,23,47,0.51,0.49
JN_CH_a0,Juno,Chiron,Conjunction,5,4,9,0.56,0.44
JN_CH_a103,Juno,Chiron,BiSeptile,14,19,33,0.42,0.58
JN_CH_a120,Juno,Chiron,Trine,41,31,72,0.57,0.43
JN_CH_a135,Juno,Chiron,SesquiSquare,36,27,63,0.57,0.43
JN_CH_a144,Juno,Chiron,BiQuintile,51,53,104,0.49,0.51
JN_CH_a150,Juno,Chiron,Quincunx,16,12,28,0.57,0.43
JN_CH_a180,Juno,Chiron,Opposition,40,31,71,0.56,0.44
JN_CH_a30,Juno,Chiron,SemiSextile,11,8,19,0.58,0.42
JN_CH_a36,Juno,Chiron,SemiQuintile,8,12,20,0.4,0.6
JN_CH_a45,Juno,Chiron,SemiSquare,10,10,20,0.5,0.5
JN_CH_a60,Juno,Chiron,Sextile,43,40,83,0.52,0.48
JN_CH_a72,Juno,Chiron,Quintile,50,32,82,0.61,0.39
JN_CH_a90,Juno,Chiron,Square,14,9,23,0.61,0.39
JN_JU_a103,Juno,Jupiter,BiSeptile,27,19,46,0.59,0.41
JN_JU_a120,Juno,Jupiter,Trine,10,5,15,0.67,0.33
JN_JU_a135,Juno,Jupiter,SesquiSquare,7,7,14,0.5,0.5
JN_JU_a144,Juno,Jupiter,BiQuintile,7,7,14,0.5,0.5
JN_JU_a150,Juno,Jupiter,Quincunx,7,7,14,0.5,0.5
JN_JU_a180,Juno,Jupiter,Opposition,15,18,33,0.45,0.55
JN_JU_a30,Juno,Jupiter,SemiSextile,13,9,22,0.59,0.41
JN_JU_a36,Juno,Jupiter,SemiQuintile,7,12,19,0.37,0.63
JN_JU_a45,Juno,Jupiter,SemiSquare,45,37,82,0.55,0.45
JN_JU_a60,Juno,Jupiter,Sextile,64,33,97,0.66,0.34
JN_JU_a72,Juno,Jupiter,Quintile,61,46,107,0.57,0.43
JN_JU_a90,Juno,Jupiter,Square,40,43,83,0.48,0.52
JN_NE_a0,Juno,Neptune,Conjunction,2,7,9,0.22,0.78
JN_NE_a103,Juno,Neptune,BiSeptile,62,44,106,0.58,0.42
