PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",430,432,862,0.5,0.5
"CE_(5,7]",Ceres,"(5,7]",695,677,1372,0.51,0.49
"CE_(7,13]",Ceres,"(7,13]",343,329,672,0.51,0.49
"CE_[0,4]",Ceres,"[0,4]",769,762,1531,0.5,0.5
"CH_(4,5]",Chiron,"(4,5]",460,408,868,0.53,0.47
"CH_(5,7]",Chiron,"(5,7]",832,814,1646,0.51,0.49
"CH_(7,13]",Chiron,"(7,13]",379,408,787,0.48,0.52
"CH_[0,4]",Chiron,"[0,4]",566,570,1136,0.5,0.5
"JN_(4,5]",Juno,"(4,5]",419,401,820,0.51,0.49
"JN_(5,7]",Juno,"(5,7]",703,757,1460,0.48,0.52
"JN_(7,14]",Juno,"(7,14]",309,302,611,0.51,0.49
"JN_[0,4]",Juno,"[0,4]",806,740,1546,0.52,0.48
"JU_(4,5]",Jupiter,"(4,5]",424,402,826,0.51,0.49
"JU_(5,7]",Jupiter,"(5,7]",730,688,1418,0.51,0.49
"JU_(7,12]",Jupiter,"(7,12]",337,341,678,0.5,0.5
"JU_[0,4]",Jupiter,"[0,4]",746,769,1515,0.49,0.51
"MA_(4,5]",Mars,"(4,5]",446,403,849,0.53,0.47
"MA_(5,7]",Mars,"(5,7]",684,655,1339,0.51,0.49
"MA_(7,13]",Mars,"(7,13]",309,305,614,0.5,0.5
"MA_[0,4]",Mars,"[0,4]",798,837,1635,0.49,0.51
"ME_(4,5]",Mercury,"(4,5]",448,394,842,0.53,0.47
"ME_(5,7]",Mercury,"(5,7]",683,669,1352,0.51,0.49
"ME_(7,14]",Mercury,"(7,14]",242,295,537,0.45,0.55
"ME_[0,4]",Mercury,"[0,4]",864,842,1706,0.51,0.49
"MO_(13,15]",Moon,"(13,15]",660,626,1286,0.51,0.49
"MO_(15,17]",Moon,"(15,17]",537,557,1094,0.49,0.51
"MO_(17,27]",Moon,"(17,27]",364,385,749,0.49,0.51
"MO_[5,13]",Moon,"[5,13]",676,632,1308,0.52,0.48
"NE_(4,5]",Neptune,"(4,5]",436,433,869,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",394,373,767,0.51,0.49
"NE_(6,13]",Neptune,"(6,13]",519,535,1054,0.49,0.51
"NE_[0,4]",Neptune,"[0,4]",888,859,1747,0.51,0.49
"NN_(5,6]",NNode,"(5,6]",451,463,914,0.49,0.51
"NN_(6,7]",NNode,"(6,7]",400,380,780,0.51,0.49
"NN_(7,13]",NNode,"(7,13]",455,513,968,0.47,0.53
"NN_[1,5]",NNode,"[1,5]",931,844,1775,0.52,0.48
"PA_(4,5]",Pallas,"(4,5]",435,426,861,0.51,0.49
"PA_(5,7]",Pallas,"(5,7]",705,666,1371,0.51,0.49
"PA_(7,13]",Pallas,"(7,13]",310,305,615,0.5,0.5
"PA_[0,4]",Pallas,"[0,4]",787,803,1590,0.49,0.51
"PH_(4,5]",Pholus,"(4,5]",455,434,889,0.51,0.49
"PH_(5,6]",Pholus,"(5,6]",407,399,806,0.5,0.5
"PH_(6,13]",Pholus,"(6,13]",536,546,1082,0.5,0.5
"PH_[0,4]",Pholus,"[0,4]",839,821,1660,0.51,0.49
"PL_(4,5]",Pluto,"(4,5]",460,456,916,0.5,0.5
"PL_(5,6]",Pluto,"(5,6]",365,333,698,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",413,430,843,0.49,0.51
"PL_[0,4]",Pluto,"[0,4]",999,981,1980,0.5,0.5
"SA_(4,5]",Saturn,"(4,5]",418,411,829,0.5,0.5
"SA_(5,7]",Saturn,"(5,7]",672,689,1361,0.49,0.51
"SA_(7,14]",Saturn,"(7,14]",288,291,579,0.5,0.5
"SA_[0,4]",Saturn,"[0,4]",859,809,1668,0.51,0.49
"SN_(5,6]",SNode,"(5,6]",489,466,955,0.51,0.49
"SN_(6,7]",SNode,"(6,7]",394,369,763,0.52,0.48
"SN_(7,13]",SNode,"(7,13]",483,521,1004,0.48,0.52
"SN_[1,5]",SNode,"[1,5]",871,844,1715,0.51,0.49
"SU_(4,5]",Sun,"(4,5]",469,471,940,0.5,0.5
"SU_(5,7]",Sun,"(5,7]",697,655,1352,0.52,0.48
"SU_(7,14]",Sun,"(7,14]",318,296,614,0.52,0.48
"SU_[0,4]",Sun,"[0,4]",753,778,1531,0.49,0.51
"UR_(4,5]",Uranus,"(4,5]",402,395,797,0.5,0.5
"UR_(5,7]",Uranus,"(5,7]",798,753,1551,0.51,0.49
"UR_(7,15]",Uranus,"(7,15]",441,534,975,0.45,0.55
"UR_[0,4]",Uranus,"[0,4]",596,518,1114,0.54,0.46
"VE_(4,5]",Venus,"(4,5]",453,419,872,0.52,0.48
"VE_(5,7]",Venus,"(5,7]",735,715,1450,0.51,0.49
"VE_(7,14]",Venus,"(7,14]",368,383,751,0.49,0.51
"VE_[0,4]",Venus,"[0,4]",681,683,1364,0.5,0.5
"VS_(4,5]",Vesta,"(4,5]",447,393,840,0.53,0.47
"VS_(5,7]",Vesta,"(5,7]",674,662,1336,0.5,0.5
"VS_(7,13]",Vesta,"(7,13]",330,349,679,0.49,0.51
"VS_[0,4]",Vesta,"[0,4]",786,796,1582,0.5,0.5
