PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",225,244,469,0.48,0.52
CE_a0_0,Ceres,Conjunction,0,2017,1960,3977,0.51,0.49
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",461,438,899,0.51,0.49
CE_a103_0,Ceres,BiSeptile,0,1781,1766,3547,0.5,0.5
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",363,369,732,0.5,0.5
CE_a120_0,Ceres,Trine,0,1879,1835,3714,0.51,0.49
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",411,428,839,0.49,0.51
CE_a135_0,Ceres,SesquiSquare,0,1831,1776,3607,0.51,0.49
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",426,396,822,0.52,0.48
CE_a144_0,Ceres,BiQuintile,0,1816,1808,3624,0.5,0.5
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",411,378,789,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,1831,1826,3657,0.5,0.5
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",186,204,390,0.48,0.52
CE_a180_0,Ceres,Opposition,0,2056,2000,4056,0.51,0.49
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",559,602,1161,0.48,0.52
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",103,88,191,0.54,0.46
CE_a30_0,Ceres,SemiSextile,0,1580,1514,3094,0.51,0.49
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",499,471,970,0.51,0.49
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",139,117,256,0.54,0.46
CE_a36_0,Ceres,SemiQuintile,0,1604,1616,3220,0.5,0.5
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",523,543,1066,0.49,0.51
CE_a45_0,Ceres,SemiSquare,0,1719,1661,3380,0.51,0.49
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",489,470,959,0.51,0.49
CE_a60_0,Ceres,Sextile,0,1753,1734,3487,0.5,0.5
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",445,460,905,0.49,0.51
CE_a72_0,Ceres,Quintile,0,1797,1744,3541,0.51,0.49
"CE_a90_(0,3]",Ceres,Square,"(0,3]",405,344,749,0.54,0.46
CE_a90_0,Ceres,Square,0,1837,1860,3697,0.5,0.5
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",204,190,394,0.52,0.48
CH_a0_0,Chiron,Conjunction,0,2038,2014,4052,0.5,0.5
CH_a103_0,Chiron,BiSeptile,0,2242,2204,4446,0.5,0.5
CH_a120_0,Chiron,Trine,0,2242,2204,4446,0.5,0.5
CH_a135_0,Chiron,SesquiSquare,0,2242,2204,4446,0.5,0.5
CH_a144_0,Chiron,BiQuintile,0,2242,2204,4446,0.5,0.5
CH_a150_0,Chiron,Quincunx,0,2242,2204,4446,0.5,0.5
CH_a180_0,Chiron,Opposition,0,2242,2204,4446,0.5,0.5
CH_a30_0,Chiron,SemiSextile,0,804,800,1604,0.5,0.5
CH_a30_1,Chiron,SemiSextile,1,1438,1404,2842,0.51,0.49
"CH_a36_(0,2]",Chiron,SemiQuintile,"(0,2]",290,283,573,0.51,0.49
CH_a36_0,Chiron,SemiQuintile,0,1952,1921,3873,0.5,0.5
"CH_a45_(0,2]",Chiron,SemiSquare,"(0,2]",220,163,383,0.57,0.43
CH_a45_0,Chiron,SemiSquare,0,2022,2041,4063,0.5,0.5
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",400,431,831,0.48,0.52
CH_a60_0,Chiron,Sextile,0,1842,1773,3615,0.51,0.49
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",451,447,898,0.5,0.5
CH_a72_0,Chiron,Quintile,0,1791,1757,3548,0.5,0.5
"CH_a90_(0,1]",Chiron,Square,"(0,1]",276,276,552,0.5,0.5
CH_a90_0,Chiron,Square,0,1966,1928,3894,0.5,0.5
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",221,206,427,0.52,0.48
JN_a0_0,Juno,Conjunction,0,2021,1998,4019,0.5,0.5
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",535,555,1090,0.49,0.51
JN_a103_0,Juno,BiSeptile,0,1707,1649,3356,0.51,0.49
"JN_a120_(0,3]",Juno,Trine,"(0,3]",592,641,1233,0.48,0.52
JN_a120_0,Juno,Trine,0,1650,1563,3213,0.51,0.49
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",505,528,1033,0.49,0.51
JN_a135_0,Juno,SesquiSquare,0,1737,1676,3413,0.51,0.49
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",537,525,1062,0.51,0.49
JN_a144_0,Juno,BiQuintile,0,1705,1679,3384,0.5,0.5
"JN_a150_(0,3]",Juno,Quincunx,"(0,3]",543,533,1076,0.5,0.5
JN_a150_0,Juno,Quincunx,0,1699,1671,3370,0.5,0.5
"JN_a180_(0,3]",Juno,Opposition,"(0,3]",326,306,632,0.52,0.48
