PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(0,1]",Ceres,"(0,1]",760,808,1568,0.48,0.52
"CE_(1,2]",Ceres,"(1,2]",507,491,998,0.51,0.49
"CE_(2,7]",Ceres,"(2,7]",445,388,833,0.53,0.47
CE_0,Ceres,0,525,513,1038,0.51,0.49
"CH_(0,1]",Chiron,"(0,1]",991,980,1971,0.5,0.5
"CH_(1,3]",Chiron,"(1,3]",348,325,673,0.52,0.48
CH_0,Chiron,0,898,895,1793,0.5,0.5
"JN_(1,2]",Juno,"(1,2]",577,547,1124,0.51,0.49
"JN_(2,7]",Juno,"(2,7]",423,437,860,0.49,0.51
JN_1,Juno,1,721,725,1446,0.5,0.5
"JN_[0,1)",Juno,"[0,1)",516,491,1007,0.51,0.49
"JU_(0,1]",Jupiter,"(0,1]",834,796,1630,0.51,0.49
"JU_(1,2]",Jupiter,"(1,2]",466,457,923,0.5,0.5
"JU_(2,6]",Jupiter,"(2,6]",253,260,513,0.49,0.51
JU_0,Jupiter,0,684,687,1371,0.5,0.5
"MA_(1,2]",Mars,"(1,2]",593,607,1200,0.49,0.51
"MA_(2,3]",Mars,"(2,3]",381,333,714,0.53,0.47
"MA_(3,9]",Mars,"(3,9]",256,276,532,0.48,0.52
"MA_[0,1]",Mars,"[0,1]",1007,984,1991,0.51,0.49
"ME_(1,2]",Mercury,"(1,2]",598,585,1183,0.51,0.49
"ME_(2,3]",Mercury,"(2,3]",495,471,966,0.51,0.49
"ME_(3,9]",Mercury,"(3,9]",442,455,897,0.49,0.51
"ME_[0,1]",Mercury,"[0,1]",702,689,1391,0.5,0.5
"MO_(11,22]",Moon,"(11,22]",606,528,1134,0.53,0.47
"MO_(6,9]",Moon,"(6,9]",610,620,1230,0.5,0.5
"MO_(9,11]",Moon,"(9,11]",436,438,874,0.5,0.5
"MO_[0,6]",Moon,"[0,6]",585,614,1199,0.49,0.51
NE_0,Neptune,0,2237,2200,4437,0.5,0.5
"NN_(2,5]",NNode,"(2,5]",427,490,917,0.47,0.53
NN_1,NNode,1,962,858,1820,0.53,0.47
NN_2,NNode,2,848,852,1700,0.5,0.5
"PA_(0,1]",Pallas,"(0,1]",790,773,1563,0.51,0.49
"PA_(1,2]",Pallas,"(1,2]",487,451,938,0.52,0.48
"PA_(2,7]",Pallas,"(2,7]",262,255,517,0.51,0.49
PA_0,Pallas,0,698,721,1419,0.49,0.51
"PH_(0,2]",Pholus,"(0,2]",518,514,1032,0.5,0.5
PH_0,Pholus,0,1719,1686,3405,0.5,0.5
"SA_(1,4]",Saturn,"(1,4]",321,308,629,0.51,0.49
SA_0,Saturn,0,1086,1030,2116,0.51,0.49
SA_1,Saturn,1,830,862,1692,0.49,0.51
"SN_(1,4]",SNode,"(1,4]",467,484,951,0.49,0.51
SN_0,SNode,0,955,848,1803,0.53,0.47
SN_1,SNode,1,815,868,1683,0.48,0.52
"SU_(1,2]",Sun,"(1,2]",614,569,1183,0.52,0.48
"SU_(2,3]",Sun,"(2,3]",440,443,883,0.5,0.5
"SU_(3,9]",Sun,"(3,9]",367,337,704,0.52,0.48
"SU_[0,1]",Sun,"[0,1]",816,851,1667,0.49,0.51
"UR_(0,1]",Uranus,"(0,1]",713,690,1403,0.51,0.49
"UR_(1,3]",Uranus,"(1,3]",183,206,389,0.47,0.53
UR_0,Uranus,0,1341,1304,2645,0.51,0.49
"VE_(1,2]",Venus,"(1,2]",586,558,1144,0.51,0.49
"VE_(2,3]",Venus,"(2,3]",485,481,966,0.5,0.5
"VE_(3,10]",Venus,"(3,10]",476,484,960,0.5,0.5
"VE_[0,1]",Venus,"[0,1]",690,677,1367,0.5,0.5
"VS_(1,2]",Vesta,"(1,2]",544,537,1081,0.5,0.5
"VS_(2,8]",Vesta,"(2,8]",581,572,1153,0.5,0.5
VS_1,Vesta,1,659,673,1332,0.49,0.51
"VS_[0,1)",Vesta,"[0,1)",453,418,871,0.52,0.48
