PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1187,1124,2311,0.51,0.49
CE_POS,Ceres,Positive,1095,1126,2221,0.49,0.51
CH_NEG,Chiron,Negative,1218,1229,2447,0.5,0.5
CH_POS,Chiron,Positive,1064,1021,2085,0.51,0.49
JN_NEG,Juno,Negative,1078,1035,2113,0.51,0.49
JN_POS,Juno,Positive,1204,1215,2419,0.5,0.5
JU_NEG,Jupiter,Negative,1181,1171,2352,0.5,0.5
JU_POS,Jupiter,Positive,1101,1079,2180,0.51,0.49
MA_NEG,Mars,Negative,1138,1042,2180,0.52,0.48
MA_POS,Mars,Positive,1144,1208,2352,0.49,0.51
ME_NEG,Mercury,Negative,1166,1092,2258,0.52,0.48
ME_POS,Mercury,Positive,1116,1158,2274,0.49,0.51
MO_NEG,Moon,Negative,1127,1147,2274,0.5,0.5
MO_POS,Moon,Positive,1155,1103,2258,0.51,0.49
NE_NEG,Neptune,Negative,1243,1269,2512,0.49,0.51
NE_POS,Neptune,Positive,1039,981,2020,0.51,0.49
NN_NEG,NNode,Negative,1159,1098,2257,0.51,0.49
NN_POS,NNode,Positive,1123,1152,2275,0.49,0.51
PA_NEG,Pallas,Negative,1202,1149,2351,0.51,0.49
PA_POS,Pallas,Positive,1080,1101,2181,0.5,0.5
PH_NEG,Pholus,Negative,592,604,1196,0.49,0.51
PH_POS,Pholus,Positive,1690,1646,3336,0.51,0.49
PL_NEG,Pluto,Negative,1681,1672,3353,0.5,0.5
PL_POS,Pluto,Positive,601,578,1179,0.51,0.49
SA_NEG,Saturn,Negative,1205,1165,2370,0.51,0.49
SA_POS,Saturn,Positive,1077,1085,2162,0.5,0.5
SN_NEG,SNode,Negative,1159,1098,2257,0.51,0.49
SN_POS,SNode,Positive,1123,1152,2275,0.49,0.51
SU_NEG,Sun,Negative,1146,1124,2270,0.5,0.5
SU_POS,Sun,Positive,1136,1126,2262,0.5,0.5
UR_NEG,Uranus,Negative,1268,1236,2504,0.51,0.49
UR_POS,Uranus,Positive,1014,1014,2028,0.5,0.5
VE_NEG,Venus,Negative,1111,1058,2169,0.51,0.49
VE_POS,Venus,Positive,1171,1192,2363,0.5,0.5
VS_NEG,Vesta,Negative,1109,1173,2282,0.49,0.51
VS_POS,Vesta,Positive,1173,1077,2250,0.52,0.48
