PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",516,500,1016,0.51,0.49
CE_3,Ceres,3,653,634,1287,0.51,0.49
"CE_[0,2]",Ceres,"[0,2]",1128,1142,2270,0.5,0.5
"CH_(3,4]",Chiron,"(3,4]",511,507,1018,0.5,0.5
"CH_(4,5]",Chiron,"(4,5]",495,460,955,0.52,0.48
"CH_(5,11]",Chiron,"(5,11]",509,568,1077,0.47,0.53
"CH_[0,3]",Chiron,"[0,3]",782,741,1523,0.51,0.49
"JN_(1,2]",Juno,"(1,2]",719,747,1466,0.49,0.51
"JN_(2,3]",Juno,"(2,3]",642,601,1243,0.52,0.48
"JN_(3,7]",Juno,"(3,7]",372,392,764,0.49,0.51
"JN_[0,1]",Juno,"[0,1]",564,536,1100,0.51,0.49
"JU_(2,3]",Jupiter,"(2,3]",660,627,1287,0.51,0.49
"JU_(3,4]",Jupiter,"(3,4]",472,494,966,0.49,0.51
"JU_(4,8]",Jupiter,"(4,8]",348,345,693,0.5,0.5
"JU_[0,2]",Jupiter,"[0,2]",817,810,1627,0.5,0.5
"MA_(2,5]",Mars,"(2,5]",495,450,945,0.52,0.48
MA_2,Mars,2,823,811,1634,0.5,0.5
"MA_[0,1]",Mars,"[0,1]",979,1015,1994,0.49,0.51
"ME_(1,3]",Mercury,"(1,3]",269,278,547,0.49,0.51
ME_0,Mercury,0,636,621,1257,0.51,0.49
ME_1,Mercury,1,1392,1377,2769,0.5,0.5
"NE_(4,5]",Neptune,"(4,5]",441,448,889,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",400,379,779,0.51,0.49
"NE_(6,13]",Neptune,"(6,13]",525,539,1064,0.49,0.51
"NE_[0,4]",Neptune,"[0,4]",931,910,1841,0.51,0.49
"NN_(2,3]",NNode,"(2,3]",609,593,1202,0.51,0.49
"NN_(3,4]",NNode,"(3,4]",493,529,1022,0.48,0.52
"NN_(4,9]",NNode,"(4,9]",503,492,995,0.51,0.49
"NN_[0,2]",NNode,"[0,2]",692,662,1354,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",663,668,1331,0.5,0.5
"PA_(3,4]",Pallas,"(3,4]",486,444,930,0.52,0.48
"PA_(4,8]",Pallas,"(4,8]",308,279,587,0.52,0.48
"PA_[0,2]",Pallas,"[0,2]",840,885,1725,0.49,0.51
"PH_(3,5]",Pholus,"(3,5]",899,858,1757,0.51,0.49
"PH_(5,6]",Pholus,"(5,6]",372,367,739,0.5,0.5
"PH_(6,13]",Pholus,"(6,13]",407,420,827,0.49,0.51
"PH_[0,3]",Pholus,"[0,3]",619,631,1250,0.5,0.5
"PL_(4,5]",Pluto,"(4,5]",465,471,936,0.5,0.5
"PL_(5,6]",Pluto,"(5,6]",382,346,728,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",443,463,906,0.49,0.51
"PL_[0,4]",Pluto,"[0,4]",1007,996,2003,0.5,0.5
"SA_(3,4]",Saturn,"(3,4]",497,507,1004,0.5,0.5
"SA_(4,5]",Saturn,"(4,5]",390,364,754,0.52,0.48
"SA_(5,11]",Saturn,"(5,11]",427,440,867,0.49,0.51
"SA_[0,3]",Saturn,"[0,3]",983,965,1948,0.5,0.5
"SN_(3,4]",SNode,"(3,4]",594,595,1189,0.5,0.5
"SN_(4,5]",SNode,"(4,5]",539,525,1064,0.51,0.49
"SN_(5,10]",SNode,"(5,10]",521,493,1014,0.51,0.49
"SN_[1,3]",SNode,"[1,3]",643,663,1306,0.49,0.51
"SU_(1,2]",Sun,"(1,2]",733,776,1509,0.49,0.51
"SU_(2,4]",Sun,"(2,4]",152,148,300,0.51,0.49
SU_1,Sun,1,1047,1027,2074,0.5,0.5
"SU_[0,1)",Sun,"[0,1)",365,325,690,0.53,0.47
"UR_(3,5]",Uranus,"(3,5]",957,873,1830,0.52,0.48
"UR_(5,6]",Uranus,"(5,6]",370,433,803,0.46,0.54
"UR_(6,13]",Uranus,"(6,13]",464,491,955,0.49,0.51
"UR_[0,3]",Uranus,"[0,3]",506,479,985,0.51,0.49
"VE_(1,2]",Venus,"(1,2]",580,637,1217,0.48,0.52
"VE_(2,3]",Venus,"(2,3]",81,74,155,0.52,0.48
VE_1,Venus,1,1158,1120,2278,0.51,0.49
"VE_[0,1)",Venus,"[0,1)",478,445,923,0.52,0.48
"VS_(1,2]",Vesta,"(1,2]",849,840,1689,0.5,0.5
"VS_(2,3]",Vesta,"(2,3]",472,471,943,0.5,0.5
"VS_(3,6]",Vesta,"(3,6]",180,209,389,0.46,0.54
"VS_[0,1]",Vesta,"[0,1]",796,756,1552,0.51,0.49
