PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,647,606,1253,0.52,0.48
CE_FIX,Ceres,Fixed,816,837,1653,0.49,0.51
CE_MUT,Ceres,Mutable,784,744,1528,0.51,0.49
CH_CAR,Chiron,Cardinal,524,492,1016,0.52,0.48
CH_FIX,Chiron,Fixed,695,683,1378,0.5,0.5
CH_MUT,Chiron,Mutable,1028,1012,2040,0.5,0.5
JN_CAR,Juno,Cardinal,807,762,1569,0.51,0.49
JN_FIX,Juno,Fixed,735,712,1447,0.51,0.49
JN_MUT,Juno,Mutable,705,713,1418,0.5,0.5
JU_CAR,Jupiter,Cardinal,792,737,1529,0.52,0.48
JU_FIX,Jupiter,Fixed,694,720,1414,0.49,0.51
JU_MUT,Jupiter,Mutable,761,730,1491,0.51,0.49
MA_CAR,Mars,Cardinal,778,731,1509,0.52,0.48
MA_FIX,Mars,Fixed,769,780,1549,0.5,0.5
MA_MUT,Mars,Mutable,700,676,1376,0.51,0.49
ME_CAR,Mercury,Cardinal,762,716,1478,0.52,0.48
ME_FIX,Mercury,Fixed,749,748,1497,0.5,0.5
ME_MUT,Mercury,Mutable,736,723,1459,0.5,0.5
MO_CAR,Moon,Cardinal,760,732,1492,0.51,0.49
MO_FIX,Moon,Fixed,741,730,1471,0.5,0.5
MO_MUT,Moon,Mutable,746,725,1471,0.51,0.49
NE_FIX,Neptune,Fixed,1032,988,2020,0.51,0.49
NE_MUT,Neptune,Mutable,1215,1199,2414,0.5,0.5
NN_CAR,NNode,Cardinal,791,806,1597,0.5,0.5
NN_FIX,NNode,Fixed,758,690,1448,0.52,0.48
NN_MUT,NNode,Mutable,698,691,1389,0.5,0.5
PA_CAR,Pallas,Cardinal,809,793,1602,0.5,0.5
PA_FIX,Pallas,Fixed,691,641,1332,0.52,0.48
PA_MUT,Pallas,Mutable,747,753,1500,0.5,0.5
PH_CAR,Pholus,Cardinal,317,290,607,0.52,0.48
PH_FIX,Pholus,Fixed,251,240,491,0.51,0.49
PH_MUT,Pholus,Mutable,1679,1657,3336,0.5,0.5
PL_CAR,Pluto,Cardinal,1651,1604,3255,0.51,0.49
PL_MUT,Pluto,Mutable,596,583,1179,0.51,0.49
SA_CAR,Saturn,Cardinal,914,885,1799,0.51,0.49
SA_FIX,Saturn,Fixed,674,635,1309,0.51,0.49
SA_MUT,Saturn,Mutable,659,667,1326,0.5,0.5
SN_CAR,SNode,Cardinal,791,806,1597,0.5,0.5
SN_FIX,SNode,Fixed,758,690,1448,0.52,0.48
SN_MUT,SNode,Mutable,698,691,1389,0.5,0.5
SU_CAR,Sun,Cardinal,742,743,1485,0.5,0.5
SU_FIX,Sun,Fixed,739,736,1475,0.5,0.5
SU_MUT,Sun,Mutable,766,708,1474,0.52,0.48
UR_CAR,Uranus,Cardinal,1012,997,2009,0.5,0.5
UR_FIX,Uranus,Fixed,327,299,626,0.52,0.48
UR_MUT,Uranus,Mutable,908,891,1799,0.5,0.5
VE_CAR,Venus,Cardinal,734,759,1493,0.49,0.51
VE_FIX,Venus,Fixed,762,684,1446,0.53,0.47
VE_MUT,Venus,Mutable,751,744,1495,0.5,0.5
VS_CAR,Vesta,Cardinal,742,717,1459,0.51,0.49
VS_FIX,Vesta,Fixed,678,754,1432,0.47,0.53
VS_MUT,Vesta,Mutable,827,716,1543,0.54,0.46
