MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,91,76,167,0.54,0.46
F_Z02_TAU,Full,Taurus,110,122,232,0.47,0.53
F_Z03_GEM,Full,Gemini,90,114,204,0.44,0.56
F_Z04_CAN,Full,Cancer,105,95,200,0.52,0.48
F_Z05_LEO,Full,Leo,124,106,230,0.54,0.46
F_Z06_VIR,Full,Virgo,116,102,218,0.53,0.47
F_Z07_LIB,Full,Libra,108,81,189,0.57,0.43
F_Z08_SCO,Full,Scorpio,113,106,219,0.52,0.48
F_Z09_SAG,Full,Sagittarius,118,124,242,0.49,0.51
F_Z10_CAP,Full,Capricorn,93,107,200,0.47,0.54
F_Z11_AQU,Full,Aquarius,118,101,219,0.54,0.46
F_Z12_PIS,Full,Pisces,86,81,167,0.51,0.49
N_Z01_ARI,New,Aries,91,77,168,0.54,0.46
N_Z02_TAU,New,Taurus,102,118,220,0.46,0.54
N_Z03_GEM,New,Gemini,108,116,224,0.48,0.52
N_Z04_CAN,New,Cancer,107,111,218,0.49,0.51
N_Z05_LEO,New,Leo,111,121,232,0.48,0.52
N_Z06_VIR,New,Virgo,105,115,220,0.48,0.52
N_Z07_LIB,New,Libra,94,118,212,0.44,0.56
N_Z08_SCO,New,Scorpio,115,85,200,0.58,0.42
N_Z09_SAG,New,Sagittarius,120,91,211,0.57,0.43
N_Z10_CAP,New,Capricorn,119,104,223,0.53,0.47
N_Z11_AQU,New,Aquarius,105,88,193,0.54,0.46
N_Z12_PIS,New,Pisces,63,107,170,0.37,0.63
