PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,69,53,122,0.57,0.43
CE_AM02,Ceres,Butain,75,81,156,0.48,0.52
CE_AM03,Ceres,Turaija,100,92,192,0.52,0.48
CE_AM04,Ceres,Dabaran,98,103,201,0.49,0.51
CE_AM05,Ceres,Haq'a,116,93,209,0.56,0.44
CE_AM06,Ceres,Han'a,83,94,177,0.47,0.53
CE_AM07,Ceres,Dira,90,96,186,0.48,0.52
CE_AM08,Ceres,Natra,85,81,166,0.51,0.49
CE_AM09,Ceres,Tarf(a),97,75,172,0.56,0.44
CE_AM10,Ceres,Gabha,80,84,164,0.49,0.51
CE_AM11,Ceres,Zubra,96,104,200,0.48,0.52
CE_AM12,Ceres,Sarfa,78,80,158,0.49,0.51
CE_AM13,Ceres,Auwa,98,101,199,0.49,0.51
CE_AM14,Ceres,Simak,59,51,110,0.54,0.46
CE_AM15,Ceres,Gafr,60,54,114,0.53,0.47
CE_AM16,Ceres,Zubana,83,81,164,0.51,0.49
CE_AM17,Ceres,Iklik,80,76,156,0.51,0.49
CE_AM18,Ceres,Qualb,86,104,190,0.45,0.55
CE_AM19,Ceres,Saula,91,111,202,0.45,0.55
CE_AM20,Ceres,Na'a'im,86,104,190,0.45,0.55
CE_AM21,Ceres,Balda,107,85,192,0.56,0.44
CE_AM22,Ceres,Dabih,82,74,156,0.53,0.47
CE_AM23,Ceres,Bula,46,71,117,0.39,0.61
CE_AM24,Ceres,Su'ud,114,98,212,0.54,0.46
CE_AM25,Ceres,Ahbija,109,104,213,0.51,0.49
CE_AM26,Ceres,Muqaddam,120,118,238,0.5,0.5
CE_AM27,Ceres,Mu'ahhar,119,93,212,0.56,0.44
CE_AM28,Ceres,Risa,105,105,210,0.5,0.5
CH_AM01,Chiron,Saratan,483,489,972,0.5,0.5
CH_AM02,Chiron,Butain,79,90,169,0.47,0.53
CH_AM23,Chiron,Bula,134,109,243,0.55,0.45
CH_AM24,Chiron,Su'ud,251,249,500,0.5,0.5
CH_AM25,Chiron,Ahbija,322,309,631,0.51,0.49
CH_AM26,Chiron,Muqaddam,355,322,677,0.52,0.48
CH_AM27,Chiron,Mu'ahhar,421,427,848,0.5,0.5
CH_AM28,Chiron,Risa,467,471,938,0.5,0.5
JN_AM01,Juno,Saratan,64,74,138,0.46,0.54
JN_AM02,Juno,Butain,27,45,72,0.38,0.62
JN_AM03,Juno,Turaija,36,36,72,0.5,0.5
JN_AM04,Juno,Dabaran,43,53,96,0.45,0.55
JN_AM05,Juno,Haq'a,86,74,160,0.54,0.46
JN_AM06,Juno,Han'a,54,73,127,0.43,0.57
JN_AM07,Juno,Dira,60,73,133,0.45,0.55
JN_AM08,Juno,Natra,40,35,75,0.53,0.47
JN_AM09,Juno,Tarf(a),38,35,73,0.52,0.48
JN_AM10,Juno,Gabha,66,73,139,0.47,0.53
JN_AM11,Juno,Zubra,69,87,156,0.44,0.56
JN_AM12,Juno,Sarfa,48,38,86,0.56,0.44
JN_AM13,Juno,Auwa,74,63,137,0.54,0.46
JN_AM14,Juno,Simak,105,101,206,0.51,0.49
JN_AM15,Juno,Gafr,108,100,208,0.52,0.48
JN_AM16,Juno,Zubana,155,142,297,0.52,0.48
JN_AM17,Juno,Iklik,125,122,247,0.51,0.49
JN_AM18,Juno,Qualb,89,97,186,0.48,0.52
JN_AM19,Juno,Saula,126,108,234,0.54,0.46
JN_AM20,Juno,Na'a'im,141,166,307,0.46,0.54
JN_AM21,Juno,Balda,169,164,333,0.51,0.49
JN_AM22,Juno,Dabih,130,150,280,0.46,0.54
JN_AM23,Juno,Bula,175,126,301,0.58,0.42
JN_AM24,Juno,Su'ud,95,81,176,0.54,0.46
JN_AM25,Juno,Ahbija,112,94,206,0.54,0.46
JN_AM26,Juno,Muqaddam,55,55,110,0.5,0.5
JN_AM27,Juno,Mu'ahhar,104,88,192,0.54,0.46
JN_AM28,Juno,Risa,118,113,231,0.51,0.49
JU_AM01,Jupiter,Saratan,133,127,260,0.51,0.49
JU_AM02,Jupiter,Butain,18,19,37,0.49,0.51
JU_AM03,Jupiter,Turaija,87,81,168,0.52,0.48
JU_AM04,Jupiter,Dabaran,45,42,87,0.52,0.48
JU_AM05,Jupiter,Haq'a,15,25,40,0.38,0.62
JU_AM06,Jupiter,Han'a,112,104,216,0.52,0.48
JU_AM07,Jupiter,Dira,24,18,42,0.57,0.43
JU_AM08,Jupiter,Natra,49,50,99,0.49,0.51
JU_AM09,Jupiter,Tarf(a),88,73,161,0.55,0.45
JU_AM10,Jupiter,Gabha,12,29,41,0.29,0.71
JU_AM11,Jupiter,Zubra,92,91,183,0.5,0.5
JU_AM12,Jupiter,Sarfa,40,43,83,0.48,0.52
JU_AM13,Jupiter,Auwa,117,125,242,0.48,0.52
JU_AM14,Jupiter,Simak,115,124,239,0.48,0.52
JU_AM15,Jupiter,Gafr,71,93,164,0.43,0.57
JU_AM16,Jupiter,Zubana,198,172,370,0.54,0.46
JU_AM17,Jupiter,Iklik,43,40,83,0.52,0.48
JU_AM18,Jupiter,Qualb,201,198,399,0.5,0.5
JU_AM19,Jupiter,Saula,73,62,135,0.54,0.46
JU_AM20,Jupiter,Na'a'im,142,121,263,0.54,0.46
JU_AM21,Jupiter,Balda,131,130,261,0.5,0.5
JU_AM22,Jupiter,Dabih,44,57,101,0.44,0.56
JU_AM23,Jupiter,Bula,176,190,366,0.48,0.52
JU_AM24,Jupiter,Su'ud,68,58,126,0.54,0.46
JU_AM25,Jupiter,Ahbija,85,77,162,0.52,0.48
JU_AM26,Jupiter,Muqaddam,184,168,352,0.52,0.48
JU_AM27,Jupiter,Mu'ahhar,37,40,77,0.48,0.52
JU_AM28,Jupiter,Risa,112,109,221,0.51,0.49
MA_AM01,Mars,Saratan,76,65,141,0.54,0.46
MA_AM02,Mars,Butain,121,98,219,0.55,0.45
MA_AM03,Mars,Turaija,109,77,186,0.59,0.41
MA_AM04,Mars,Dabaran,123,103,226,0.54,0.46
MA_AM05,Mars,Haq'a,83,96,179,0.46,0.54
MA_AM06,Mars,Han'a,99,105,204,0.49,0.51
MA_AM07,Mars,Dira,125,113,238,0.53,0.47
MA_AM08,Mars,Natra,125,87,212,0.59,0.41
MA_AM09,Mars,Tarf(a),71,78,149,0.48,0.52
MA_AM10,Mars,Gabha,109,99,208,0.52,0.48
MA_AM11,Mars,Zubra,96,125,221,0.43,0.57
MA_AM12,Mars,Sarfa,86,79,165,0.52,0.48
