PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",436,448,884,0.49,0.51
"CE_(5,7]",Ceres,"(5,7]",713,706,1419,0.5,0.5
"CE_(7,13]",Ceres,"(7,13]",361,332,693,0.52,0.48
"CE_[0,4]",Ceres,"[0,4]",796,768,1564,0.51,0.49
"CH_(4,5]",Chiron,"(4,5]",462,436,898,0.51,0.49
"CH_(5,7]",Chiron,"(5,7]",851,847,1698,0.5,0.5
"CH_(7,13]",Chiron,"(7,13]",395,418,813,0.49,0.51
"CH_[0,4]",Chiron,"[0,4]",598,553,1151,0.52,0.48
"JN_(4,5]",Juno,"(4,5]",426,419,845,0.5,0.5
"JN_(5,7]",Juno,"(5,7]",754,756,1510,0.5,0.5
"JN_(7,14]",Juno,"(7,14]",314,303,617,0.51,0.49
"JN_[0,4]",Juno,"[0,4]",812,776,1588,0.51,0.49
"JU_(4,5]",Jupiter,"(4,5]",424,425,849,0.5,0.5
"JU_(5,7]",Jupiter,"(5,7]",781,675,1456,0.54,0.46
"JU_(7,12]",Jupiter,"(7,12]",323,367,690,0.47,0.53
"JU_[0,4]",Jupiter,"[0,4]",778,787,1565,0.5,0.5
"MA_(4,5]",Mars,"(4,5]",442,428,870,0.51,0.49
"MA_(5,7]",Mars,"(5,7]",697,691,1388,0.5,0.5
"MA_(7,13]",Mars,"(7,13]",308,323,631,0.49,0.51
"MA_[0,4]",Mars,"[0,4]",859,812,1671,0.51,0.49
"ME_(4,5]",Mercury,"(4,5]",454,411,865,0.52,0.48
"ME_(5,7]",Mercury,"(5,7]",695,696,1391,0.5,0.5
"ME_(7,14]",Mercury,"(7,14]",250,296,546,0.46,0.54
"ME_[0,4]",Mercury,"[0,4]",907,851,1758,0.52,0.48
"MO_(13,15]",Moon,"(13,15]",696,632,1328,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",547,573,1120,0.49,0.51
"MO_(17,27]",Moon,"(17,27]",371,396,767,0.48,0.52
"MO_[5,13]",Moon,"[5,13]",692,653,1345,0.51,0.49
"NE_(4,5]",Neptune,"(4,5]",442,443,885,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",390,387,777,0.5,0.5
"NE_(6,13]",Neptune,"(6,13]",560,504,1064,0.53,0.47
"NE_[0,4]",Neptune,"[0,4]",914,920,1834,0.5,0.5
"NN_(5,6]",NNode,"(5,6]",463,480,943,0.49,0.51
"NN_(6,7]",NNode,"(6,7]",419,383,802,0.52,0.48
"NN_(7,13]",NNode,"(7,13]",467,526,993,0.47,0.53
"NN_[1,5]",NNode,"[1,5]",957,865,1822,0.53,0.47
"PA_(4,5]",Pallas,"(4,5]",459,432,891,0.52,0.48
"PA_(5,7]",Pallas,"(5,7]",719,703,1422,0.51,0.49
"PA_(7,13]",Pallas,"(7,13]",306,316,622,0.49,0.51
"PA_[0,4]",Pallas,"[0,4]",822,803,1625,0.51,0.49
"PH_(4,5]",Pholus,"(4,5]",478,440,918,0.52,0.48
"PH_(5,6]",Pholus,"(5,6]",425,399,824,0.52,0.48
"PH_(6,13]",Pholus,"(6,13]",548,543,1091,0.5,0.5
"PH_[0,4]",Pholus,"[0,4]",855,872,1727,0.5,0.5
"PL_(4,5]",Pluto,"(4,5]",451,476,927,0.49,0.51
"PL_(5,6]",Pluto,"(5,6]",378,347,725,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",462,437,899,0.51,0.49
"PL_[0,4]",Pluto,"[0,4]",1015,994,2009,0.51,0.49
"SA_(4,5]",Saturn,"(4,5]",439,413,852,0.52,0.48
"SA_(5,7]",Saturn,"(5,7]",681,728,1409,0.48,0.52
"SA_(7,14]",Saturn,"(7,14]",282,307,589,0.48,0.52
"SA_[0,4]",Saturn,"[0,4]",904,806,1710,0.53,0.47
"SN_(5,6]",SNode,"(5,6]",508,476,984,0.52,0.48
"SN_(6,7]",SNode,"(6,7]",413,376,789,0.52,0.48
"SN_(7,13]",SNode,"(7,13]",491,536,1027,0.48,0.52
"SN_[1,5]",SNode,"[1,5]",894,866,1760,0.51,0.49
"SU_(4,5]",Sun,"(4,5]",477,491,968,0.49,0.51
"SU_(5,7]",Sun,"(5,7]",722,668,1390,0.52,0.48
"SU_(7,14]",Sun,"(7,14]",322,299,621,0.52,0.48
"SU_[0,4]",Sun,"[0,4]",785,796,1581,0.5,0.5
"UR_(4,5]",Uranus,"(4,5]",418,391,809,0.52,0.48
"UR_(5,7]",Uranus,"(5,7]",811,781,1592,0.51,0.49
"UR_(7,15]",Uranus,"(7,15]",488,539,1027,0.48,0.52
"UR_[0,4]",Uranus,"[0,4]",589,543,1132,0.52,0.48
"VE_(4,5]",Venus,"(4,5]",452,444,896,0.5,0.5
"VE_(5,7]",Venus,"(5,7]",768,716,1484,0.52,0.48
"VE_(7,14]",Venus,"(7,14]",363,408,771,0.47,0.53
"VE_[0,4]",Venus,"[0,4]",723,686,1409,0.51,0.49
"VS_(4,5]",Vesta,"(4,5]",450,414,864,0.52,0.48
"VS_(5,7]",Vesta,"(5,7]",697,677,1374,0.51,0.49
"VS_(7,13]",Vesta,"(7,13]",338,348,686,0.49,0.51
"VS_[0,4]",Vesta,"[0,4]",821,815,1636,0.5,0.5
