PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,48,33,81,0.59,0.41
CE_Z01_2ARI,Ceres,AriesD2,29,30,59,0.49,0.51
CE_Z01_3ARI,Ceres,AriesD3,68,74,142,0.48,0.52
CE_Z02_1TAU,Ceres,TaurusD1,67,74,141,0.48,0.52
CE_Z02_2TAU,Ceres,TaurusD2,76,57,133,0.57,0.43
CE_Z02_3TAU,Ceres,TaurusD3,60,50,110,0.55,0.45
CE_Z03_1GEM,Ceres,GeminiD1,28,27,55,0.51,0.49
CE_Z03_2GEM,Ceres,GeminiD2,35,31,66,0.53,0.47
CE_Z03_3GEM,Ceres,GeminiD3,67,69,136,0.49,0.51
CE_Z04_1CAN,Ceres,CancerD1,56,47,103,0.54,0.46
CE_Z04_2CAN,Ceres,CancerD2,63,62,125,0.5,0.5
CE_Z04_3CAN,Ceres,CancerD3,56,41,97,0.58,0.42
CE_Z05_1LEO,Ceres,LeoD1,58,74,132,0.44,0.56
CE_Z05_2LEO,Ceres,LeoD2,78,72,150,0.52,0.48
CE_Z05_3LEO,Ceres,LeoD1,27,43,70,0.39,0.61
CE_Z06_1VIR,Ceres,VirgoD1,85,71,156,0.54,0.46
CE_Z06_2VIR,Ceres,VirgoD2,53,63,116,0.46,0.54
CE_Z06_3VIR,Ceres,VirgoD3,38,27,65,0.58,0.42
CE_Z07_1LIB,Ceres,LibraD1,37,31,68,0.54,0.46
CE_Z07_2LIB,Ceres,LibraD2,47,50,97,0.48,0.52
CE_Z07_3LIB,Ceres,LibraD3,74,71,145,0.51,0.49
CE_Z08_1SCO,Ceres,ScorpioD1,51,57,108,0.47,0.53
CE_Z08_2SCO,Ceres,ScorpioD2,71,87,158,0.45,0.55
CE_Z08_3SCO,Ceres,ScorpioD3,73,60,133,0.55,0.45
CE_Z09_1SAG,Ceres,SagittariusD1,70,95,165,0.42,0.58
CE_Z09_2SAG,Ceres,SagittariusD2,51,65,116,0.44,0.56
CE_Z09_3SAG,Ceres,SagittariusD3,94,76,170,0.55,0.45
CE_Z10_1CAP,Ceres,CapricornD1,72,62,134,0.54,0.46
CE_Z10_2CAP,Ceres,CapricornD2,36,38,74,0.49,0.51
CE_Z10_3CAP,Ceres,CapricornD3,63,78,141,0.45,0.55
CE_Z11_1AQU,Ceres,AquariusD1,87,83,170,0.51,0.49
CE_Z11_2AQU,Ceres,AquariusD2,78,80,158,0.49,0.51
CE_Z11_3AQU,Ceres,AquariusD3,97,93,190,0.51,0.49
CE_Z12_1PIS,Ceres,PiscesD1,90,66,156,0.58,0.42
CE_Z12_2PIS,Ceres,PiscesD2,98,80,178,0.55,0.45
CE_Z12_3PIS,Ceres,PiscesD3,69,82,151,0.46,0.54
CH_Z01_1ARI,Chiron,AriesD1,300,312,612,0.49,0.51
CH_Z10_2CAP,Chiron,CapricornD2,23,9,32,0.72,0.28
CH_Z10_3CAP,Chiron,CapricornD3,196,179,375,0.52,0.48
CH_Z11_1AQU,Chiron,AquariusD1,212,202,414,0.51,0.49
CH_Z11_2AQU,Chiron,AquariusD2,216,227,443,0.49,0.51
CH_Z11_3AQU,Chiron,AquariusD3,285,248,533,0.53,0.47
CH_Z12_1PIS,Chiron,PiscesD1,336,333,669,0.5,0.5
CH_Z12_2PIS,Chiron,PiscesD2,287,335,622,0.46,0.54
CH_Z12_3PIS,Chiron,PiscesD3,395,354,749,0.53,0.47
JN_Z01_1ARI,Juno,AriesD1,52,61,113,0.46,0.54
JN_Z01_2ARI,Juno,AriesD2,21,35,56,0.38,0.62
JN_Z01_3ARI,Juno,AriesD3,27,28,55,0.49,0.51
JN_Z02_1TAU,Juno,TaurusD1,24,33,57,0.42,0.58
JN_Z02_2TAU,Juno,TaurusD2,23,36,59,0.39,0.61
JN_Z02_3TAU,Juno,TaurusD3,87,60,147,0.59,0.41
JN_Z03_1GEM,Juno,GeminiD1,38,40,78,0.49,0.51
JN_Z03_2GEM,Juno,GeminiD2,53,77,130,0.41,0.59
JN_Z03_3GEM,Juno,GeminiD3,40,55,95,0.42,0.58
JN_Z04_1CAN,Juno,CancerD1,32,27,59,0.54,0.46
JN_Z04_2CAN,Juno,CancerD2,30,26,56,0.54,0.46
JN_Z04_3CAN,Juno,CancerD3,30,29,59,0.51,0.49
