PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,a0,"(0,2]",135,139,274,0.49,0.51
CE_a0_0,Ceres,a0,0,2116,2059,4175,0.51,0.49
"CE_a103_(0,3]",Ceres,a103,"(0,3]",252,236,488,0.52,0.48
CE_a103_0,Ceres,a103,0,1999,1962,3961,0.5,0.5
"CE_a120_(0,2]",Ceres,a120,"(0,2]",194,171,365,0.53,0.47
CE_a120_0,Ceres,a120,0,2057,2027,4084,0.5,0.5
"CE_a135_(0,2]",Ceres,a135,"(0,2]",231,248,479,0.48,0.52
CE_a135_0,Ceres,a135,0,2020,1950,3970,0.51,0.49
"CE_a144_(0,3]",Ceres,a144,"(0,3]",221,214,435,0.51,0.49
CE_a144_0,Ceres,a144,0,2030,1984,4014,0.51,0.49
"CE_a150_(0,3]",Ceres,a150,"(0,3]",227,170,397,0.57,0.43
CE_a150_0,Ceres,a150,0,2024,2028,4052,0.5,0.5
"CE_a180_(0,2]",Ceres,a180,"(0,2]",87,123,210,0.41,0.59
CE_a180_0,Ceres,a180,0,2164,2075,4239,0.51,0.49
"CE_a30_(0,3]",Ceres,a30,"(0,3]",391,361,752,0.52,0.48
CE_a30_0,Ceres,a30,0,1860,1837,3697,0.5,0.5
"CE_a36_(0,3]",Ceres,a36,"(0,3]",324,347,671,0.48,0.52
CE_a36_0,Ceres,a36,0,1927,1851,3778,0.51,0.49
"CE_a45_(0,3]",Ceres,a45,"(0,3]",261,315,576,0.45,0.55
CE_a45_0,Ceres,a45,0,1990,1883,3873,0.51,0.49
"CE_a60_(0,2]",Ceres,a60,"(0,2]",267,233,500,0.53,0.47
CE_a60_0,Ceres,a60,0,1984,1965,3949,0.5,0.5
"CE_a72_(0,3]",Ceres,a72,"(0,3]",245,223,468,0.52,0.48
CE_a72_0,Ceres,a72,0,2006,1975,3981,0.5,0.5
"CE_a90_(0,3]",Ceres,a90,"(0,3]",212,172,384,0.55,0.45
CE_a90_0,Ceres,a90,0,2039,2026,4065,0.5,0.5
"CH_a0_(0,1]",Chiron,a0,"(0,1]",119,101,220,0.54,0.46
CH_a0_0,Chiron,a0,0,2132,2097,4229,0.5,0.5
CH_a103_0,Chiron,a103,0,2251,2198,4449,0.51,0.49
CH_a120_0,Chiron,a120,0,2251,2198,4449,0.51,0.49
CH_a135_0,Chiron,a135,0,2251,2198,4449,0.51,0.49
CH_a144_0,Chiron,a144,0,2251,2198,4449,0.51,0.49
CH_a150_0,Chiron,a150,0,2251,2198,4449,0.51,0.49
CH_a180_0,Chiron,a180,0,2251,2198,4449,0.51,0.49
"CH_a30_(0,1]",Chiron,a30,"(0,1]",814,835,1649,0.49,0.51
CH_a30_0,Chiron,a30,0,1437,1363,2800,0.51,0.49
"CH_a36_(0,2]",Chiron,a36,"(0,2]",159,145,304,0.52,0.48
CH_a36_0,Chiron,a36,0,2092,2053,4145,0.5,0.5
"CH_a45_(0,2]",Chiron,a45,"(0,2]",55,39,94,0.59,0.41
CH_a45_0,Chiron,a45,0,2196,2159,4355,0.5,0.5
"CH_a60_(0,1]",Chiron,a60,"(0,1]",196,205,401,0.49,0.51
CH_a60_0,Chiron,a60,0,2055,1993,4048,0.51,0.49
"CH_a72_(0,1]",Chiron,a72,"(0,1]",200,210,410,0.49,0.51
CH_a72_0,Chiron,a72,0,2051,1988,4039,0.51,0.49
