PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",505,490,995,0.51,0.49
CE_3,Ceres,3,623,629,1252,0.5,0.5
"CE_[0,2]",Ceres,"[0,2]",1130,1081,2211,0.51,0.49
"CH_(3,4]",Chiron,"(3,4]",504,477,981,0.51,0.49
"CH_(4,5]",Chiron,"(4,5]",479,455,934,0.51,0.49
"CH_(5,11]",Chiron,"(5,11]",504,551,1055,0.48,0.52
"CH_[0,3]",Chiron,"[0,3]",771,717,1488,0.52,0.48
"JN_(1,2]",Juno,"(1,2]",734,685,1419,0.52,0.48
"JN_(2,3]",Juno,"(2,3]",592,621,1213,0.49,0.51
"JN_(3,7]",Juno,"(3,7]",384,368,752,0.51,0.49
"JN_[0,1]",Juno,"[0,1]",548,526,1074,0.51,0.49
"JU_(2,3]",Jupiter,"(2,3]",636,622,1258,0.51,0.49
"JU_(3,4]",Jupiter,"(3,4]",474,465,939,0.5,0.5
"JU_(4,8]",Jupiter,"(4,8]",344,351,695,0.49,0.51
"JU_[0,2]",Jupiter,"[0,2]",804,762,1566,0.51,0.49
"MA_(2,5]",Mars,"(2,5]",476,443,919,0.52,0.48
MA_2,Mars,2,813,776,1589,0.51,0.49
"MA_[0,1]",Mars,"[0,1]",969,981,1950,0.5,0.5
"ME_(1,3]",Mercury,"(1,3]",274,261,535,0.51,0.49
ME_0,Mercury,0,605,612,1217,0.5,0.5
ME_1,Mercury,1,1379,1327,2706,0.51,0.49
"NE_(4,5]",Neptune,"(4,5]",437,434,871,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",384,385,769,0.5,0.5
"NE_(6,13]",Neptune,"(6,13]",555,500,1055,0.53,0.47
"NE_[0,4]",Neptune,"[0,4]",882,881,1763,0.5,0.5
"NN_(2,3]",NNode,"(2,3]",615,546,1161,0.53,0.47
"NN_(3,4]",NNode,"(3,4]",488,507,995,0.49,0.51
"NN_(4,9]",NNode,"(4,9]",482,490,972,0.5,0.5
"NN_[0,2]",NNode,"[0,2]",673,657,1330,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",650,649,1299,0.5,0.5
"PA_(3,4]",Pallas,"(3,4]",474,432,906,0.52,0.48
"PA_(4,8]",Pallas,"(4,8]",274,297,571,0.48,0.52
"PA_[0,2]",Pallas,"[0,2]",860,822,1682,0.51,0.49
"PH_(3,5]",Pholus,"(3,5]",880,826,1706,0.52,0.48
"PH_(5,6]",Pholus,"(5,6]",366,367,733,0.5,0.5
"PH_(6,13]",Pholus,"(6,13]",422,404,826,0.51,0.49
"PH_[0,3]",Pholus,"[0,3]",590,603,1193,0.49,0.51
"PL_(4,5]",Pluto,"(4,5]",446,470,916,0.49,0.51
"PL_(5,6]",Pluto,"(5,6]",369,334,703,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",433,410,843,0.51,0.49
"PL_[0,4]",Pluto,"[0,4]",1010,986,1996,0.51,0.49
"SA_(3,4]",Saturn,"(3,4]",513,459,972,0.53,0.47
"SA_(4,5]",Saturn,"(4,5]",352,372,724,0.49,0.51
"SA_(5,11]",Saturn,"(5,11]",408,441,849,0.48,0.52
"SA_[0,3]",Saturn,"[0,3]",985,928,1913,0.51,0.49
"SN_(3,4]",SNode,"(3,4]",606,556,1162,0.52,0.48
"SN_(4,5]",SNode,"(4,5]",537,490,1027,0.52,0.48
"SN_(5,10]",SNode,"(5,10]",491,516,1007,0.49,0.51
"SN_[1,3]",SNode,"[1,3]",624,638,1262,0.49,0.51
"SU_(1,2]",Sun,"(1,2]",744,730,1474,0.5,0.5
"SU_(2,4]",Sun,"(2,4]",133,161,294,0.45,0.55
SU_1,Sun,1,1028,994,2022,0.51,0.49
"SU_[0,1)",Sun,"[0,1)",353,315,668,0.53,0.47
"UR_(3,5]",Uranus,"(3,5]",927,876,1803,0.51,0.49
"UR_(5,6]",Uranus,"(5,6]",391,386,777,0.5,0.5
"UR_(6,13]",Uranus,"(6,13]",437,458,895,0.49,0.51
"UR_[0,3]",Uranus,"[0,3]",503,480,983,0.51,0.49
"VE_(1,2]",Venus,"(1,2]",577,618,1195,0.48,0.52
"VE_(2,3]",Venus,"(2,3]",75,77,152,0.49,0.51
VE_1,Venus,1,1158,1056,2214,0.52,0.48
"VE_[0,1)",Venus,"[0,1)",448,449,897,0.5,0.5
"VS_(1,2]",Vesta,"(1,2]",831,825,1656,0.5,0.5
"VS_(2,3]",Vesta,"(2,3]",453,459,912,0.5,0.5
"VS_(3,6]",Vesta,"(3,6]",176,205,381,0.46,0.54
"VS_[0,1]",Vesta,"[0,1]",798,711,1509,0.53,0.47
