PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CECH_a0,Ceres,Chiron,Conjunction,14,14,28,0.5,0.5
CECH_a103,Ceres,Chiron,BiSeptile,68,64,132,0.52,0.48
CECH_a120,Ceres,Chiron,Trine,47,47,94,0.5,0.5
CECH_a135,Ceres,Chiron,SesquiSquare,42,53,95,0.44,0.56
CECH_a144,Ceres,Chiron,BiQuintile,50,48,98,0.51,0.49
CECH_a150,Ceres,Chiron,Quincunx,41,29,70,0.59,0.41
CECH_a180,Ceres,Chiron,Opposition,20,18,38,0.53,0.47
CECH_a30,Ceres,Chiron,SemiSextile,74,65,139,0.53,0.47
CECH_a36,Ceres,Chiron,SemiQuintile,81,72,153,0.53,0.47
CECH_a45,Ceres,Chiron,SemiSquare,55,52,107,0.51,0.49
CECH_a60,Ceres,Chiron,Sextile,47,45,92,0.51,0.49
CECH_a72,Ceres,Chiron,Quintile,39,45,84,0.46,0.54
CECH_a90,Ceres,Chiron,Square,47,36,83,0.57,0.43
CEJU_a0,Ceres,Jupiter,Conjunction,27,19,46,0.59,0.41
CEJU_a103,Ceres,Jupiter,BiSeptile,66,56,122,0.54,0.46
CEJU_a120,Ceres,Jupiter,Trine,10,16,26,0.38,0.62
CEJU_a135,Ceres,Jupiter,SesquiSquare,56,76,132,0.42,0.58
CEJU_a144,Ceres,Jupiter,BiQuintile,53,53,106,0.5,0.5
CEJU_a150,Ceres,Jupiter,Quincunx,50,40,90,0.56,0.44
CEJU_a180,Ceres,Jupiter,Opposition,14,14,28,0.5,0.5
CEJU_a30,Ceres,Jupiter,SemiSextile,58,49,107,0.54,0.46
CEJU_a36,Ceres,Jupiter,SemiQuintile,96,110,206,0.47,0.53
CEJU_a45,Ceres,Jupiter,SemiSquare,57,69,126,0.45,0.55
CEJU_a60,Ceres,Jupiter,Sextile,31,29,60,0.52,0.48
CEJU_a72,Ceres,Jupiter,Quintile,16,16,32,0.5,0.5
CEJU_a90,Ceres,Jupiter,Square,69,54,123,0.56,0.44
CENE_a0,Ceres,Neptune,Conjunction,40,33,73,0.55,0.45
CENE_a103,Ceres,Neptune,BiSeptile,41,41,82,0.5,0.5
CENE_a120,Ceres,Neptune,Trine,34,46,80,0.42,0.57
CENE_a135,Ceres,Neptune,SesquiSquare,43,34,77,0.56,0.44
CENE_a144,Ceres,Neptune,BiQuintile,35,43,78,0.45,0.55
CENE_a150,Ceres,Neptune,Quincunx,55,59,114,0.48,0.52
CENE_a180,Ceres,Neptune,Opposition,10,19,29,0.34,0.66
CENE_a30,Ceres,Neptune,SemiSextile,77,66,143,0.54,0.46
CENE_a36,Ceres,Neptune,SemiQuintile,48,44,92,0.52,0.48
CENE_a45,Ceres,Neptune,SemiSquare,45,50,95,0.47,0.53
CENE_a60,Ceres,Neptune,Sextile,47,40,87,0.54,0.46
CENE_a72,Ceres,Neptune,Quintile,25,31,56,0.45,0.55
CENE_a90,Ceres,Neptune,Square,64,48,112,0.57,0.43
CENN_a0,Ceres,NNode,Conjunction,56,58,114,0.49,0.51
