PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",437,375,812,0.54,0.46
"CE_(5,7]",Ceres,"(5,7]",681,612,1293,0.53,0.47
"CE_(7,13]",Ceres,"(7,13]",334,316,650,0.51,0.49
"CE_[0,4]",Ceres,"[0,4]",749,686,1435,0.52,0.48
"CH_(4,5]",Chiron,"(4,5]",446,383,829,0.54,0.46
"CH_(5,7]",Chiron,"(5,7]",802,760,1562,0.51,0.49
"CH_(7,13]",Chiron,"(7,13]",395,350,745,0.53,0.47
"CH_[0,4]",Chiron,"[0,4]",558,496,1054,0.53,0.47
"JN_(4,5]",Juno,"(4,5]",417,377,794,0.53,0.47
"JN_(5,7]",Juno,"(5,7]",723,678,1401,0.52,0.48
"JN_(7,14]",Juno,"(7,14]",306,252,558,0.55,0.45
"JN_[0,4]",Juno,"[0,4]",755,682,1437,0.53,0.47
"JU_(4,5]",Jupiter,"(4,5]",395,392,787,0.5,0.5
"JU_(5,7]",Jupiter,"(5,7]",680,655,1335,0.51,0.49
"JU_(7,12]",Jupiter,"(7,12]",329,273,602,0.55,0.45
"JU_[0,4]",Jupiter,"[0,4]",797,669,1466,0.54,0.46
"MA_(4,5]",Mars,"(4,5]",434,383,817,0.53,0.47
"MA_(5,7]",Mars,"(5,7]",680,591,1271,0.54,0.46
"MA_(7,13]",Mars,"(7,13]",304,283,587,0.52,0.48
"MA_[0,4]",Mars,"[0,4]",783,732,1515,0.52,0.48
"ME_(4,5]",Mercury,"(4,5]",429,370,799,0.54,0.46
"ME_(5,7]",Mercury,"(5,7]",680,597,1277,0.53,0.47
"ME_(7,14]",Mercury,"(7,14]",255,242,497,0.51,0.49
"ME_[0,4]",Mercury,"[0,4]",837,780,1617,0.52,0.48
"MO_(13,15]",Moon,"(13,15]",612,594,1206,0.51,0.49
"MO_(15,17]",Moon,"(15,17]",538,495,1033,0.52,0.48
"MO_(17,27]",Moon,"(17,27]",384,330,714,0.54,0.46
"MO_[5,13]",Moon,"[5,13]",667,570,1237,0.54,0.46
"NE_(4,5]",Neptune,"(4,5]",452,367,819,0.55,0.45
"NE_(5,6]",Neptune,"(5,6]",355,342,697,0.51,0.49
"NE_(6,13]",Neptune,"(6,13]",522,477,999,0.52,0.48
"NE_[0,4]",Neptune,"[0,4]",872,803,1675,0.52,0.48
"NN_(5,6]",NNode,"(5,6]",436,447,883,0.49,0.51
"NN_(6,7]",NNode,"(6,7]",381,354,735,0.52,0.48
"NN_(7,13]",NNode,"(7,13]",482,403,885,0.54,0.46
"NN_[1,5]",NNode,"[1,5]",902,785,1687,0.53,0.47
"PA_(4,5]",Pallas,"(4,5]",441,373,814,0.54,0.46
"PA_(5,7]",Pallas,"(5,7]",669,644,1313,0.51,0.49
"PA_(7,13]",Pallas,"(7,13]",296,276,572,0.52,0.48
"PA_[0,4]",Pallas,"[0,4]",795,696,1491,0.53,0.47
"PH_(4,5]",Pholus,"(4,5]",446,392,838,0.53,0.47
"PH_(5,6]",Pholus,"(5,6]",377,376,753,0.5,0.5
"PH_(6,13]",Pholus,"(6,13]",524,482,1006,0.52,0.48
"PH_[0,4]",Pholus,"[0,4]",854,739,1593,0.54,0.46
"PL_(4,5]",Pluto,"(4,5]",435,425,860,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",355,302,657,0.54,0.46
"PL_(6,14]",Pluto,"(6,14]",453,345,798,0.57,0.43
"PL_[0,4]",Pluto,"[0,4]",958,917,1875,0.51,0.49
"SA_(4,5]",Saturn,"(4,5]",417,367,784,0.53,0.47
"SA_(5,7]",Saturn,"(5,7]",654,636,1290,0.51,0.49
"SA_(7,14]",Saturn,"(7,14]",291,263,554,0.53,0.47
"SA_[0,4]",Saturn,"[0,4]",839,723,1562,0.54,0.46
"SN_(5,6]",SNode,"(5,6]",466,451,917,0.51,0.49
"SN_(6,7]",SNode,"(6,7]",392,342,734,0.53,0.47
"SN_(7,13]",SNode,"(7,13]",485,438,923,0.53,0.47
"SN_[1,5]",SNode,"[1,5]",858,758,1616,0.53,0.47
"SU_(4,5]",Sun,"(4,5]",451,429,880,0.51,0.49
"SU_(5,7]",Sun,"(5,7]",685,581,1266,0.54,0.46
"SU_(7,14]",Sun,"(7,14]",316,257,573,0.55,0.45
"SU_[0,4]",Sun,"[0,4]",749,722,1471,0.51,0.49
"UR_(4,5]",Uranus,"(4,5]",388,364,752,0.52,0.48
"UR_(5,7]",Uranus,"(5,7]",795,667,1462,0.54,0.46
"UR_(7,15]",Uranus,"(7,15]",494,458,952,0.52,0.48
"UR_[0,4]",Uranus,"[0,4]",524,500,1024,0.51,0.49
"VE_(4,5]",Venus,"(4,5]",441,400,841,0.52,0.48
"VE_(5,7]",Venus,"(5,7]",680,643,1323,0.51,0.49
"VE_(7,14]",Venus,"(7,14]",393,310,703,0.56,0.44
"VE_[0,4]",Venus,"[0,4]",687,636,1323,0.52,0.48
"VS_(4,5]",Vesta,"(4,5]",405,383,788,0.51,0.49
"VS_(5,7]",Vesta,"(5,7]",703,583,1286,0.55,0.45
"VS_(7,13]",Vesta,"(7,13]",335,311,646,0.52,0.48
"VS_[0,4]",Vesta,"[0,4]",758,712,1470,0.52,0.48
