PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",235,214,449,0.52,0.48
CE_a0_0,Ceres,Conjunction,0,1915,1739,3654,0.52,0.48
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",465,368,833,0.56,0.44
CE_a103_0,Ceres,BiSeptile,0,1685,1585,3270,0.52,0.48
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",314,321,635,0.49,0.51
CE_a120_0,Ceres,Trine,0,1836,1632,3468,0.53,0.47
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",357,369,726,0.49,0.51
CE_a135_0,Ceres,SesquiSquare,0,1793,1584,3377,0.53,0.47
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",360,399,759,0.47,0.53
CE_a144_0,Ceres,BiQuintile,0,1790,1554,3344,0.54,0.46
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",351,338,689,0.51,0.49
CE_a150_0,Ceres,Quincunx,0,1799,1615,3414,0.53,0.47
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",170,176,346,0.49,0.51
CE_a180_0,Ceres,Opposition,0,1980,1777,3757,0.53,0.47
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",559,514,1073,0.52,0.48
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",104,89,193,0.54,0.46
CE_a30_0,Ceres,SemiSextile,0,1487,1350,2837,0.52,0.48
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",479,452,931,0.51,0.49
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",120,127,247,0.49,0.51
CE_a36_0,Ceres,SemiQuintile,0,1551,1374,2925,0.53,0.47
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",514,485,999,0.51,0.49
CE_a45_0,Ceres,SemiSquare,0,1636,1468,3104,0.53,0.47
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",450,408,858,0.52,0.48
CE_a60_0,Ceres,Sextile,0,1700,1545,3245,0.52,0.48
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",440,415,855,0.51,0.49
CE_a72_0,Ceres,Quintile,0,1710,1538,3248,0.53,0.47
"CE_a90_(0,3]",Ceres,Square,"(0,3]",348,351,699,0.5,0.5
CE_a90_0,Ceres,Square,0,1802,1602,3404,0.53,0.47
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",212,169,381,0.56,0.44
CH_a0_0,Chiron,Conjunction,0,1938,1784,3722,0.52,0.48
CH_a103_0,Chiron,BiSeptile,0,2150,1953,4103,0.52,0.48
CH_a120_0,Chiron,Trine,0,2150,1953,4103,0.52,0.48
CH_a135_0,Chiron,SesquiSquare,0,2150,1953,4103,0.52,0.48
CH_a144_0,Chiron,BiQuintile,0,2150,1953,4103,0.52,0.48
CH_a150_0,Chiron,Quincunx,0,2150,1953,4103,0.52,0.48
CH_a180_0,Chiron,Opposition,0,2150,1953,4103,0.52,0.48
CH_a30_0,Chiron,SemiSextile,0,766,693,1459,0.53,0.47
CH_a30_1,Chiron,SemiSextile,1,1384,1260,2644,0.52,0.48
"CH_a36_(0,2]",Chiron,SemiQuintile,"(0,2]",287,226,513,0.56,0.44
CH_a36_0,Chiron,SemiQuintile,0,1863,1727,3590,0.52,0.48
"CH_a45_(0,2]",Chiron,SemiSquare,"(0,2]",184,130,314,0.59,0.41
CH_a45_0,Chiron,SemiSquare,0,1966,1823,3789,0.52,0.48
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",365,316,681,0.54,0.46
CH_a60_0,Chiron,Sextile,0,1785,1637,3422,0.52,0.48
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",493,424,917,0.54,0.46
CH_a72_0,Chiron,Quintile,0,1657,1529,3186,0.52,0.48
"CH_a90_(0,1]",Chiron,Square,"(0,1]",280,265,545,0.51,0.49
CH_a90_0,Chiron,Square,0,1870,1688,3558,0.53,0.47
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",192,174,366,0.52,0.48
JN_a0_0,Juno,Conjunction,0,1958,1779,3737,0.52,0.48
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",523,484,1007,0.52,0.48
JN_a103_0,Juno,BiSeptile,0,1627,1469,3096,0.53,0.47
"JN_a120_(0,3]",Juno,Trine,"(0,3]",580,570,1150,0.5,0.5
JN_a120_0,Juno,Trine,0,1570,1383,2953,0.53,0.47
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",501,464,965,0.52,0.48
JN_a135_0,Juno,SesquiSquare,0,1649,1489,3138,0.53,0.47
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",527,480,1007,0.52,0.48
JN_a144_0,Juno,BiQuintile,0,1623,1473,3096,0.52,0.48
"JN_a150_(0,3]",Juno,Quincunx,"(0,3]",544,471,1015,0.54,0.46
JN_a150_0,Juno,Quincunx,0,1606,1482,3088,0.52,0.48
"JN_a180_(0,3]",Juno,Opposition,"(0,3]",310,268,578,0.54,0.46
JN_a180_0,Juno,Opposition,0,1840,1685,3525,0.52,0.48
"JN_a30_(0,3]",Juno,SemiSextile,"(0,3]",435,396,831,0.52,0.48
JN_a30_0,Juno,SemiSextile,0,1715,1557,3272,0.52,0.48
"JN_a36_(0,3]",Juno,SemiQuintile,"(0,3]",371,363,734,0.51,0.49
