PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1137,971,2108,0.54,0.46
CE_POS,Ceres,Positive,1087,1046,2133,0.51,0.49
CH_NEG,Chiron,Negative,1067,1052,2119,0.5,0.5
CH_POS,Chiron,Positive,1157,965,2122,0.55,0.45
JN_NEG,Juno,Negative,990,867,1857,0.53,0.47
JN_POS,Juno,Positive,1234,1150,2384,0.52,0.48
JU_NEG,Jupiter,Negative,1121,988,2109,0.53,0.47
JU_POS,Jupiter,Positive,1103,1029,2132,0.52,0.48
MA_NEG,Mars,Negative,1092,968,2060,0.53,0.47
MA_POS,Mars,Positive,1132,1049,2181,0.52,0.48
ME_NEG,Mercury,Negative,1078,1022,2100,0.51,0.49
ME_POS,Mercury,Positive,1146,995,2141,0.54,0.46
MO_NEG,Moon,Negative,1143,977,2120,0.54,0.46
MO_POS,Moon,Positive,1081,1040,2121,0.51,0.49
NE_NEG,Neptune,Negative,1283,1230,2513,0.51,0.49
NE_POS,Neptune,Positive,941,787,1728,0.54,0.46
NN_NEG,NNode,Negative,1041,912,1953,0.53,0.47
NN_POS,NNode,Positive,1183,1105,2288,0.52,0.48
PA_NEG,Pallas,Negative,1186,1066,2252,0.53,0.47
PA_POS,Pallas,Positive,1038,951,1989,0.52,0.48
PH_NEG,Pholus,Negative,526,453,979,0.54,0.46
PH_POS,Pholus,Positive,1698,1564,3262,0.52,0.48
PL_NEG,Pluto,Negative,1727,1600,3327,0.52,0.48
PL_POS,Pluto,Positive,497,417,914,0.54,0.46
SA_NEG,Saturn,Negative,1069,1017,2086,0.51,0.49
SA_POS,Saturn,Positive,1155,1000,2155,0.54,0.46
SN_NEG,SNode,Negative,1041,912,1953,0.53,0.47
SN_POS,SNode,Positive,1183,1105,2288,0.52,0.48
SU_NEG,Sun,Negative,1108,999,2107,0.53,0.47
SU_POS,Sun,Positive,1116,1018,2134,0.52,0.48
UR_NEG,Uranus,Negative,1259,1043,2302,0.55,0.45
UR_POS,Uranus,Positive,965,974,1939,0.5,0.5
VE_NEG,Venus,Negative,1098,970,2068,0.53,0.47
VE_POS,Venus,Positive,1126,1047,2173,0.52,0.48
VS_NEG,Vesta,Negative,1071,1003,2074,0.52,0.48
VS_POS,Vesta,Positive,1153,1014,2167,0.53,0.47
