PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",380,366,746,0.51,0.49,CAR
"CAR_(6,8]",Cardinal,"(6,8]",624,546,1170,0.53,0.47,CAR
"CAR_(8,14]",Cardinal,"(8,14]",283,254,537,0.53,0.47,CAR
"CAR_[0,5]",Cardinal,"[0,5]",962,868,1830,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",409,381,790,0.52,0.48,FIX
"FIX_(6,7]",Fixed,"(6,7]",282,247,529,0.53,0.47,FIX
"FIX_(7,14]",Fixed,"(7,14]",278,250,528,0.53,0.47,FIX
"FIX_[0,5]",Fixed,"[0,5]",1280,1156,2436,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",742,667,1409,0.53,0.47,MUT
"MUT_(6,7]",Mutable,"(6,7]",400,378,778,0.51,0.49,MUT
"MUT_(7,13]",Mutable,"(7,13]",789,717,1506,0.52,0.48,MUT
"MUT_[0,4]",Mutable,"[0,4]",318,272,590,0.54,0.46,MUT
