PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",513,408,921,0.56,0.44
CE_3,Ceres,3,596,552,1148,0.52,0.48
"CE_[0,2]",Ceres,"[0,2]",1035,980,2015,0.51,0.49
"CH_(3,4]",Chiron,"(3,4]",467,431,898,0.52,0.48
"CH_(4,5]",Chiron,"(4,5]",438,405,843,0.52,0.48
"CH_(5,11]",Chiron,"(5,11]",489,484,973,0.5,0.5
"CH_[0,3]",Chiron,"[0,3]",750,620,1370,0.55,0.45
"JN_(1,2]",Juno,"(1,2]",686,623,1309,0.52,0.48
"JN_(2,3]",Juno,"(2,3]",589,515,1104,0.53,0.47
"JN_(3,7]",Juno,"(3,7]",370,316,686,0.54,0.46
"JN_[0,1]",Juno,"[0,1]",499,486,985,0.51,0.49
"JU_(2,3]",Jupiter,"(2,3]",610,552,1162,0.52,0.48
"JU_(3,4]",Jupiter,"(3,4]",448,402,850,0.53,0.47
"JU_(4,8]",Jupiter,"(4,8]",331,310,641,0.52,0.48
"JU_[0,2]",Jupiter,"[0,2]",755,676,1431,0.53,0.47
"MA_(2,5]",Mars,"(2,5]",455,399,854,0.53,0.47
MA_2,Mars,2,787,674,1461,0.54,0.46
"MA_[0,1]",Mars,"[0,1]",902,867,1769,0.51,0.49
"ME_(1,3]",Mercury,"(1,3]",263,232,495,0.53,0.47
ME_0,Mercury,0,574,542,1116,0.51,0.49
ME_1,Mercury,1,1307,1166,2473,0.53,0.47
"NE_(4,5]",Neptune,"(4,5]",441,364,805,0.55,0.45
"NE_(5,6]",Neptune,"(5,6]",352,336,688,0.51,0.49
"NE_(6,13]",Neptune,"(6,13]",517,474,991,0.52,0.48
"NE_[0,4]",Neptune,"[0,4]",834,766,1600,0.52,0.48
"NN_(2,3]",NNode,"(2,3]",562,510,1072,0.52,0.48
"NN_(3,4]",NNode,"(3,4]",465,449,914,0.51,0.49
"NN_(4,9]",NNode,"(4,9]",461,410,871,0.53,0.47
"NN_[0,2]",NNode,"[0,2]",656,571,1227,0.53,0.47
"PA_(2,3]",Pallas,"(2,3]",625,571,1196,0.52,0.48
"PA_(3,4]",Pallas,"(3,4]",439,391,830,0.53,0.47
"PA_(4,8]",Pallas,"(4,8]",260,275,535,0.49,0.51
"PA_[0,2]",Pallas,"[0,2]",820,703,1523,0.54,0.46
"PH_(3,5]",Pholus,"(3,5]",820,732,1552,0.53,0.47
"PH_(5,6]",Pholus,"(5,6]",328,339,667,0.49,0.51
"PH_(6,13]",Pholus,"(6,13]",392,355,747,0.52,0.48
"PH_[0,3]",Pholus,"[0,3]",604,514,1118,0.54,0.46
"PL_(4,5]",Pluto,"(4,5]",434,416,850,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",339,292,631,0.54,0.46
"PL_(6,14]",Pluto,"(6,14]",420,324,744,0.56,0.44
"PL_[0,4]",Pluto,"[0,4]",951,908,1859,0.51,0.49
"SA_(3,4]",Saturn,"(3,4]",452,433,885,0.51,0.49
"SA_(4,5]",Saturn,"(4,5]",349,317,666,0.52,0.48
"SA_(5,11]",Saturn,"(5,11]",424,387,811,0.52,0.48
"SA_[0,3]",Saturn,"[0,3]",919,803,1722,0.53,0.47
"SN_(3,4]",SNode,"(3,4]",549,528,1077,0.51,0.49
"SN_(4,5]",SNode,"(4,5]",507,451,958,0.53,0.47
"SN_(5,10]",SNode,"(5,10]",469,422,891,0.53,0.47
"SN_[1,3]",SNode,"[1,3]",619,539,1158,0.53,0.47
"SU_(1,2]",Sun,"(1,2]",727,608,1335,0.54,0.46
"SU_(2,4]",Sun,"(2,4]",140,119,259,0.54,0.46
SU_1,Sun,1,963,909,1872,0.51,0.49
"SU_[0,1)",Sun,"[0,1)",314,304,618,0.51,0.49
"UR_(3,5]",Uranus,"(3,5]",866,789,1655,0.52,0.48
"UR_(5,6]",Uranus,"(5,6]",381,341,722,0.53,0.47
"UR_(6,13]",Uranus,"(6,13]",437,380,817,0.53,0.47
"UR_[0,3]",Uranus,"[0,3]",460,430,890,0.52,0.48
"VE_(1,2]",Venus,"(1,2]",579,509,1088,0.53,0.47
"VE_(2,3]",Venus,"(2,3]",72,62,134,0.54,0.46
VE_1,Venus,1,1062,973,2035,0.52,0.48
"VE_[0,1)",Venus,"[0,1)",431,396,827,0.52,0.48
"VS_(1,2]",Vesta,"(1,2]",815,710,1525,0.53,0.47
"VS_(2,3]",Vesta,"(2,3]",425,406,831,0.51,0.49
"VS_(3,6]",Vesta,"(3,6]",177,174,351,0.5,0.5
"VS_[0,1]",Vesta,"[0,1]",727,650,1377,0.53,0.47
