PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,566,507,1073,0.53,0.47
CE_FIX,Ceres,Fixed,801,757,1558,0.51,0.49
CE_MUT,Ceres,Mutable,777,674,1451,0.54,0.46
CH_CAR,Chiron,Cardinal,414,348,762,0.54,0.46
CH_FIX,Chiron,Fixed,743,608,1351,0.55,0.45
CH_MUT,Chiron,Mutable,987,982,1969,0.5,0.5
JN_CAR,Juno,Cardinal,682,625,1307,0.52,0.48
JN_FIX,Juno,Fixed,717,683,1400,0.51,0.49
JN_MUT,Juno,Mutable,745,630,1375,0.54,0.46
JU_CAR,Jupiter,Cardinal,782,677,1459,0.54,0.46
JU_FIX,Jupiter,Fixed,690,677,1367,0.5,0.5
JU_MUT,Jupiter,Mutable,672,584,1256,0.54,0.46
MA_CAR,Mars,Cardinal,733,643,1376,0.53,0.47
MA_FIX,Mars,Fixed,777,649,1426,0.54,0.46
MA_MUT,Mars,Mutable,634,646,1280,0.5,0.5
ME_CAR,Mercury,Cardinal,720,630,1350,0.53,0.47
ME_FIX,Mercury,Fixed,735,660,1395,0.53,0.47
ME_MUT,Mercury,Mutable,689,648,1337,0.52,0.48
MO_CAR,Moon,Cardinal,722,645,1367,0.53,0.47
MO_FIX,Moon,Fixed,726,631,1357,0.54,0.46
MO_MUT,Moon,Mutable,696,662,1358,0.51,0.49
NE_FIX,Neptune,Fixed,941,787,1728,0.54,0.46
NE_MUT,Neptune,Mutable,1203,1151,2354,0.51,0.49
NN_CAR,NNode,Cardinal,818,744,1562,0.52,0.48
NN_FIX,NNode,Fixed,588,587,1175,0.5,0.5
NN_MUT,NNode,Mutable,738,607,1345,0.55,0.45
PA_CAR,Pallas,Cardinal,777,676,1453,0.53,0.47
PA_FIX,Pallas,Fixed,644,595,1239,0.52,0.48
PA_MUT,Pallas,Mutable,723,667,1390,0.52,0.48
PH_CAR,Pholus,Cardinal,329,258,587,0.56,0.44
PH_FIX,Pholus,Fixed,117,116,233,0.5,0.5
PH_MUT,Pholus,Mutable,1698,1564,3262,0.52,0.48
PL_CAR,Pluto,Cardinal,1647,1521,3168,0.52,0.48
PL_MUT,Pluto,Mutable,497,417,914,0.54,0.46
SA_CAR,Saturn,Cardinal,826,685,1511,0.55,0.45
SA_FIX,Saturn,Fixed,647,620,1267,0.51,0.49
SA_MUT,Saturn,Mutable,671,633,1304,0.51,0.49
SN_CAR,SNode,Cardinal,818,744,1562,0.52,0.48
SN_FIX,SNode,Fixed,588,587,1175,0.5,0.5
SN_MUT,SNode,Mutable,738,607,1345,0.55,0.45
SU_CAR,Sun,Cardinal,720,615,1335,0.54,0.46
SU_FIX,Sun,Fixed,739,652,1391,0.53,0.47
SU_MUT,Sun,Mutable,685,671,1356,0.51,0.49
UR_CAR,Uranus,Cardinal,965,974,1939,0.5,0.5
UR_FIX,Uranus,Fixed,339,271,610,0.56,0.44
UR_MUT,Uranus,Mutable,840,693,1533,0.55,0.45
VE_CAR,Venus,Cardinal,715,665,1380,0.52,0.48
VE_FIX,Venus,Fixed,739,620,1359,0.54,0.46
VE_MUT,Venus,Mutable,690,653,1343,0.51,0.49
VS_CAR,Vesta,Cardinal,743,636,1379,0.54,0.46
VS_FIX,Vesta,Fixed,730,644,1374,0.53,0.47
VS_MUT,Vesta,Mutable,671,658,1329,0.5,0.5
